startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,71.0,1810.9,125.0,187.51,609.39,1810.9,187.51
2017-12-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,97.0,3381.28,125.03,156.26,734.36,3381.28,156.26
2017-12-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,79.0,1531.26,125.01,156.27,578.07,1531.26,156.27
2017-12-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,77.0,1968.68,125.0,140.65,483.93,1968.68,140.65
2017-12-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,68.0,2046.8,125.12,171.86,968.66,2046.8,171.86
2017-12-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,54.0,3109.29,125.0,156.25,581.02,3109.29,156.25
2017-12-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,98.0,760.8,109.38,140.61,371.0,760.8,140.61
2017-12-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,82.0,5547.66,125.0,156.26,703.12,5547.66,156.26
2017-12-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,49.0,2108.66,125.02,171.79,894.92,2108.66,171.79
2017-12-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,25.0,546.95,125.01,171.88,531.26,546.95,171.88
2017-12-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,16.0,531.4,124.96,142.54,531.4,531.4,142.54
2017-12-25,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2.0,125.0,93.77,125.0,125.0,125.0,125.0
2017-12-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,16.0,2609.51,125.02,171.06,2609.51,2609.51,171.06
2017-12-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,43.0,921.89,125.26,265.61,640.61,921.89,265.61
2017-12-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,36.0,2046.82,140.56,296.65,1562.49,2046.82,296.65
2017-12-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,41.0,2116.06,140.05,156.24,1140.91,2116.06,156.24
2018-01-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,2.0,124.96,109.39,124.96,124.96,124.96,124.96
2018-01-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,90.0,24499.18,140.59,187.06,312.54,24499.18,187.06
2018-01-03,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,117.0,12109.15,140.62,156.29,547.66,1128.46,156.29
2018-01-04,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,74.0,2093.67,125.03,171.87,359.37,2093.67,171.87
2018-01-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,59.0,9206.13,140.62,218.74,765.6,9206.13,218.74
2018-01-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,101.0,3078.01,140.62,249.08,531.23,781.04,249.08
2018-01-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,84.0,5297.28,140.64,281.25,1093.65,5297.28,281.25
2018-01-10,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,82.0,3676.3,92.4,140.64,450.11,3676.3,140.64
2018-01-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,82.0,2456.24,125.0,146.67,375.39,2456.24,146.67
2018-01-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,60.0,640.66,60.46,140.34,246.31,640.66,140.34
2018-01-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,48.0,2031.28,78.18,203.01,1313.41,2031.28,203.01
2018-01-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,125.0,1671.93,94.69,140.66,590.24,1093.75,140.66
2018-01-17,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,84.0,1171.91,125.0,171.78,626.26,1171.91,171.78
2018-01-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,99.0,1716.08,124.99,140.63,436.16,1716.08,140.63
2018-01-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,46.0,984.35,125.05,296.69,528.78,984.35,296.69
2018-01-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,101.0,1687.49,78.18,140.62,597.36,1604.56,140.62
2018-01-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,49.0,1641.0,124.98,140.62,543.99,1641.0,140.62
2018-01-24,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,58.0,531.25,43.53,137.56,451.64,531.25,137.56
2018-01-25,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,84.0,805.05,124.99,156.25,500.01,805.05,156.25
2018-01-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,65.0,921.91,93.78,140.62,468.9,921.91,140.62
2018-01-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,109.0,9622.4,125.01,171.86,702.29,2890.51,171.86
2018-01-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,102.0,4590.46,125.0,297.52,890.66,1711.21,297.52
2018-01-31,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,77.0,1750.11,76.17,138.6,593.74,1750.11,138.6
2018-02-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,111.0,1156.31,74.37,140.62,420.77,624.69,140.62
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,45.0,1327.75,124.97,171.92,546.92,1327.75,171.92
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,137.0,8469.03,109.25,140.62,902.77,7671.02,140.62
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,82.0,1030.47,125.0,203.12,515.08,1030.47,203.12
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,83.0,3740.81,124.99,140.48,359.38,3740.81,140.48
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,88.0,4891.84,139.74,234.37,1452.69,4891.84,234.37
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,98.0,516.47,125.0,140.62,390.62,516.47,140.62
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,123.0,2394.66,46.87,125.02,389.23,1184.21,125.02
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,89.0,4662.67,78.13,140.62,390.62,4662.67,140.62
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,118.0,1690.71,43.31,125.01,437.45,608.3,125.01
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,73.0,953.07,93.72,140.62,593.75,953.07,140.62
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,68.0,867.86,95.06,140.59,328.1,867.86,140.59
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,32.0,1325.4,78.15,140.62,809.15,1325.4,140.62
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,144.0,3544.45,47.95,126.99,500.29,3521.78,126.99
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,109.0,687.41,124.96,140.63,448.77,624.93,140.63
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,85.0,12009.82,46.87,125.0,267.31,12009.82,125.0
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,69.0,1234.47,91.75,166.56,513.34,1234.47,166.56
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,155.0,6983.96,48.15,125.01,464.93,2622.5,125.01
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,107.0,1128.73,124.99,171.88,437.5,753.86,171.88
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,119.0,10235.68,78.15,156.24,1343.79,8872.03,156.24
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,155.0,9625.34,65.0,140.62,875.01,9559.92,140.62
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,70.0,1532.77,124.97,171.83,890.65,1532.77,171.83
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,117.0,1970.06,97.34,140.62,496.98,1109.64,140.62
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,82.0,12000.53,125.0,250.02,859.36,12000.53,250.02
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,74.0,11126.27,125.0,157.7,1375.04,11126.27,157.7
2018-03-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,92.0,1359.42,47.51,140.62,390.62,1359.42,140.62
2018-03-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,98.0,1823.79,64.23,140.64,610.12,1823.79,140.64
2018-03-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,151.0,1312.46,125.0,187.5,499.47,967.18,187.5
2018-03-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,143.0,7792.31,46.8,125.0,765.62,2921.95,125.0
2018-03-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,158.0,9453.53,124.99,140.63,577.9,7874.89,140.63
2018-03-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,92.0,1156.02,108.37,140.97,515.62,1156.02,140.97
2018-03-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,84.0,1277.69,121.59,190.66,640.62,1277.69,190.66
2018-03-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,66.0,1515.62,46.56,140.66,609.37,1515.62,140.66
2018-03-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,39.0,1312.52,124.98,275.72,984.36,1312.52,275.72
2018-03-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,29.0,534.89,78.12,140.63,498.85,534.89,140.63
2018-03-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,35.0,984.41,140.61,311.37,781.27,984.41,311.37
2018-03-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,50.0,1140.74,124.99,218.75,562.34,1140.74,218.75
2018-03-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,186.0,4145.08,59.5,136.12,568.68,765.61,136.12
2018-03-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,174.0,4172.15,76.41,140.64,607.06,1943.58,140.64
2018-03-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,112.0,1499.93,125.01,203.13,421.86,906.45,203.13
