startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,81.0,1501.77,140.58,264.45,1140.62,1501.77,264.45
2017-12-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,65.0,6945.17,125.02,173.09,1093.73,6945.17,173.09
2017-12-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,53.0,7839.36,78.13,156.67,1222.1,7839.36,156.67
2017-12-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,29.0,1292.58,125.0,140.62,515.61,1292.58,140.62
2017-12-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,73.0,2578.13,124.99,229.25,1213.65,2578.13,229.25
2017-12-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,99.0,11955.99,140.63,726.46,3281.83,11955.99,726.46
2017-12-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,45.0,1153.74,125.0,140.62,578.06,1153.74,140.62
2017-12-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,46.0,1140.64,125.01,187.5,468.77,1140.64,187.5
2017-12-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,20.0,1364.68,109.38,140.3,704.69,1364.68,140.3
2017-12-25,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,3.0,187.5,125.0,187.5,187.5,187.5,187.5
2017-12-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,17.0,4227.97,125.01,140.65,4227.97,4227.97,140.65
2017-12-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,44.0,4218.79,125.0,140.63,484.34,4218.79,140.63
2017-12-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,53.0,953.03,140.62,140.66,390.62,953.03,140.66
2017-12-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,19.0,2844.87,140.62,328.11,2844.87,2844.87,328.11
2018-01-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,1.0,390.62,390.62,390.62,390.62,390.62,390.62
2018-01-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,86.0,2984.29,140.62,171.88,593.91,2984.29,171.88
2018-01-03,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,69.0,7374.23,140.63,234.37,843.75,7374.23,234.37
2018-01-04,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,24.0,891.04,140.63,234.32,781.23,891.04,234.32
2018-01-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,47.0,5308.0,140.63,359.34,2312.45,5308.0,359.34
2018-01-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,121.0,12014.08,156.25,421.87,12002.16,12012.45,421.87
2018-01-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,61.0,5657.6,140.62,187.58,1656.22,5657.6,187.58
2018-01-10,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,55.0,10025.55,124.99,296.86,5374.79,10025.55,296.86
2018-01-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,80.0,1095.82,78.13,170.86,593.75,1095.82,170.86
2018-01-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,51.0,5638.48,124.87,140.47,890.85,5638.48,140.47
2018-01-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,4.0,133.1,29.65,124.96,133.1,133.1,124.96
2018-01-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,76.0,8520.16,125.0,141.61,1874.25,8520.16,141.61
2018-01-17,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,54.0,7684.9,105.55,171.87,687.29,7684.9,171.87
2018-01-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,40.0,7680.38,97.63,140.63,1406.26,7680.38,140.63
2018-01-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,44.0,4850.59,140.63,296.86,1495.21,4850.59,296.86
2018-01-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,67.0,12001.91,140.6,328.09,7458.58,12001.91,328.09
2018-01-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,38.0,12009.24,108.44,145.87,11222.03,12009.24,145.87
2018-01-24,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,29.0,8007.57,49.11,124.67,3048.55,8007.57,124.67
2018-01-25,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,38.0,11725.76,125.0,312.46,8125.03,11725.76,312.46
2018-01-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,51.0,9171.33,78.15,187.5,3812.38,9171.33,187.5
2018-01-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,70.0,8029.55,97.58,156.27,1531.22,8029.55,156.27
2018-01-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,67.0,6650.84,46.85,140.61,1859.42,6650.84,140.61
2018-01-31,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,38.0,6106.31,93.24,140.61,3700.41,6106.31,140.61
2018-02-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,61.0,3628.67,125.02,171.86,593.74,3628.67,171.86
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,65.0,10889.94,124.98,140.62,2703.35,10889.94,140.62
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,47.0,6204.17,125.01,156.22,5317.81,6204.17,156.22
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,43.0,8173.31,125.01,156.25,6087.35,8173.31,156.25
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,30.0,6825.11,79.01,140.61,1453.11,6825.11,140.61
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,48.0,702.91,125.0,156.23,490.42,702.91,156.23
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,48.0,5280.78,125.0,140.64,2889.04,5280.78,140.64
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,81.0,11248.23,62.5,140.64,3031.32,11248.23,140.64
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,67.0,8953.23,140.63,234.38,1376.66,8953.23,234.38
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,33.0,6061.64,77.21,297.42,5014.66,6061.64,297.42
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,60.0,9407.1,124.87,312.51,6111.11,9407.1,312.51
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,40.0,406.23,125.0,140.63,234.29,406.23,140.63
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,19.0,5809.92,78.13,223.66,5809.92,5809.92,223.66
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,45.0,9589.21,74.34,171.89,3953.03,9589.21,171.89
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,54.0,10028.09,125.0,218.78,6562.72,10028.09,218.78
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,54.0,8100.51,124.99,984.39,6811.35,8100.51,984.39
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,62.0,12010.31,140.0,156.26,2234.33,12010.31,156.26
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,91.0,12009.01,139.55,687.48,5237.97,12009.01,687.48
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,76.0,7304.88,51.4,156.25,4812.15,7304.88,156.25
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,65.0,7668.49,89.13,281.51,3265.46,7668.49,281.51
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,73.0,8035.33,65.29,140.63,2469.64,8035.33,140.63
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisersPerformance,65.0,9376.7,125.0,437.48,4239.77,9376.7,437.48
