startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-18,UcmDbConn,All,All,1201706.0,40726.37,59.72,64.22,203.1,853.61,64.22
2018-01-19,UcmDbConn,All,All,950069.0,67141.44,59.94,78.12,265.18,1213.21,78.12
2018-01-22,UcmDbConn,All,All,1049008.0,40137.13,45.22,68.93,223.87,1074.32,68.93
2018-01-23,UcmDbConn,All,All,1041473.0,41094.25,46.43,62.55,234.96,1108.01,62.55
2018-01-24,UcmDbConn,All,All,998539.0,40791.85,46.9,62.86,235.76,1105.58,62.86
2018-01-25,UcmDbConn,All,All,1023656.0,40613.06,47.81,62.76,203.62,1118.08,62.76
2018-01-26,UcmDbConn,All,All,988429.0,88261.97,46.86,64.07,233.72,1127.92,64.07
2018-01-29,UcmDbConn,All,All,1167448.0,40618.71,32.87,62.58,215.08,999.52,62.58
2018-01-30,UcmDbConn,All,All,1252872.0,78367.26,46.23,76.94,294.36,787.13,76.94
2018-01-31,UcmDbConn,All,All,1196698.0,45048.87,49.8,78.1,249.94,874.84,78.1
2018-02-01,UcmDbConn,All,All,1238023.0,41156.25,57.96,78.11,249.86,1042.38,78.11
2018-02-02,UcmDbConn,All,All,1055653.0,40196.89,47.45,77.46,249.27,1123.63,77.46
2018-02-05,UcmDbConn,All,All,1218483.0,64850.6,46.5,62.56,187.88,838.36,62.56
2018-02-06,UcmDbConn,All,All,1252238.0,237436.75,46.88,66.49,220.59,966.92,66.49
2018-02-07,UcmDbConn,All,All,1324694.0,45027.79,46.88,62.54,180.5,758.31,62.54
2018-02-08,UcmDbConn,All,All,1160528.0,57865.8,46.85,78.08,185.6,759.46,78.08
2018-02-09,UcmDbConn,All,All,1066473.0,167937.5,31.7,62.52,172.79,1015.0,62.52
2018-02-12,UcmDbConn,All,All,1196948.0,40685.67,46.67,62.55,158.1,704.29,62.55
2018-02-13,UcmDbConn,All,All,825931.0,40261.18,62.47,77.97,171.9,652.71,77.97
2018-02-14,UcmDbConn,All,All,1058166.0,105039.71,34.73,62.53,156.77,654.78,62.53
2018-02-15,UcmDbConn,All,All,994847.0,119737.52,46.87,70.32,187.45,687.17,70.32
2018-02-16,UcmDbConn,All,All,905968.0,40151.47,39.53,62.54,158.46,695.82,62.54
2018-02-19,UcmDbConn,All,All,762931.0,42090.17,30.1,62.51,233.41,1673.74,62.51
2018-02-20,UcmDbConn,All,All,1217846.0,125114.92,62.43,78.13,482.45,2707.81,78.13
2018-02-21,UcmDbConn,All,All,1164014.0,228880.6,47.57,63.01,171.89,753.72,63.01
2018-02-22,UcmDbConn,All,All,1189324.0,110983.17,55.54,75.26,203.12,777.74,75.26
2018-02-23,UcmDbConn,All,All,979637.0,63895.33,46.85,64.54,233.09,1113.64,64.54
2018-02-26,UcmDbConn,All,All,1274264.0,43605.58,34.56,62.6,186.83,868.75,62.6
2018-02-27,UcmDbConn,All,All,1352914.0,373875.58,46.06,63.24,188.1,859.8,63.24
2018-02-28,UcmDbConn,All,All,1258470.0,190933.07,47.11,64.27,186.0,828.57,64.27
2018-03-01,UcmDbConn,All,All,1215061.0,41912.73,48.64,63.63,171.88,769.07,63.63
2018-03-02,UcmDbConn,All,All,988161.0,45025.47,42.14,62.54,187.55,1003.61,62.54
2018-03-05,UcmDbConn,All,All,1078219.0,40734.07,41.99,62.56,173.45,743.9,62.56
2018-03-06,UcmDbConn,All,All,1214452.0,45012.1,47.72,63.0,173.88,794.91,63.0
2018-03-07,UcmDbConn,All,All,995458.0,61904.65,62.46,77.8,218.62,1295.89,77.8
2018-03-08,UcmDbConn,All,All,1079487.0,40106.72,46.54,62.55,172.58,792.19,62.55
2018-03-09,UcmDbConn,All,All,807524.0,40237.62,49.15,63.32,187.86,857.86,63.32
2018-03-12,UcmDbConn,All,All,1235832.0,45023.46,32.44,62.54,158.56,744.84,62.54
2018-03-13,UcmDbConn,All,All,1243533.0,84804.08,31.78,62.53,156.16,640.64,62.53
2018-03-14,UcmDbConn,All,All,1240571.0,273519.11,47.19,62.81,147.58,609.31,62.81
2018-03-15,UcmDbConn,All,All,1137787.0,41415.87,48.33,64.49,143.51,609.03,64.49
