startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-17,UcmDbConn,[Common].[CreateFileV2],All,2749.0,5738.71,15.62,15.66,78.13,125.45,15.66
2018-01-18,UcmDbConn,[Common].[CreateFileV2],All,1478.0,2280.17,15.62,31.24,78.13,187.47,31.24
2018-01-19,UcmDbConn,[Common].[CreateFileV2],All,1391.0,18487.34,15.62,31.25,78.13,155.96,31.25
2018-01-22,UcmDbConn,[Common].[CreateFileV2],All,1219.0,1984.37,15.62,31.29,78.16,156.29,31.29
2018-01-23,UcmDbConn,[Common].[CreateFileV2],All,1922.0,5858.44,15.62,20.06,78.12,470.02,20.06
2018-01-24,UcmDbConn,[Common].[CreateFileV2],All,1501.0,1843.74,15.62,31.25,78.12,127.71,31.25
2018-01-25,UcmDbConn,[Common].[CreateFileV2],All,1778.0,4952.57,15.62,19.49,78.12,140.61,19.49
2018-01-26,UcmDbConn,[Common].[CreateFileV2],All,1327.0,458.58,15.62,31.24,78.12,93.77,31.24
2018-01-29,UcmDbConn,[Common].[CreateFileV2],All,1287.0,9158.72,15.62,31.24,78.14,218.74,31.24
2018-01-30,UcmDbConn,[Common].[CreateFileV2],All,1653.0,557.54,15.63,31.24,78.12,141.3,31.24
2018-01-31,UcmDbConn,[Common].[CreateFileV2],All,1285.0,3343.73,15.62,31.23,78.13,125.03,31.23
2018-02-01,UcmDbConn,[Common].[CreateFileV2],All,1342.0,2191.27,15.62,30.58,78.12,156.27,30.58
2018-02-02,UcmDbConn,[Common].[CreateFileV2],All,1298.0,1344.34,15.62,31.26,78.14,140.64,31.26
2018-02-05,UcmDbConn,[Common].[CreateFileV2],All,1331.0,2674.2,15.62,16.49,78.11,124.96,16.49
2018-02-06,UcmDbConn,[Common].[CreateFileV2],All,6866.0,2583.25,15.62,17.49,62.5,125.41,17.49
2018-02-07,UcmDbConn,[Common].[CreateFileV2],All,2482.0,2684.46,15.62,15.73,78.12,124.97,15.73
2018-02-08,UcmDbConn,[Common].[CreateFileV2],All,5700.0,2013.47,15.6,15.65,78.12,140.63,15.65
2018-02-09,UcmDbConn,[Common].[CreateFileV2],All,73978.0,3062.5,10.78,15.63,31.03,91.98,15.63
2018-02-12,UcmDbConn,[Common].[CreateFileV2],All,7805.0,3264.52,14.96,15.63,48.73,93.75,15.63
2018-02-13,UcmDbConn,[Common].[CreateFileV2],All,1857.0,589.06,15.62,18.17,78.12,140.62,18.17
2018-02-14,UcmDbConn,[Common].[CreateFileV2],All,1672.0,452.94,15.62,15.67,78.1,93.78,15.67
2018-02-15,UcmDbConn,[Common].[CreateFileV2],All,1525.0,249.99,15.62,15.77,78.12,119.4,15.77
2018-02-16,UcmDbConn,[Common].[CreateFileV2],All,1285.0,625.05,15.62,15.67,78.1,123.29,15.67
2018-02-19,UcmDbConn,[Common].[CreateFileV2],All,1006.0,2624.97,15.62,31.22,78.14,156.19,31.22
2018-02-20,UcmDbConn,[Common].[CreateFileV2],All,2308.0,1656.3,15.64,62.49,173.08,390.64,62.49
