startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2380.0,1265.61,48.06,62.5,79.23,296.85,62.5
2017-12-25,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,303.0,1203.34,62.51,78.13,609.51,1140.7,78.13
2017-12-26,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,1202.0,17693.94,62.49,63.6,102.4,609.36,63.6
2017-12-27,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2379.0,10985.08,62.49,66.09,93.75,203.12,66.09
2017-12-28,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2232.0,19250.98,62.51,78.12,109.36,156.25,78.12
2017-12-29,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2033.0,19396.7,62.51,78.12,109.36,187.8,78.12
2018-01-01,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,474.0,1671.87,62.51,78.12,609.33,1156.24,78.12
2018-01-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3751.0,5531.22,62.51,78.12,109.28,218.75,78.12
2018-01-03,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3966.0,19358.23,62.51,78.12,109.37,218.6,78.12
2018-01-04,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3653.0,3687.38,62.51,78.12,109.37,218.75,78.12
2018-01-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3729.0,19270.92,62.51,78.12,109.27,203.12,78.12
2018-01-08,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4308.0,984.4,62.55,78.12,109.38,217.14,78.12
2018-01-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4613.0,19296.65,62.51,78.12,109.37,203.13,78.12
2018-01-10,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4356.0,19322.12,61.77,62.54,93.75,202.65,62.54
2018-01-11,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4037.0,2723.71,62.26,62.58,93.75,249.99,62.58
2018-01-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3188.0,15379.5,32.47,62.51,93.56,183.46,62.51
2018-01-15,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2707.0,703.6,19.65,62.5,78.19,140.64,62.5
2018-01-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4281.0,1140.65,34.24,62.51,91.32,187.5,62.51
2018-01-17,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4641.0,19239.35,39.15,78.12,94.1,187.53,78.12
2018-01-18,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4699.0,1734.35,33.72,62.51,79.08,140.61,62.51
2018-01-19,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3735.0,67141.44,31.23,62.5,93.69,171.87,62.5
2018-01-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4312.0,19241.75,31.19,62.5,80.56,169.43,62.5
2018-01-23,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3737.0,19278.25,31.22,62.5,79.49,156.26,62.5
2018-01-24,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3974.0,14357.57,31.26,62.5,78.58,156.54,62.5
2018-01-25,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3968.0,13669.91,31.58,62.51,92.39,171.86,62.51
2018-01-26,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3358.0,1812.5,31.27,62.5,78.81,156.21,62.5
2018-01-29,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4134.0,19259.19,34.38,62.51,93.35,218.73,62.51
2018-01-30,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4337.0,1671.83,31.28,62.51,93.74,175.44,62.51
2018-01-31,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4067.0,15002.61,31.36,62.5,93.7,157.33,62.5
2018-02-01,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4302.0,19270.97,31.42,62.51,93.74,175.1,62.51
2018-02-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3730.0,19280.04,31.25,62.5,83.51,156.3,62.5
2018-02-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4954.0,1125.0,30.41,62.5,79.21,171.87,62.5
2018-02-06,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4892.0,19288.59,31.59,62.51,94.57,234.37,62.51
2018-02-07,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4640.0,722.93,33.89,62.51,93.75,173.68,62.51
2018-02-08,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4476.0,18724.46,32.39,62.63,93.75,171.89,62.63
2018-02-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3564.0,17183.77,43.27,62.64,93.74,171.16,62.64
2018-02-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4244.0,12548.66,31.92,62.51,93.59,159.84,62.51
2018-02-13,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2868.0,874.93,62.49,77.3,93.75,138.4,77.3
2018-02-14,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4101.0,19361.36,31.47,62.51,92.97,171.74,62.51
2018-02-15,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4019.0,19245.42,31.37,62.52,93.7,140.92,62.52
2018-02-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3402.0,765.54,31.26,62.51,91.09,154.47,62.51
2018-02-19,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,2555.0,890.63,19.08,62.49,79.4,156.25,62.49
2018-02-20,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4635.0,1531.36,44.27,66.46,140.63,431.55,66.46
2018-02-21,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4510.0,1799.39,37.37,62.57,93.76,156.25,62.57
2018-02-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4462.0,3656.24,35.0,62.52,93.75,156.25,62.52
2018-02-23,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3947.0,19370.17,29.23,62.5,93.74,186.75,62.5
2018-02-26,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5074.0,656.24,31.38,62.51,93.75,156.25,62.51
2018-02-27,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5548.0,2168.94,31.78,62.52,93.75,156.25,62.52
2018-02-28,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5057.0,19374.7,35.11,62.52,93.74,156.24,62.52
2018-03-01,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4522.0,5675.47,36.0,62.53,93.75,171.54,62.53
2018-03-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3719.0,8114.4,31.05,62.5,79.1,155.19,62.5
2018-03-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4294.0,10180.17,31.25,62.51,93.74,140.62,62.51
2018-03-06,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4306.0,6810.62,50.99,62.59,93.75,171.86,62.59
2018-03-07,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4058.0,4899.9,62.31,71.02,109.35,234.34,71.02
2018-03-08,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4146.0,19276.69,31.39,62.51,93.69,156.25,62.51
2018-03-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3274.0,903.72,31.5,62.51,93.7,129.71,62.51
2018-03-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4811.0,843.86,31.25,62.5,93.74,140.62,62.5
2018-03-13,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4982.0,3093.67,31.58,62.51,93.74,144.8,62.51
2018-03-14,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4724.0,19237.44,35.02,62.51,93.74,154.36,62.51
2018-03-15,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4385.0,828.11,31.24,62.5,92.08,171.49,62.5
2018-03-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4008.0,6203.05,31.16,62.5,82.7,171.87,62.5
2018-03-19,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3495.0,6130.35,28.91,62.5,92.89,156.25,62.5
2018-03-20,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3817.0,13748.67,20.18,62.5,89.01,156.25,62.5
2018-03-21,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3553.0,1234.3,31.07,62.5,79.14,140.61,62.5
2018-03-22,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3515.0,15494.83,29.2,62.5,78.27,140.62,62.5
2018-03-23,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3773.0,19265.63,31.22,62.5,78.87,145.2,62.5
2018-03-26,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4789.0,1874.98,31.24,62.5,93.5,140.63,62.5
2018-03-27,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5327.0,19265.46,31.23,62.5,93.71,156.25,62.5
2018-03-28,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4967.0,19368.35,33.36,62.51,93.69,141.47,62.51
2018-03-29,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4625.0,7413.19,33.21,62.51,93.74,156.02,62.51
2018-03-30,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3224.0,13093.48,45.24,62.51,93.75,187.5,62.51
2018-04-02,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3383.0,5250.01,62.45,62.55,93.75,171.87,62.55
2018-04-03,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,5170.0,1234.39,31.31,62.5,81.52,156.19,62.5
2018-04-04,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4996.0,9347.88,31.66,62.51,93.74,156.26,62.51
2018-04-05,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4861.0,6756.37,30.02,62.5,78.21,140.62,62.5
2018-04-06,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3771.0,19426.11,31.25,62.5,93.77,250.0,62.5
2018-04-09,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4823.0,19283.26,30.93,62.5,78.4,140.61,62.5
2018-04-10,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4718.0,4234.35,31.24,62.51,93.71,140.71,62.51
2018-04-11,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4887.0,19267.51,31.21,62.5,81.74,156.26,62.5
2018-04-12,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4437.0,1906.23,31.31,62.5,93.13,156.68,62.5
2018-04-13,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,3942.0,19251.24,29.81,62.5,79.28,154.76,62.5
2018-04-16,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4585.0,51920.36,31.24,62.51,93.74,156.25,62.51
2018-04-17,UcmDbConn,[Common].[GetCatchAndReleaseTeamManagers],All,4749.0,1893.38,31.82,62.51,92.34,140.61,62.51
