startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-25,UcmDbConn,[Common].[GetContactInformationByEntityType],All,681.0,1359.24,63.11,78.32,625.02,1156.21,78.32
2017-12-26,UcmDbConn,[Common].[GetContactInformationByEntityType],All,3835.0,8077.81,62.5,78.12,262.43,640.95,78.12
2017-12-27,UcmDbConn,[Common].[GetContactInformationByEntityType],All,10912.0,8229.17,62.52,78.13,157.03,586.04,78.13
2017-12-28,UcmDbConn,[Common].[GetContactInformationByEntityType],All,9710.0,1234.37,78.12,92.01,156.24,609.34,92.01
2017-12-29,UcmDbConn,[Common].[GetContactInformationByEntityType],All,8795.0,2091.85,78.12,93.72,156.66,625.09,93.72
2018-01-01,UcmDbConn,[Common].[GetContactInformationByEntityType],All,1815.0,2207.56,78.13,93.75,624.94,1046.74,93.75
2018-01-02,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20555.0,4437.46,78.12,93.74,156.3,354.2,93.74
2018-01-03,UcmDbConn,[Common].[GetContactInformationByEntityType],All,19303.0,8395.49,78.12,93.75,171.87,390.59,93.75
2018-01-04,UcmDbConn,[Common].[GetContactInformationByEntityType],All,16184.0,2046.74,78.12,93.74,171.66,374.37,93.74
2018-01-05,UcmDbConn,[Common].[GetContactInformationByEntityType],All,17903.0,2249.9,78.13,93.75,173.3,437.53,93.75
2018-01-08,UcmDbConn,[Common].[GetContactInformationByEntityType],All,21115.0,15828.13,78.12,93.75,187.49,443.24,93.75
2018-01-09,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20936.0,5375.61,78.13,93.75,171.88,390.6,93.75
2018-01-10,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20285.0,4028.64,62.48,78.13,143.05,422.5,78.13
2018-01-11,UcmDbConn,[Common].[GetContactInformationByEntityType],All,19147.0,5078.72,62.44,78.13,156.25,429.53,78.13
2018-01-12,UcmDbConn,[Common].[GetContactInformationByEntityType],All,16468.0,1688.69,35.52,78.11,140.6,422.33,78.11
2018-01-15,UcmDbConn,[Common].[GetContactInformationByEntityType],All,12786.0,2738.76,31.25,78.03,139.49,609.18,78.03
2018-01-16,UcmDbConn,[Common].[GetContactInformationByEntityType],All,22330.0,3577.9,34.93,78.12,139.36,325.57,78.12
2018-01-17,UcmDbConn,[Common].[GetContactInformationByEntityType],All,19920.0,19088.21,34.83,79.81,140.63,344.81,79.81
2018-01-18,UcmDbConn,[Common].[GetContactInformationByEntityType],All,22380.0,1562.83,35.6,78.12,127.61,328.14,78.12
2018-01-19,UcmDbConn,[Common].[GetContactInformationByEntityType],All,17593.0,15003.63,35.61,78.12,140.64,390.77,78.12
2018-01-22,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20167.0,22779.11,31.3,78.08,125.06,353.99,78.08
2018-01-23,UcmDbConn,[Common].[GetContactInformationByEntityType],All,18140.0,5383.7,31.36,78.11,124.99,328.19,78.11
2018-01-24,UcmDbConn,[Common].[GetContactInformationByEntityType],All,17480.0,1765.51,31.3,78.1,125.0,359.26,78.1
2018-01-25,UcmDbConn,[Common].[GetContactInformationByEntityType],All,17757.0,15534.92,33.31,78.12,125.0,313.56,78.12
2018-01-26,UcmDbConn,[Common].[GetContactInformationByEntityType],All,17130.0,1640.47,31.6,78.11,125.06,378.25,78.11
2018-01-29,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20678.0,1484.34,32.16,78.12,138.98,358.96,78.12
2018-01-30,UcmDbConn,[Common].[GetContactInformationByEntityType],All,21784.0,3737.26,31.85,78.11,125.75,312.23,78.11
2018-01-31,UcmDbConn,[Common].[GetContactInformationByEntityType],All,20347.0,2843.01,33.0,78.12,127.75,327.02,78.12
2018-02-01,UcmDbConn,[Common].[GetContactInformationByEntityType],All,23110.0,4893.61,36.57,78.12,140.61,359.48,78.12
2018-02-02,UcmDbConn,[Common].[GetContactInformationByEntityType],All,19643.0,1484.32,33.67,78.12,140.56,395.62,78.12
