startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-21,UcmDbConn,[Common].[GetCustomerStates],All,178.0,2753.34,62.5,593.71,1117.91,2187.44,593.71
2017-12-22,UcmDbConn,[Common].[GetCustomerStates],All,94.0,1734.42,62.56,609.09,1125.01,1734.42,609.09
2017-12-25,UcmDbConn,[Common].[GetCustomerStates],All,25.0,2640.56,1036.09,1281.78,2593.7,2640.56,1281.78
2017-12-26,UcmDbConn,[Common].[GetCustomerStates],All,53.0,1733.21,578.12,625.01,1234.27,1733.21,625.01
2017-12-27,UcmDbConn,[Common].[GetCustomerStates],All,128.0,1140.54,62.51,593.76,1015.58,1127.28,593.76
2017-12-28,UcmDbConn,[Common].[GetCustomerStates],All,104.0,4626.59,78.11,609.36,1140.64,2734.3,609.36
2017-12-29,UcmDbConn,[Common].[GetCustomerStates],All,105.0,2062.51,62.51,593.53,655.04,1125.0,593.53
2018-01-01,UcmDbConn,[Common].[GetCustomerStates],All,50.0,3140.01,624.7,1593.73,2500.91,3140.01,1593.73
2018-01-02,UcmDbConn,[Common].[GetCustomerStates],All,147.0,2916.63,62.89,171.86,687.4,1156.21,171.86
2018-01-03,UcmDbConn,[Common].[GetCustomerStates],All,171.0,2172.48,62.61,592.57,874.88,1171.86,592.57
2018-01-04,UcmDbConn,[Common].[GetCustomerStates],All,86.0,1156.23,62.89,593.22,654.86,1156.23,593.22
2018-01-05,UcmDbConn,[Common].[GetCustomerStates],All,186.0,2875.07,62.53,546.85,686.5,2164.07,546.85
2018-01-08,UcmDbConn,[Common].[GetCustomerStates],All,172.0,1437.48,63.31,578.12,655.19,1218.77,578.12
2018-01-09,UcmDbConn,[Common].[GetCustomerStates],All,197.0,4313.16,62.74,546.88,686.55,3298.16,546.88
2018-01-10,UcmDbConn,[Common].[GetCustomerStates],All,239.0,3080.56,62.5,125.02,657.19,1203.11,125.02
2018-01-11,UcmDbConn,[Common].[GetCustomerStates],All,225.0,2906.13,62.5,374.92,656.21,1124.99,374.92
2018-01-12,UcmDbConn,[Common].[GetCustomerStates],All,200.0,2186.7,62.5,593.74,1093.7,2062.42,593.74
2018-01-15,UcmDbConn,[Common].[GetCustomerStates],All,106.0,2187.52,63.13,609.36,1109.56,1630.44,609.36
2018-01-16,UcmDbConn,[Common].[GetCustomerStates],All,220.0,2109.51,62.49,77.63,640.66,1718.63,77.63
2018-01-17,UcmDbConn,[Common].[GetCustomerStates],All,267.0,9390.14,62.61,577.93,780.97,2703.06,577.93
2018-01-18,UcmDbConn,[Common].[GetCustomerStates],All,277.0,1374.92,62.5,86.21,625.07,1141.23,86.21
2018-01-19,UcmDbConn,[Common].[GetCustomerStates],All,321.0,1671.78,62.49,78.12,640.61,1140.62,78.12
2018-01-22,UcmDbConn,[Common].[GetCustomerStates],All,229.0,1343.72,62.5,109.38,656.24,1109.35,109.38
2018-01-23,UcmDbConn,[Common].[GetCustomerStates],All,299.0,3468.67,62.49,78.13,688.74,2078.08,78.13
2018-01-24,UcmDbConn,[Common].[GetCustomerStates],All,210.0,4131.7,62.5,109.03,656.49,1175.15,109.03
2018-01-25,UcmDbConn,[Common].[GetCustomerStates],All,246.0,2828.22,62.5,374.98,765.46,1269.37,374.98
2018-01-26,UcmDbConn,[Common].[GetCustomerStates],All,303.0,2233.76,62.43,391.19,1109.35,1671.66,391.19
2018-01-29,UcmDbConn,[Common].[GetCustomerStates],All,313.0,2907.11,62.49,93.89,703.11,1186.77,93.89
2018-01-30,UcmDbConn,[Common].[GetCustomerStates],All,416.0,2796.85,62.11,77.87,641.07,1156.2,77.87
2018-01-31,UcmDbConn,[Common].[GetCustomerStates],All,397.0,1469.25,61.29,62.84,653.68,1171.8,62.84
2018-02-01,UcmDbConn,[Common].[GetCustomerStates],All,416.0,5062.14,61.9,78.12,702.9,1156.76,78.12
2018-02-02,UcmDbConn,[Common].[GetCustomerStates],All,380.0,3106.23,62.45,78.17,890.75,1625.18,78.17
2018-02-05,UcmDbConn,[Common].[GetCustomerStates],All,169.0,1984.42,62.5,93.74,1109.33,1687.55,93.74
2018-02-06,UcmDbConn,[Common].[GetCustomerStates],All,181.0,2874.83,62.5,515.59,656.15,1765.66,515.59
2018-02-07,UcmDbConn,[Common].[GetCustomerStates],All,287.0,1703.3,62.5,78.12,640.48,1187.51,78.12
2018-02-08,UcmDbConn,[Common].[GetCustomerStates],All,236.0,3469.16,62.5,484.41,734.38,1562.5,484.41
2018-02-09,UcmDbConn,[Common].[GetCustomerStates],All,195.0,2077.81,62.5,125.0,640.63,1140.33,125.0
2018-02-12,UcmDbConn,[Common].[GetCustomerStates],All,124.0,1046.83,62.5,78.99,625.61,984.36,78.99
2018-02-13,UcmDbConn,[Common].[GetCustomerStates],All,159.0,2281.15,62.5,78.13,687.48,1156.13,78.13
2018-02-14,UcmDbConn,[Common].[GetCustomerStates],All,170.0,5968.82,62.5,593.68,703.14,5468.86,593.68
2018-02-15,UcmDbConn,[Common].[GetCustomerStates],All,167.0,1655.85,62.5,109.45,640.66,1140.67,109.45
2018-02-16,UcmDbConn,[Common].[GetCustomerStates],All,94.0,703.87,62.21,62.51,593.65,703.87,62.51
2018-02-19,UcmDbConn,[Common].[GetCustomerStates],All,67.0,3046.75,62.49,593.42,984.35,3046.75,593.42
2018-02-20,UcmDbConn,[Common].[GetCustomerStates],All,144.0,1203.6,62.53,293.24,686.85,1171.93,293.24
2018-02-21,UcmDbConn,[Common].[GetCustomerStates],All,128.0,3264.99,62.5,562.0,704.51,2093.26,562.0
2018-02-22,UcmDbConn,[Common].[GetCustomerStates],All,318.0,3015.65,62.5,78.11,655.15,1093.72,78.11
2018-02-23,UcmDbConn,[Common].[GetCustomerStates],All,112.0,2187.49,62.42,79.25,1031.22,1703.06,79.25
2018-02-26,UcmDbConn,[Common].[GetCustomerStates],All,227.0,1765.59,62.5,78.12,643.12,1718.73,78.12
2018-02-27,UcmDbConn,[Common].[GetCustomerStates],All,263.0,2860.75,62.49,78.11,640.56,1156.29,78.11
2018-02-28,UcmDbConn,[Common].[GetCustomerStates],All,190.0,3312.46,62.5,78.12,656.23,1624.97,78.12
2018-03-01,UcmDbConn,[Common].[GetCustomerStates],All,239.0,1687.47,62.5,78.12,670.62,1156.26,78.12
2018-03-02,UcmDbConn,[Common].[GetCustomerStates],All,221.0,2687.45,62.5,78.12,812.48,1828.09,78.12
2018-03-05,UcmDbConn,[Common].[GetCustomerStates],All,158.0,1843.52,62.5,79.18,671.88,1171.9,79.18
2018-03-06,UcmDbConn,[Common].[GetCustomerStates],All,304.0,2788.99,62.5,79.06,703.18,1171.89,79.06
2018-03-07,UcmDbConn,[Common].[GetCustomerStates],All,153.0,2843.71,62.5,593.76,1140.62,2484.6,593.76
2018-03-08,UcmDbConn,[Common].[GetCustomerStates],All,271.0,2722.5,62.5,78.13,766.53,1281.22,78.13
2018-03-09,UcmDbConn,[Common].[GetCustomerStates],All,139.0,2249.98,62.5,593.73,1140.65,1644.84,593.73
2018-03-12,UcmDbConn,[Common].[GetCustomerStates],All,226.0,1593.73,62.49,78.32,656.25,1171.84,78.32
2018-03-13,UcmDbConn,[Common].[GetCustomerStates],All,257.0,2671.84,62.49,79.12,1156.23,1633.77,79.12
2018-03-14,UcmDbConn,[Common].[GetCustomerStates],All,258.0,4124.73,62.49,78.13,812.49,1640.61,78.13
2018-03-15,UcmDbConn,[Common].[GetCustomerStates],All,236.0,3218.74,62.5,218.78,734.46,1203.52,218.78
2018-03-16,UcmDbConn,[Common].[GetCustomerStates],All,258.0,2966.09,62.5,577.56,718.65,2218.76,577.56
2018-03-19,UcmDbConn,[Common].[GetCustomerStates],All,135.0,3343.69,62.5,609.37,1171.86,2671.87,609.37
2018-03-20,UcmDbConn,[Common].[GetCustomerStates],All,177.0,2874.96,62.47,375.02,749.5,2234.45,375.02
2018-03-21,UcmDbConn,[Common].[GetCustomerStates],All,200.0,3634.14,62.5,79.51,1098.12,1671.89,79.51
2018-03-22,UcmDbConn,[Common].[GetCustomerStates],All,220.0,1691.71,62.49,562.5,1156.23,1455.6,562.5
2018-03-23,UcmDbConn,[Common].[GetCustomerStates],All,266.0,3483.77,62.5,78.13,703.16,1624.98,78.13
2018-03-26,UcmDbConn,[Common].[GetCustomerStates],All,294.0,2796.8,62.49,78.12,708.37,1367.14,78.12
2018-03-27,UcmDbConn,[Common].[GetCustomerStates],All,493.0,2816.73,62.49,77.15,657.73,1218.3,77.15
2018-03-28,UcmDbConn,[Common].[GetCustomerStates],All,213.0,3937.37,62.5,93.75,640.61,1578.09,93.75
2018-03-29,UcmDbConn,[Common].[GetCustomerStates],All,245.0,3438.18,62.26,109.38,657.59,1187.37,109.38
2018-03-30,UcmDbConn,[Common].[GetCustomerStates],All,193.0,3218.79,62.5,93.76,749.99,2843.46,93.76
2018-04-02,UcmDbConn,[Common].[GetCustomerStates],All,205.0,3843.66,62.5,593.68,718.71,2220.54,593.68
2018-04-03,UcmDbConn,[Common].[GetCustomerStates],All,196.0,1703.1,62.5,281.25,656.61,1203.1,281.25
2018-04-04,UcmDbConn,[Common].[GetCustomerStates],All,202.0,3656.19,62.49,78.1,745.34,2796.83,78.1
2018-04-05,UcmDbConn,[Common].[GetCustomerStates],All,200.0,1140.62,62.46,78.18,639.03,1109.41,78.18
2018-04-06,UcmDbConn,[Common].[GetCustomerStates],All,92.0,3422.29,62.5,591.37,796.48,3422.29,591.37
2018-04-09,UcmDbConn,[Common].[GetCustomerStates],All,187.0,2750.16,62.49,77.97,625.0,1156.24,77.97
2018-04-10,UcmDbConn,[Common].[GetCustomerStates],All,206.0,703.11,62.5,78.12,656.24,687.34,78.12
2018-04-11,UcmDbConn,[Common].[GetCustomerStates],All,211.0,2203.19,62.49,109.37,676.64,1311.61,109.37
