startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-15,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,10006.0,4716.91,37.15,62.52,209.93,609.41,62.52
2018-01-16,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,17152.0,8233.98,51.89,78.04,250.24,639.25,78.04
2018-01-17,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,15081.0,24734.51,59.66,78.13,218.93,624.95,78.13
2018-01-18,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,16750.0,4593.67,58.68,76.54,226.97,609.45,76.54
2018-01-19,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13168.0,3687.5,48.68,78.11,259.72,671.47,78.11
2018-01-22,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,14420.0,3273.91,35.39,65.23,234.93,625.9,65.23
2018-01-23,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13723.0,5368.05,45.53,64.47,260.74,640.88,64.47
2018-01-24,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13424.0,24821.18,48.19,76.64,310.43,703.55,76.64
2018-01-25,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13308.0,2421.9,49.19,75.19,234.72,651.15,75.19
2018-01-26,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13154.0,87496.26,33.33,62.92,275.79,656.37,62.92
2018-01-29,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,15364.0,12274.25,32.28,63.27,250.0,640.62,63.27
2018-01-30,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,16350.0,11487.91,46.83,78.03,297.92,718.16,78.03
2018-01-31,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,15717.0,4251.92,48.29,77.97,276.01,667.04,77.97
2018-02-01,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,16371.0,6236.66,47.78,78.07,268.68,671.18,78.07
2018-02-02,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13237.0,12994.92,47.66,77.62,271.97,656.81,77.62
2018-02-05,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,15050.0,2859.33,34.37,62.56,250.23,654.87,62.56
2018-02-06,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,13649.0,14391.99,32.17,62.65,325.91,747.58,62.65
2018-02-07,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,14147.0,3059.14,33.64,62.55,250.09,656.24,62.55
2018-02-08,UcmDbConn,[Common].[GetLastOpportunitySaleDateByAccount],All,12668.0,10988.49,46.73,78.04,280.57,662.85,78.04
