startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-19,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,14829.0,19187.8,46.88,62.5,93.73,140.6,62.5
2017-12-20,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,13412.0,1421.88,46.88,62.5,78.64,109.39,62.5
2017-12-21,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,13074.0,17046.57,46.91,62.51,93.74,125.0,62.51
2017-12-22,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,7563.0,13214.53,46.87,62.5,78.74,132.59,62.5
2017-12-25,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,817.0,1140.63,62.5,62.54,312.5,609.36,62.54
2017-12-26,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,4620.0,1124.39,62.49,62.52,93.75,187.5,62.52
2017-12-27,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,8558.0,2390.65,62.49,62.52,93.75,156.24,62.52
2017-12-28,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,8162.0,19324.9,62.51,78.12,93.76,125.0,78.12
2017-12-29,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,7530.0,19274.08,62.51,78.12,93.76,124.99,78.12
2018-01-01,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,1375.0,1593.74,62.5,62.8,93.75,599.82,62.8
2018-01-02,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,14723.0,5360.0,62.51,78.12,93.98,156.24,78.12
2018-01-03,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,14941.0,19267.84,62.51,78.12,94.47,156.23,78.12
2018-01-04,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,12812.0,5078.04,62.51,78.12,93.93,140.63,78.12
2018-01-05,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,11767.0,1656.26,62.51,78.12,109.23,156.22,78.12
2018-01-08,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,13855.0,19259.77,62.51,78.12,95.3,156.24,78.12
2018-01-09,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25462.0,3499.78,62.51,78.13,109.37,171.7,78.13
2018-01-10,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25436.0,8906.47,50.22,62.51,93.75,140.62,62.51
2018-01-11,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25850.0,1657.21,48.55,62.51,93.75,156.13,62.51
2018-01-12,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,20568.0,1125.38,31.25,62.5,93.74,125.01,62.5
2018-01-15,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,19181.0,4374.78,19.58,62.5,78.14,109.37,62.5
2018-01-16,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26325.0,1796.86,31.27,62.51,93.75,125.0,62.51
2018-01-17,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26605.0,2062.02,31.27,78.12,93.88,125.0,78.12
2018-01-18,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26520.0,19242.13,31.26,62.51,93.74,109.95,62.51
2018-01-19,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,21262.0,16676.46,31.24,62.51,93.75,125.01,62.51
2018-01-22,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25673.0,19276.78,20.46,62.5,93.74,125.03,62.5
2018-01-23,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,23860.0,19233.11,19.47,62.5,93.7,109.41,62.5
2018-01-24,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25068.0,19263.93,31.15,62.5,93.74,125.0,62.5
2018-01-25,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25538.0,4592.54,31.25,62.51,93.74,112.19,62.51
2018-01-26,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22216.0,2609.57,20.69,62.5,93.73,123.7,62.5
2018-01-29,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29153.0,18243.85,27.3,62.5,93.75,171.87,62.5
2018-01-30,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28784.0,7099.22,31.21,62.51,93.75,140.63,62.51
2018-01-31,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28251.0,2749.97,31.26,62.51,93.75,126.62,62.51
2018-02-01,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,27817.0,19287.62,31.25,62.51,93.75,140.62,62.51
2018-02-02,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,23936.0,19267.21,31.22,62.5,93.74,125.01,62.5
2018-02-05,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29761.0,18787.68,31.21,62.51,93.75,125.0,62.51
2018-02-06,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30667.0,3015.61,29.91,62.5,93.75,156.39,62.5
2018-02-07,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29881.0,2515.63,31.23,62.51,93.75,125.0,62.51
2018-02-08,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,27047.0,19258.46,31.24,62.51,93.76,125.01,62.51
2018-02-09,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,23003.0,6187.7,31.25,62.51,93.75,125.0,62.51
2018-02-12,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30377.0,2906.27,31.25,62.51,93.75,125.01,62.51
2018-02-13,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,20447.0,4171.89,46.78,62.52,93.76,140.55,62.52
2018-02-14,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26946.0,1468.74,31.24,62.51,93.75,124.91,62.51
2018-02-15,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24168.0,19371.33,31.25,62.51,93.75,125.0,62.51
2018-02-16,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22033.0,1156.2,31.22,62.51,93.75,124.97,62.51
2018-02-19,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,21088.0,1656.02,17.93,62.5,78.37,171.71,62.5
2018-02-20,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30821.0,8320.78,47.96,66.13,155.77,527.62,66.13
2018-02-21,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29935.0,19376.38,31.27,62.51,93.76,140.65,62.51
2018-02-22,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29824.0,19256.5,32.22,62.51,93.75,125.01,62.51
2018-02-23,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24429.0,6959.31,31.26,62.51,93.75,125.02,62.51
2018-02-26,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29915.0,2109.36,31.25,62.51,93.75,125.0,62.51
2018-02-27,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,33064.0,4624.91,31.25,62.51,93.75,125.13,62.51
2018-02-28,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30949.0,19280.49,40.01,62.52,93.77,140.62,62.52
2018-03-01,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28935.0,28484.3,31.88,62.51,93.75,125.44,62.51
2018-03-02,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22095.0,19254.16,27.72,62.5,93.75,125.01,62.5
2018-03-05,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26277.0,14309.21,31.13,62.5,93.75,125.0,62.5
2018-03-06,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29475.0,14343.2,35.23,62.51,93.78,127.83,62.51
2018-03-07,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25883.0,4126.37,62.24,62.53,94.29,171.87,62.53
2018-03-08,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24948.0,1764.13,31.34,62.51,93.76,125.01,62.51
2018-03-09,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,20719.0,1062.49,31.25,62.51,93.76,125.15,62.51
2018-03-12,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29638.0,9433.05,31.22,62.5,93.76,140.11,62.5
2018-03-13,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30485.0,7499.86,31.14,62.51,93.76,125.03,62.51
2018-03-14,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29729.0,10285.93,31.27,62.51,93.76,125.01,62.51
2018-03-15,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,27149.0,19286.66,31.25,62.51,93.75,125.0,62.51
2018-03-16,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,23218.0,1687.48,31.25,62.51,93.75,125.03,62.51
2018-03-19,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24519.0,1190.87,30.94,62.5,93.75,138.44,62.5
2018-03-20,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24205.0,19271.35,30.73,62.5,93.74,125.05,62.5
2018-03-21,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22668.0,1703.08,31.24,62.51,93.75,125.0,62.51
2018-03-22,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22253.0,15257.7,28.67,62.5,93.74,109.47,62.5
2018-03-23,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,22565.0,19288.86,31.21,62.5,93.75,125.01,62.5
2018-03-26,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28003.0,19260.56,31.25,62.51,93.75,125.01,62.51
2018-03-27,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29063.0,19256.95,31.24,62.51,93.76,126.14,62.51
2018-03-28,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29979.0,19368.9,46.58,62.53,93.97,140.62,62.53
2018-03-29,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,26815.0,1578.11,31.27,62.51,93.78,140.51,62.51
2018-03-30,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,19597.0,1624.97,62.48,63.74,109.36,156.24,63.74
2018-04-02,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,21040.0,5453.05,62.18,62.53,108.81,155.68,62.53
2018-04-03,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30647.0,21375.45,31.25,62.51,93.8,140.63,62.51
2018-04-04,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,31497.0,19275.69,31.24,62.51,93.75,125.0,62.51
2018-04-05,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,32186.0,19273.72,29.7,62.5,93.75,125.0,62.5
2018-04-06,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25695.0,3140.66,31.26,62.51,109.37,367.51,62.51
2018-04-09,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29668.0,4593.73,31.25,62.51,93.75,125.02,62.51
2018-04-10,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,31259.0,9765.96,31.23,62.51,93.75,125.03,62.51
2018-04-11,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28230.0,19192.39,31.24,62.51,93.79,156.25,62.51
2018-04-12,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28605.0,5046.94,31.24,62.51,93.76,140.61,62.51
2018-04-13,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,25455.0,15013.44,31.25,62.51,93.78,140.6,62.51
2018-04-16,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,28580.0,1296.95,31.28,62.53,94.04,140.64,62.53
2018-04-17,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29864.0,17533.87,45.07,62.54,94.23,156.25,62.54
2018-04-18,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,31129.0,27204.62,46.8,62.54,93.79,140.63,62.54
2018-04-19,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,30797.0,19281.05,31.26,62.53,94.13,140.63,62.53
2018-04-20,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24957.0,1906.22,30.29,62.51,93.75,125.01,62.51
2018-04-23,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29761.0,1673.31,31.25,62.53,109.3,171.91,62.53
2018-04-24,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29507.0,2123.35,48.15,78.11,125.01,218.75,78.11
2018-04-25,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,29362.0,19267.97,46.88,62.54,93.78,140.26,62.54
2018-04-26,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,21125.0,33604.99,62.51,78.13,109.38,187.39,78.13
2018-04-27,UcmDbConn,[Common].[GetTagsByTagTypeIdAndUserId],All,24438.0,5566.22,62.5,78.13,125.01,359.04,78.13
