startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-19,UcmDbConn,[Common].[GetTeamNameForUser],All,3227.0,1019.48,31.27,62.49,78.12,109.38,62.49
2017-12-20,UcmDbConn,[Common].[GetTeamNameForUser],All,2505.0,656.25,31.25,46.89,62.6,93.75,46.89
2017-12-21,UcmDbConn,[Common].[GetTeamNameForUser],All,2454.0,19211.57,31.25,47.31,78.11,155.68,47.31
2017-12-22,UcmDbConn,[Common].[GetTeamNameForUser],All,1686.0,406.29,31.27,60.88,64.37,93.75,60.88
2017-12-25,UcmDbConn,[Common].[GetTeamNameForUser],All,39.0,93.74,62.51,62.54,78.14,93.74,62.54
2017-12-26,UcmDbConn,[Common].[GetTeamNameForUser],All,1166.0,328.13,31.26,46.89,62.54,78.16,46.89
2017-12-27,UcmDbConn,[Common].[GetTeamNameForUser],All,1936.0,1219.27,62.41,62.51,78.13,109.32,62.51
2017-12-28,UcmDbConn,[Common].[GetTeamNameForUser],All,1953.0,19266.93,62.51,77.79,78.16,109.4,77.79
2017-12-29,UcmDbConn,[Common].[GetTeamNameForUser],All,2073.0,499.98,62.51,78.11,78.16,109.37,78.11
2018-01-01,UcmDbConn,[Common].[GetTeamNameForUser],All,115.0,78.69,62.51,62.6,78.13,78.16,62.6
2018-01-02,UcmDbConn,[Common].[GetTeamNameForUser],All,3616.0,624.82,62.51,78.12,93.75,140.66,78.12
2018-01-03,UcmDbConn,[Common].[GetTeamNameForUser],All,2828.0,734.55,62.51,78.12,93.55,156.25,78.12
2018-01-04,UcmDbConn,[Common].[GetTeamNameForUser],All,2426.0,390.61,62.51,78.11,78.55,140.56,78.11
2018-01-05,UcmDbConn,[Common].[GetTeamNameForUser],All,2795.0,1906.28,62.51,78.12,93.75,187.48,78.12
2018-01-08,UcmDbConn,[Common].[GetTeamNameForUser],All,2438.0,811.27,62.51,78.12,93.28,156.25,78.12
2018-01-09,UcmDbConn,[Common].[GetTeamNameForUser],All,3577.0,5812.37,62.51,78.12,93.75,140.64,78.12
2018-01-10,UcmDbConn,[Common].[GetTeamNameForUser],All,2713.0,333.64,46.83,62.5,78.14,109.39,62.5
2018-01-11,UcmDbConn,[Common].[GetTeamNameForUser],All,3354.0,2468.7,31.38,62.5,78.13,111.93,62.5
2018-01-12,UcmDbConn,[Common].[GetTeamNameForUser],All,3370.0,390.65,15.68,33.22,78.12,93.75,33.22
2018-01-15,UcmDbConn,[Common].[GetTeamNameForUser],All,2834.0,3045.25,15.64,31.21,78.09,78.95,31.21
2018-01-16,UcmDbConn,[Common].[GetTeamNameForUser],All,4333.0,666.88,16.54,62.49,78.13,124.02,62.49
2018-01-17,UcmDbConn,[Common].[GetTeamNameForUser],All,3047.0,922.14,16.51,62.52,93.75,109.38,62.52
