startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-24,UcmDbConn,[Common].[GetUserDetailsHistory],All,368.0,454.67,20.75,47.02,109.37,312.52,47.02
2018-01-25,UcmDbConn,[Common].[GetUserDetailsHistory],All,162.0,781.24,15.64,32.7,93.69,744.83,32.7
2018-01-26,UcmDbConn,[Common].[GetUserDetailsHistory],All,371.0,437.49,15.65,31.25,93.75,265.62,31.25
2018-01-29,UcmDbConn,[Common].[GetUserDetailsHistory],All,292.0,640.59,18.88,49.39,125.0,453.14,49.39
2018-01-30,UcmDbConn,[Common].[GetUserDetailsHistory],All,434.0,19276.48,15.65,31.27,109.52,421.74,31.27
2018-01-31,UcmDbConn,[Common].[GetUserDetailsHistory],All,207.0,703.02,16.55,62.48,328.03,640.6,62.48
2018-02-01,UcmDbConn,[Common].[GetUserDetailsHistory],All,247.0,656.7,15.64,31.24,93.79,515.67,31.24
2018-02-02,UcmDbConn,[Common].[GetUserDetailsHistory],All,346.0,1182.24,15.63,19.38,77.9,324.53,19.38
2018-02-05,UcmDbConn,[Common].[GetUserDetailsHistory],All,259.0,234.35,15.63,31.24,78.13,140.65,31.24
2018-02-06,UcmDbConn,[Common].[GetUserDetailsHistory],All,460.0,419.2,15.64,31.25,138.39,312.51,31.25
2018-02-07,UcmDbConn,[Common].[GetUserDetailsHistory],All,186.0,531.26,15.63,20.62,62.5,468.78,20.62
2018-02-08,UcmDbConn,[Common].[GetUserDetailsHistory],All,308.0,531.25,15.63,19.9,78.15,360.65,19.9
2018-02-09,UcmDbConn,[Common].[GetUserDetailsHistory],All,300.0,956.97,15.63,20.36,62.47,110.16,20.36
2018-02-12,UcmDbConn,[Common].[GetUserDetailsHistory],All,209.0,546.88,15.64,31.23,93.78,361.04,31.23
2018-02-13,UcmDbConn,[Common].[GetUserDetailsHistory],All,158.0,390.63,15.66,31.25,99.44,374.92,31.25
2018-02-14,UcmDbConn,[Common].[GetUserDetailsHistory],All,216.0,375.0,15.65,31.24,62.53,250.01,31.24
2018-02-15,UcmDbConn,[Common].[GetUserDetailsHistory],All,86.0,473.82,15.64,31.25,78.12,473.82,31.25
2018-02-16,UcmDbConn,[Common].[GetUserDetailsHistory],All,258.0,312.45,15.63,27.09,46.86,186.68,27.09
2018-02-19,UcmDbConn,[Common].[GetUserDetailsHistory],All,215.0,343.79,15.64,46.87,126.0,273.91,46.87
2018-02-20,UcmDbConn,[Common].[GetUserDetailsHistory],All,417.0,647.79,18.93,57.51,156.25,421.88,57.51
2018-02-21,UcmDbConn,[Common].[GetUserDetailsHistory],All,191.0,390.61,19.43,78.12,140.61,390.59,78.12
2018-02-22,UcmDbConn,[Common].[GetUserDetailsHistory],All,282.0,265.63,15.81,31.26,109.39,246.44,31.26
2018-02-23,UcmDbConn,[Common].[GetUserDetailsHistory],All,264.0,484.48,15.65,31.27,81.72,265.61,31.27
2018-02-26,UcmDbConn,[Common].[GetUserDetailsHistory],All,284.0,795.94,15.63,31.28,93.94,312.94,31.28
2018-02-27,UcmDbConn,[Common].[GetUserDetailsHistory],All,335.0,578.11,17.15,54.2,125.0,296.86,54.2
2018-02-28,UcmDbConn,[Common].[GetUserDetailsHistory],All,259.0,343.76,15.64,31.3,93.74,328.1,31.3
2018-03-01,UcmDbConn,[Common].[GetUserDetailsHistory],All,178.0,503.95,19.76,78.13,281.23,500.0,78.13
2018-03-02,UcmDbConn,[Common].[GetUserDetailsHistory],All,242.0,218.72,15.64,31.26,93.75,172.48,31.26
2018-03-05,UcmDbConn,[Common].[GetUserDetailsHistory],All,230.0,265.62,18.24,31.26,78.96,156.25,31.26
2018-03-06,UcmDbConn,[Common].[GetUserDetailsHistory],All,249.0,326.26,15.64,31.28,108.93,185.99,31.28
2018-03-07,UcmDbConn,[Common].[GetUserDetailsHistory],All,412.0,312.51,16.02,31.26,93.75,234.41,31.26
2018-03-08,UcmDbConn,[Common].[GetUserDetailsHistory],All,488.0,512.62,18.19,31.38,125.01,405.2,31.38
2018-03-09,UcmDbConn,[Common].[GetUserDetailsHistory],All,216.0,375.0,18.77,46.88,140.23,312.49,46.88
2018-03-12,UcmDbConn,[Common].[GetUserDetailsHistory],All,341.0,734.38,16.82,46.87,158.44,496.35,46.87
2018-03-13,UcmDbConn,[Common].[GetUserDetailsHistory],All,350.0,374.73,17.32,46.83,79.99,249.99,46.83
2018-03-14,UcmDbConn,[Common].[GetUserDetailsHistory],All,243.0,620.46,15.64,31.25,125.0,296.91,31.25
2018-03-15,UcmDbConn,[Common].[GetUserDetailsHistory],All,242.0,436.22,15.65,46.88,91.4,140.94,46.88
2018-03-16,UcmDbConn,[Common].[GetUserDetailsHistory],All,174.0,437.54,15.62,17.76,46.88,343.76,17.76
2018-03-19,UcmDbConn,[Common].[GetUserDetailsHistory],All,147.0,281.3,15.63,31.25,78.14,187.54,31.25
2018-03-20,UcmDbConn,[Common].[GetUserDetailsHistory],All,251.0,314.06,15.65,31.25,78.11,109.38,31.25
2018-03-21,UcmDbConn,[Common].[GetUserDetailsHistory],All,234.0,300.24,15.64,31.25,140.61,281.29,31.25
2018-03-22,UcmDbConn,[Common].[GetUserDetailsHistory],All,308.0,314.54,16.97,46.87,83.01,232.07,46.87
2018-03-23,UcmDbConn,[Common].[GetUserDetailsHistory],All,242.0,312.51,18.04,39.01,125.04,224.14,39.01
2018-03-26,UcmDbConn,[Common].[GetUserDetailsHistory],All,269.0,375.85,15.65,45.26,93.75,249.97,45.26
2018-03-27,UcmDbConn,[Common].[GetUserDetailsHistory],All,277.0,421.94,15.62,20.73,93.74,172.32,20.73
2018-03-28,UcmDbConn,[Common].[GetUserDetailsHistory],All,280.0,328.11,15.65,31.27,78.16,140.64,31.27
2018-03-29,UcmDbConn,[Common].[GetUserDetailsHistory],All,191.0,330.29,15.65,31.24,95.72,220.12,31.24
2018-03-30,UcmDbConn,[Common].[GetUserDetailsHistory],All,226.0,296.9,18.35,62.5,93.39,170.66,62.5
2018-04-02,UcmDbConn,[Common].[GetUserDetailsHistory],All,324.0,331.06,15.65,31.25,93.71,296.86,31.25
2018-04-03,UcmDbConn,[Common].[GetUserDetailsHistory],All,490.0,437.89,15.64,31.23,89.16,299.43,31.23
2018-04-04,UcmDbConn,[Common].[GetUserDetailsHistory],All,506.0,473.87,15.63,31.19,78.17,264.46,31.19
2018-04-05,UcmDbConn,[Common].[GetUserDetailsHistory],All,809.0,484.35,15.62,15.66,62.5,109.41,15.66
2018-04-06,UcmDbConn,[Common].[GetUserDetailsHistory],All,903.0,687.49,15.62,19.19,81.36,218.76,19.19
2018-04-09,UcmDbConn,[Common].[GetUserDetailsHistory],All,397.0,390.61,15.63,31.22,93.77,312.48,31.22
2018-04-10,UcmDbConn,[Common].[GetUserDetailsHistory],All,434.0,296.87,15.62,15.76,60.71,171.89,15.76
2018-04-11,UcmDbConn,[Common].[GetUserDetailsHistory],All,456.0,953.06,15.62,18.07,78.12,140.63,18.07
2018-04-12,UcmDbConn,[Common].[GetUserDetailsHistory],All,564.0,296.9,15.62,15.84,62.48,156.24,15.84
2018-04-13,UcmDbConn,[Common].[GetUserDetailsHistory],All,437.0,529.46,15.62,15.65,46.85,109.38,15.65
2018-04-16,UcmDbConn,[Common].[GetUserDetailsHistory],All,246.0,656.25,15.64,46.87,125.0,350.47,46.87
2018-04-17,UcmDbConn,[Common].[GetUserDetailsHistory],All,385.0,359.37,15.62,30.14,78.12,234.38,30.14
2018-04-18,UcmDbConn,[Common].[GetUserDetailsHistory],All,338.0,437.49,15.62,16.12,46.88,171.88,16.12
2018-04-19,UcmDbConn,[Common].[GetUserDetailsHistory],All,338.0,220.5,15.62,15.84,62.53,156.23,15.84
2018-04-20,UcmDbConn,[Common].[GetUserDetailsHistory],All,584.0,390.88,15.62,15.67,47.08,218.78,15.67
2018-04-23,UcmDbConn,[Common].[GetUserDetailsHistory],All,483.0,1125.0,15.63,31.22,125.0,627.77,31.22
2018-04-24,UcmDbConn,[Common].[GetUserDetailsHistory],All,386.0,656.23,15.65,31.27,93.75,312.51,31.27
2018-04-25,UcmDbConn,[Common].[GetUserDetailsHistory],All,173.0,687.5,15.67,31.27,109.38,265.66,31.27
2018-04-26,UcmDbConn,[Common].[GetUserDetailsHistory],All,101.0,343.75,62.49,80.89,187.51,328.12,80.89
2018-04-27,UcmDbConn,[Common].[GetUserDetailsHistory],All,340.0,717.35,31.27,78.11,156.24,281.48,78.11
2018-04-30,UcmDbConn,[Common].[GetUserDetailsHistory],All,263.0,343.75,15.63,31.25,80.77,255.58,31.25
2018-05-01,UcmDbConn,[Common].[GetUserDetailsHistory],All,518.0,359.39,15.62,19.2,78.12,203.18,19.2
2018-05-02,UcmDbConn,[Common].[GetUserDetailsHistory],All,178.0,312.51,15.63,30.35,140.62,251.14,30.35
2018-05-03,UcmDbConn,[Common].[GetUserDetailsHistory],All,390.0,270.17,15.65,31.26,78.17,234.37,31.26
2018-05-04,UcmDbConn,[Common].[GetUserDetailsHistory],All,265.0,454.78,15.62,30.63,78.13,281.25,30.63
2018-05-07,UcmDbConn,[Common].[GetUserDetailsHistory],All,687.0,467.8,15.62,16.44,62.49,125.0,16.44
2018-05-08,UcmDbConn,[Common].[GetUserDetailsHistory],All,355.0,254.58,15.75,32.14,93.75,196.71,32.14
2018-05-09,UcmDbConn,[Common].[GetUserDetailsHistory],All,200.0,324.13,15.66,31.25,109.38,187.52,31.25
2018-05-10,UcmDbConn,[Common].[GetUserDetailsHistory],All,232.0,889.31,62.5,78.12,124.66,281.27,78.12
2018-05-11,UcmDbConn,[Common].[GetUserDetailsHistory],All,123.0,390.68,15.66,31.25,79.71,330.43,31.25
2018-05-14,UcmDbConn,[Common].[GetUserDetailsHistory],All,269.0,187.5,15.63,19.26,78.12,156.22,19.26
2018-05-15,UcmDbConn,[Common].[GetUserDetailsHistory],All,313.0,328.1,19.46,46.87,93.72,192.72,46.87
2018-05-16,UcmDbConn,[Common].[GetUserDetailsHistory],All,434.0,390.81,15.89,31.28,78.1,216.6,31.28
2018-05-17,UcmDbConn,[Common].[GetUserDetailsHistory],All,257.0,468.67,15.64,31.25,156.25,406.79,31.25
2018-05-18,UcmDbConn,[Common].[GetUserDetailsHistory],All,190.0,330.86,15.63,19.96,76.96,156.29,19.96
2018-05-21,UcmDbConn,[Common].[GetUserDetailsHistory],All,339.0,437.49,15.63,29.26,78.13,199.31,29.26
