startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-24,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,2939.0,433.23,46.87,62.47,95.74,140.91,62.47
2018-01-25,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1810.0,417.65,46.85,60.22,93.74,125.0,60.22
2018-01-26,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1895.0,262.54,46.88,62.52,109.4,169.35,62.52
2018-01-29,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,890.0,1375.08,49.86,93.74,171.92,296.91,93.74
2018-01-30,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1485.0,358.81,76.92,93.75,125.0,217.49,93.75
2018-01-31,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1030.0,265.59,46.87,62.49,98.32,139.64,62.49
2018-02-01,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1113.0,703.13,46.91,78.1,109.37,156.29,78.1
2018-02-02,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1120.0,281.29,46.88,62.51,140.59,234.35,62.51
2018-02-05,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,855.0,436.68,46.87,62.48,90.38,140.61,62.48
2018-02-06,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1350.0,439.31,46.88,62.53,109.38,170.33,62.53
2018-02-07,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1509.0,890.59,46.87,62.49,109.37,171.8,62.49
2018-02-08,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1457.0,261.48,46.88,62.5,109.37,140.63,62.5
2018-02-09,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,829.0,235.63,62.49,93.71,124.99,187.5,93.71
2018-02-12,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,839.0,249.99,46.86,62.51,93.74,126.06,62.51
2018-02-13,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,695.0,169.71,46.87,62.53,109.35,140.61,62.53
2018-02-14,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1175.0,343.81,46.87,62.51,109.37,187.51,62.51
2018-02-15,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,898.0,265.65,46.87,63.0,125.0,203.18,63.0
2018-02-16,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,742.0,283.26,46.9,73.56,125.0,205.28,73.56
2018-02-19,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,447.0,234.36,46.89,62.53,93.77,148.37,62.53
2018-02-20,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1493.0,4631.65,71.13,124.88,610.02,2047.0,124.88
2018-02-21,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,956.0,703.14,48.29,78.1,109.39,156.25,78.1
2018-02-22,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,965.0,359.41,62.55,93.76,140.63,171.87,93.76
2018-02-23,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,669.0,140.63,46.87,62.52,93.79,117.3,62.52
2018-02-26,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,968.0,1370.83,47.19,77.56,109.37,171.87,77.56
2018-02-27,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1332.0,406.3,77.35,93.76,140.62,187.5,93.76
2018-02-28,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1239.0,218.74,46.87,62.5,93.77,140.62,62.5
2018-03-01,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1442.0,765.59,46.91,66.93,109.37,205.07,66.93
2018-03-02,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,797.0,344.92,46.87,64.17,109.42,312.94,64.17
2018-03-05,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1602.0,245.92,46.89,66.0,109.27,169.83,66.0
2018-03-06,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,727.0,156.24,46.89,67.27,99.36,140.63,67.27
2018-03-07,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,881.0,328.12,52.25,78.17,113.25,140.67,78.17
2018-03-08,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,628.0,375.14,46.88,78.12,123.52,172.03,78.12
2018-03-09,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1077.0,1669.1,46.88,62.54,117.29,353.47,62.54
2018-03-12,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1407.0,812.4,46.87,62.53,109.36,203.15,62.53
2018-03-13,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,893.0,214.65,46.96,78.11,110.53,145.22,78.11
2018-03-14,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1625.0,656.32,60.31,79.65,124.99,257.57,79.65
2018-03-15,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1094.0,390.62,46.89,78.05,124.99,209.23,78.05
2018-03-16,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,708.0,249.97,62.47,78.25,125.0,169.87,78.25
2018-03-19,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,674.0,1265.62,46.9,74.54,125.01,308.0,74.54
2018-03-20,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,519.0,250.0,50.03,78.11,109.38,156.24,78.11
2018-03-21,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,351.0,317.09,46.87,62.52,103.73,142.78,62.52
2018-03-22,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,459.0,172.29,46.89,68.63,109.38,156.25,68.63
2018-03-23,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,761.0,656.24,78.14,109.07,156.25,187.57,109.07
2018-03-26,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,908.0,343.75,47.29,78.1,109.38,187.54,78.1
2018-03-27,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1162.0,337.95,50.29,78.12,125.0,218.75,78.12
2018-03-28,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1123.0,218.98,62.48,80.36,125.0,156.25,80.36
2018-03-29,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,819.0,616.47,64.28,93.74,125.0,140.68,93.74
2018-03-30,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,424.0,234.38,46.92,78.13,109.45,156.25,78.13
2018-04-02,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1092.0,218.77,49.21,78.13,124.91,171.85,78.13
2018-04-03,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1427.0,476.56,46.9,77.65,125.0,264.02,77.65
2018-04-04,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1259.0,410.0,46.87,65.93,93.77,186.98,65.93
2018-04-05,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1320.0,408.73,46.87,65.84,109.37,153.77,65.84
2018-04-06,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,855.0,3732.69,47.01,78.12,480.75,1617.28,78.12
2018-04-09,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1212.0,390.64,46.87,62.54,109.38,141.51,62.54
2018-04-10,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,870.0,343.75,46.89,63.58,124.98,203.11,63.58
2018-04-11,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1012.0,343.74,46.86,62.53,109.42,188.37,62.53
2018-04-12,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1233.0,218.74,62.5,93.75,125.0,156.28,93.75
2018-04-13,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,842.0,311.99,46.9,76.53,109.38,140.61,76.53
2018-04-16,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1188.0,453.16,62.5,93.52,128.66,328.13,93.52
2018-04-17,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1902.0,344.53,78.14,109.37,140.64,187.92,109.37
2018-04-18,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,2469.0,19383.81,62.77,93.75,140.62,202.75,93.75
2018-04-19,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1970.0,616.28,76.98,93.76,140.63,187.49,93.76
2018-04-20,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,2132.0,624.99,77.45,93.76,138.27,187.51,93.76
2018-04-23,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,2059.0,328.13,77.63,109.28,156.25,257.36,109.28
2018-04-24,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,820.0,359.41,62.51,106.72,171.87,203.15,106.72
2018-04-25,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1129.0,307.47,49.57,78.13,125.0,171.84,78.13
2018-04-26,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1741.0,1218.86,78.17,109.38,156.53,257.39,109.38
2018-04-27,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1234.0,765.66,93.76,124.99,156.28,218.78,124.99
2018-04-30,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,577.0,281.27,62.47,93.38,139.19,171.88,93.38
2018-05-01,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,1086.0,215.29,46.96,77.84,124.98,187.48,77.84
2018-05-02,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,705.0,250.01,47.23,78.11,103.49,156.27,78.11
2018-05-03,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,981.0,312.5,49.88,78.12,109.39,195.3,78.12
2018-05-04,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,890.0,316.67,55.97,78.13,109.39,217.23,78.13
2018-05-07,UcmDbConn,[CompetitorFinder].[GetCompetitorsByGroupIds],All,991.0,332.81,49.76,78.13,124.27,140.9,78.13
