startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-25,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,369.9,369.9,369.9,369.9,369.9,369.9
2017-12-26,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,281.23,281.23,281.23,281.23,281.23,281.23
2017-12-27,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.75,93.75,93.75,93.75,93.75,93.75
2017-12-28,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.76,93.76,93.76,93.76,93.76,93.76
2017-12-29,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,110.85,110.85,110.85,110.85,110.85,110.85
2018-01-01,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,140.63,140.63,140.63,140.63,140.63,140.63
2018-01-02,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.76,93.76,93.76,93.76,93.76,93.76
2018-01-03,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,78.17,78.17,78.17,78.17,78.17,78.17
2018-01-04,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.75,93.75,93.75,93.75,93.75,93.75
2018-01-05,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.76,93.76,93.76,93.76,93.76,93.76
2018-01-08,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,78.12,78.12,78.12,78.12,78.12,78.12
2018-01-09,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.74,93.74,93.74,93.74,93.74,93.74
2018-01-10,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,93.75,93.75,93.75,93.75,93.75,93.75
2018-01-11,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,78.2,78.2,78.2,78.2,78.2,78.2
2018-01-12,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,46.92,46.92,46.92,46.92,46.92,46.92
2018-01-15,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,90.65,90.65,90.65,90.65,90.65,90.65
2018-01-16,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,62.49,62.49,62.49,62.49,62.49,62.49
2018-01-17,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,1.0,78.12,78.12,78.12,78.12,78.12,78.12
2018-01-18,UcmDbConn,[Opportunities].[CreateOpportunityMetadataV3],All,2.0,93.78,46.9,93.78,93.78,93.78,93.78
