startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-11,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,23252.0,3765.19,78.06,93.72,156.26,401.07,93.72
2018-01-12,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,18167.0,1624.88,59.13,78.42,140.41,357.91,78.42
2018-01-15,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,15560.0,4374.78,46.94,78.13,125.12,379.04,78.13
2018-01-16,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,24464.0,9724.32,62.25,81.01,140.61,320.14,81.01
2018-01-17,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,23867.0,2765.59,62.58,93.75,140.97,311.31,93.75
2018-01-18,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,23195.0,19242.13,59.24,80.99,140.59,312.05,80.99
2018-01-19,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,18877.0,4281.85,60.08,92.43,142.64,345.26,92.43
2018-01-22,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,22957.0,18709.16,47.29,78.33,140.63,336.24,78.33
2018-01-23,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,19940.0,14302.63,47.94,78.18,140.1,328.8,78.18
2018-01-24,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,21418.0,19279.56,48.32,78.16,125.15,344.66,78.16
2018-01-25,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,20493.0,10593.62,49.89,78.21,126.39,320.14,78.21
2018-01-26,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,17343.0,2359.34,48.11,78.3,140.58,468.43,78.3
2018-01-29,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,23084.0,18243.85,46.87,78.16,143.19,531.57,78.16
2018-01-30,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,22944.0,1936.74,49.39,79.35,140.66,318.4,79.35
2018-01-31,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,23125.0,4000.89,62.5,93.4,140.61,310.2,93.4
2018-02-01,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,22490.0,19287.62,62.48,93.55,140.66,359.34,93.55
2018-02-02,UcmDbConn,[Opportunities].[GetAccountTechPartner],All,19022.0,2360.14,48.84,78.39,140.58,328.18,78.39
