startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-20,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,7662.0,2287.07,46.9,62.51,109.42,281.25,62.51
2017-12-21,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,6973.0,2452.84,47.44,62.51,109.37,311.16,62.51
2017-12-22,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,4464.0,3429.6,46.9,62.51,109.37,234.38,62.51
2017-12-25,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,227.0,1718.7,62.5,78.12,140.62,390.63,78.12
2017-12-26,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,1914.0,1875.01,47.6,62.51,93.75,248.0,62.51
2017-12-27,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,4790.0,1406.29,62.49,62.55,109.36,281.25,62.55
2017-12-28,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,4558.0,1328.17,62.51,78.12,124.99,250.08,78.12
2017-12-29,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,4118.0,1468.68,62.51,78.12,125.0,312.51,78.12
2018-01-01,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,657.0,984.43,62.52,78.12,125.11,374.98,78.12
2018-01-02,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,9453.0,1468.71,62.51,78.12,140.53,281.24,78.12
2018-01-03,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,8519.0,2707.16,62.52,78.12,125.66,281.37,78.12
2018-01-04,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,7087.0,3171.75,62.51,78.12,153.98,375.0,78.12
2018-01-05,UcmDbConn,[Opportunities].[GetAggregatedClosedOpportunitiesForCustomer],All,7311.0,2906.16,62.52,78.13,156.25,421.9,78.13
