startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-04,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,584.86,515.6,584.86,584.86,584.86,584.86
2018-01-05,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,734.37,546.85,734.37,734.37,734.37,734.37
2018-01-08,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,663.91,593.73,663.91,663.91,663.91,663.91
2018-01-09,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,703.12,553.16,703.12,703.12,703.12,703.12
2018-01-10,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,828.11,481.32,828.11,828.11,828.11,828.11
2018-01-11,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,671.9,516.93,671.9,671.9,671.9,671.9
2018-01-12,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,640.66,625.3,640.66,640.66,640.66,640.66
2018-01-15,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,562.52,453.12,562.52,562.52,562.52,562.52
2018-01-16,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,516.28,453.31,516.28,516.28,516.28,516.28
2018-01-17,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,605.66,409.75,605.66,605.66,605.66,605.66
2018-01-18,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,593.76,437.36,593.76,593.76,593.76,593.76
2018-01-19,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1062.49,486.55,1062.49,1062.49,1062.49,1062.49
2018-01-22,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,575.04,425.86,575.04,575.04,575.04,575.04
2018-01-23,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,430.25,406.21,430.25,430.25,430.25,430.25
2018-01-24,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,583.54,371.12,583.54,583.54,583.54,583.54
2018-01-25,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,748.99,578.11,748.99,748.99,748.99,748.99
2018-01-26,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,712.7,625.08,712.7,712.7,712.7,712.7
2018-01-29,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,843.76,515.6,843.76,843.76,843.76,843.76
2018-01-30,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,640.65,560.64,640.65,640.65,640.65,640.65
2018-01-31,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1390.67,749.97,1390.67,1390.67,1390.67,1390.67
2018-02-01,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,657.03,579.37,657.03,657.03,657.03,657.03
2018-02-02,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1010.85,531.89,1010.85,1010.85,1010.85,1010.85
2018-02-05,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,526.5,374.34,526.5,526.5,526.5,526.5
2018-02-06,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1781.39,504.84,1781.39,1781.39,1781.39,1781.39
2018-02-07,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,558.53,406.09,558.53,558.53,558.53,558.53
2018-02-08,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,854.29,656.13,854.29,854.29,854.29,854.29
2018-02-09,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,784.58,625.05,784.58,784.58,784.58,784.58
2018-02-12,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,781.59,453.92,781.59,781.59,781.59,781.59
2018-02-13,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,1.0,440.55,440.55,440.55,440.55,440.55,440.55
2018-02-14,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,609.32,503.3,609.32,609.32,609.32,609.32
2018-02-15,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,640.66,578.12,640.66,640.66,640.66,640.66
2018-02-16,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,671.57,625.01,671.57,671.57,671.57,671.57
2018-02-19,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,621.76,406.25,621.76,621.76,621.76,621.76
2018-02-20,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,781.29,406.31,781.29,781.29,781.29,781.29
2018-02-21,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,3.0,671.96,515.59,671.96,671.96,671.96,671.96
2018-02-22,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1110.15,938.81,1110.15,1110.15,1110.15,1110.15
2018-02-23,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1191.16,515.62,1191.16,1191.16,1191.16,1191.16
2018-02-26,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,808.27,421.87,808.27,808.27,808.27,808.27
2018-02-27,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1875.92,692.24,1875.92,1875.92,1875.92,1875.92
2018-02-28,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,529.31,437.49,529.31,529.31,529.31,529.31
2018-03-01,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,793.18,484.41,793.18,793.18,793.18,793.18
2018-03-02,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,875.07,468.98,875.07,875.07,875.07,875.07
2018-03-05,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,903.47,750.82,903.47,903.47,903.47,903.47
2018-03-06,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,3.0,859.33,751.42,859.33,859.33,859.33,859.33
2018-03-07,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1101.55,843.72,1101.55,1101.55,1101.55,1101.55
2018-03-08,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1177.34,895.92,1177.34,1177.34,1177.34,1177.34
2018-03-09,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,561.9,432.79,561.9,561.9,561.9,561.9
2018-03-12,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,668.15,580.05,668.15,668.15,668.15,668.15
2018-03-13,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,748.53,702.77,748.53,748.53,748.53,748.53
2018-03-14,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1235.94,687.76,1235.94,1235.94,1235.94,1235.94
2018-03-15,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1136.77,901.49,1136.77,1136.77,1136.77,1136.77
2018-03-16,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,681.39,593.79,681.39,681.39,681.39,681.39
2018-03-19,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1986.56,703.09,1986.56,1986.56,1986.56,1986.56
2018-03-20,UcmDbConn,[Opportunities].[GetAllBlockRulesFlatCategory],All,2.0,1000.0,591.5,1000.0,1000.0,1000.0,1000.0
