startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-19,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,716.0,3234.48,203.11,278.68,435.58,756.24,278.68
2017-12-20,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,717.0,909.71,187.52,249.94,390.63,656.28,249.94
2017-12-21,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,4979.29,203.72,265.62,406.71,624.98,265.62
2017-12-22,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,2531.25,218.59,264.19,397.38,656.28,264.19
2017-12-25,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1873.24,203.87,327.2,531.28,656.24,327.2
2017-12-26,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,3468.59,218.74,299.03,502.92,671.87,299.03
2017-12-27,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,1338.14,226.82,281.3,406.35,578.16,281.3
2017-12-28,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,717.0,1828.15,250.0,281.26,406.24,562.49,281.26
2017-12-29,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1562.5,250.0,296.89,437.49,671.87,296.89
2018-01-01,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1234.36,250.0,296.89,468.75,937.5,296.89
2018-01-02,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,2093.73,250.01,328.12,476.29,890.65,328.12
2018-01-03,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,2450.61,250.0,312.23,453.08,846.3,312.23
2018-01-04,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,722.0,2741.95,250.0,328.11,437.49,750.0,328.11
2018-01-05,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1951.06,256.77,329.13,500.0,734.11,329.13
2018-01-08,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,722.0,1328.08,250.04,312.49,468.73,656.28,312.49
2018-01-09,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,716.0,3079.42,265.59,343.52,484.38,812.46,343.52
2018-01-10,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1109.36,234.39,328.11,484.39,781.22,328.11
2018-01-11,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,9334.98,240.14,343.01,578.74,1218.8,343.01
2018-01-12,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,2263.09,211.02,308.58,515.59,844.77,308.58
2018-01-15,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1328.12,191.25,241.42,362.66,500.01,241.42
2018-01-16,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,3098.19,203.26,311.37,484.35,750.04,311.37
2018-01-17,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1437.5,198.41,281.25,417.96,670.35,281.25
2018-01-18,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1140.98,203.11,279.17,425.06,679.1,279.17
2018-01-19,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,1562.52,203.14,310.86,539.22,828.11,310.86
2018-01-22,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,1765.63,190.64,279.61,460.37,734.3,279.61
2018-01-23,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1312.58,203.15,284.4,437.51,672.0,284.4
2018-01-24,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1234.47,203.13,296.87,468.58,906.24,296.87
2018-01-25,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,987.11,203.15,281.3,421.9,699.93,281.3
2018-01-26,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,906.21,203.12,281.24,444.12,671.84,281.24
2018-01-29,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,6231.14,190.66,265.67,405.79,765.02,265.67
2018-01-30,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,1488.6,206.46,309.22,562.54,894.26,309.22
2018-01-31,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1265.62,192.05,281.46,421.86,645.66,281.46
2018-02-01,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1968.72,203.07,281.17,417.62,629.45,281.17
2018-02-02,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,1187.5,199.68,269.96,421.85,625.04,269.96
2018-02-05,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1296.91,198.93,265.79,390.59,531.23,265.79
2018-02-06,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,1078.15,203.12,296.02,419.84,656.65,296.02
2018-02-07,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,716.0,1001.33,196.86,281.27,404.54,619.86,281.27
2018-02-08,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,732.0,5687.48,192.94,264.33,392.31,781.3,264.33
2018-02-09,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,727.0,1031.23,187.54,265.5,348.55,593.75,265.5
2018-02-12,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,699.14,187.51,249.99,343.78,484.36,249.99
2018-02-13,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,475.0,1921.84,187.5,250.08,359.34,437.49,250.08
2018-02-14,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,5123.96,187.55,250.71,328.18,425.43,250.71
2018-02-15,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,828.16,187.5,234.77,328.15,391.96,234.77
2018-02-16,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,722.0,621.41,187.5,249.11,324.01,398.86,249.11
2018-02-19,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,725.0,1407.78,187.49,249.9,437.5,1093.92,249.9
2018-02-20,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,6506.94,202.81,318.8,1015.62,2296.08,318.8
2018-02-21,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,184182.36,200.47,265.82,359.41,578.11,265.82
2018-02-22,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,1156.75,198.23,265.62,359.54,523.18,265.62
2018-02-23,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,724.0,703.23,187.54,264.16,359.35,493.13,264.16
2018-02-26,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,4687.83,203.1,265.63,369.39,468.76,265.63
2018-02-27,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,797.43,203.16,280.78,359.38,514.69,280.78
2018-02-28,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,1159.43,203.14,278.41,390.61,462.52,278.41
2018-03-01,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,984.34,213.21,285.83,418.92,529.97,285.83
2018-03-02,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,717.0,734.38,210.8,280.76,406.28,537.16,280.76
2018-03-05,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,859.4,203.17,283.25,390.58,531.13,283.25
2018-03-06,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,722.0,951.33,212.97,296.6,397.29,580.46,296.6
2018-03-07,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,2605.93,218.75,312.43,437.53,656.25,312.43
2018-03-08,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,2250.12,218.77,305.03,421.87,557.89,305.03
2018-03-09,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,671.9,218.74,281.26,405.08,515.72,281.26
2018-03-12,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1281.22,218.78,296.9,419.91,577.63,296.9
2018-03-13,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1333.76,250.0,325.19,437.54,627.77,325.19
2018-03-14,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,877.22,296.44,352.66,468.76,671.99,352.66
2018-03-15,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1234.5,308.82,379.36,527.14,799.89,379.36
2018-03-16,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1066.26,305.94,375.1,527.21,641.29,375.1
2018-03-19,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1715.74,343.72,432.87,609.39,840.38,432.87
2018-03-20,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,14545.55,328.13,406.33,640.7,904.78,406.33
2018-03-21,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1718.85,296.85,359.96,482.1,596.1,359.96
2018-03-22,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,718.0,746.25,296.87,370.77,491.31,594.49,370.77
2018-03-23,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,721.0,888.98,312.47,375.05,515.62,656.25,375.05
2018-03-26,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,728.0,968.74,312.57,406.25,531.27,703.13,406.25
2018-03-27,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1360.89,328.12,416.43,533.7,826.59,416.43
2018-03-28,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,1062.48,314.79,406.23,562.5,776.17,406.23
2018-03-29,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,3593.05,312.49,388.39,546.88,859.34,388.39
2018-03-30,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,723.0,1800.77,306.98,389.1,531.43,812.55,389.1
2018-04-02,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,722.0,1084.43,328.15,402.27,552.64,671.66,402.27
2018-04-03,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,2053.03,296.9,382.68,545.97,713.17,382.68
2018-04-04,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,720.0,906.96,281.22,328.57,468.68,636.4,328.57
2018-04-05,UcmDbConn,[Opportunities].[GetOpportunitiesForOpportunityTrackingV1],All,719.0,859.33,279.53,328.25,463.39,546.2,328.25
