startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-20,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7780.0,2626.3,33.61,62.5,93.76,218.75,62.5
2017-12-21,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7083.0,1593.78,35.19,62.5,93.74,187.49,62.5
2017-12-22,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,4531.0,2279.96,33.88,62.5,93.75,187.46,62.5
2017-12-25,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,231.0,394.87,62.5,77.16,205.31,374.99,77.16
2017-12-26,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,1927.0,796.85,46.87,62.51,93.75,230.39,62.51
2017-12-27,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,4883.0,2313.77,62.48,62.51,107.07,234.37,62.51
2017-12-28,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,4632.0,1734.37,62.5,62.55,109.36,218.36,62.55
2017-12-29,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,4152.0,656.24,62.5,62.55,109.37,187.76,62.55
2018-01-01,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,668.0,609.37,62.51,78.12,187.49,281.29,78.12
2018-01-02,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9619.0,1718.71,62.51,78.1,109.39,203.23,78.1
2018-01-03,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8688.0,1124.98,62.51,78.11,124.29,218.76,78.11
2018-01-04,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7266.0,1503.56,62.5,76.07,109.38,218.7,76.07
2018-01-05,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7442.0,2906.16,62.51,78.12,125.0,250.0,78.12
2018-01-08,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8894.0,1234.41,62.51,78.11,110.07,223.77,78.11
2018-01-09,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9439.0,1890.63,62.51,78.11,125.0,234.37,78.11
2018-01-10,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8753.0,1466.04,46.87,62.5,109.28,233.69,62.5
2018-01-11,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8531.0,1912.06,46.87,62.51,109.38,235.22,62.51
2018-01-12,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7536.0,937.59,20.55,62.5,93.76,203.12,62.5
2018-01-15,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,6228.0,2420.44,16.49,62.25,78.29,186.96,62.25
2018-01-16,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9866.0,3452.99,19.61,62.5,109.37,250.01,62.5
2018-01-17,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8755.0,1559.88,19.37,62.9,124.96,249.92,62.9
2018-01-18,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,10148.0,1780.1,20.33,62.5,109.37,218.76,62.5
2018-01-19,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,7705.0,2933.96,19.55,62.5,139.07,313.38,62.5
2018-01-22,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9235.0,4138.38,18.46,62.5,109.46,297.72,62.5
2018-01-23,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8617.0,2149.89,17.72,62.5,125.0,310.97,62.5
2018-01-24,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8121.0,2373.3,19.08,62.5,125.06,357.18,62.5
2018-01-25,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8991.0,1140.74,29.79,62.51,115.78,250.0,62.51
2018-01-26,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,8869.0,1629.5,21.32,62.5,111.42,250.23,62.5
2018-01-29,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,10840.0,2563.7,28.53,62.5,125.01,327.2,62.5
2018-01-30,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,10875.0,6329.69,19.3,62.5,203.57,598.4,62.5
2018-01-31,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9966.0,2553.37,21.98,62.51,203.46,469.16,62.51
2018-02-01,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,10639.0,5893.8,29.83,62.51,187.49,468.7,62.51
2018-02-02,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9732.0,19265.16,20.15,62.51,171.87,405.99,62.51
2018-02-05,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,11570.0,1234.4,31.31,62.52,109.38,218.76,62.52
2018-02-06,UcmDbConn,[Pilots].[GetCustomerPilotsByCustomerIds],All,9869.0,6671.66,27.05,62.51,156.16,343.97,62.51
