startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-25,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,1.0,281.26,281.26,281.26,281.26,281.26,281.26
2017-12-26,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,10.0,390.61,203.14,281.24,390.61,390.61,281.24
2017-12-27,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,5.0,390.62,312.47,312.5,390.62,390.62,312.5
2017-12-28,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,11.0,609.34,234.5,375.02,609.34,609.34,375.02
2017-12-29,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,12.0,640.65,218.72,218.78,640.65,640.65,218.78
2018-01-01,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,3.0,390.63,281.24,390.63,390.63,390.63,390.63
2018-01-02,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,35.0,1062.48,265.7,374.99,592.68,1062.48,374.99
2018-01-03,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,28.0,1171.84,296.92,374.96,546.87,1171.84,374.96
2018-01-04,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,54.0,640.61,234.18,296.86,531.22,640.61,296.86
2018-01-05,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,36.0,874.68,281.26,328.17,812.77,874.68,328.17
2018-01-08,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,50.0,1109.32,234.4,297.14,500.04,1109.32,297.14
2018-01-09,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,43.0,781.12,265.63,375.01,500.03,781.12,375.01
2018-01-10,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,48.0,1202.9,312.56,453.06,749.99,1202.9,453.06
2018-01-11,UcmDbConn,[Pilots].[GetLatestFeedbackDateByFeaturePilotIds],All,82.0,781.26,247.39,312.5,593.61,781.26,312.5
