startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-12-21,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,178.0,1671.83,62.5,593.63,1109.37,1656.3,593.63
2017-12-22,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,94.0,1750.08,78.15,610.14,1185.77,1750.08,610.14
2017-12-25,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,25.0,2624.93,1046.87,1296.9,2593.7,2624.93,1296.9
2017-12-26,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,53.0,2171.82,593.75,656.31,1500.08,2171.82,656.31
2017-12-27,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,128.0,1655.95,62.52,609.32,1124.99,1640.57,609.32
2017-12-28,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,104.0,4626.59,78.13,593.86,1140.62,3265.52,593.86
2017-12-29,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,105.0,2062.51,62.51,593.74,655.85,1156.25,593.74
2018-01-01,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,50.0,3265.45,624.68,1658.23,2907.3,3265.45,1658.23
2018-01-02,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,149.0,3463.49,62.89,593.76,1109.36,1656.27,593.76
2018-01-03,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,171.0,2703.75,78.12,593.79,1031.26,1406.21,593.79
2018-01-04,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,86.0,1672.41,78.12,593.94,1124.97,1672.41,593.94
2018-01-05,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,186.0,2875.06,62.58,156.24,813.2,2164.07,156.24
2018-01-08,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,172.0,1437.48,62.91,593.67,688.76,1156.19,593.67
2018-01-09,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,197.0,4328.91,63.28,593.8,938.17,3298.16,593.8
2018-01-10,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,239.0,3095.53,62.5,593.21,640.7,1203.11,593.21
2018-01-11,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,224.0,3281.11,62.54,593.75,703.63,1172.11,593.75
2018-01-12,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,200.0,2155.45,62.5,609.18,1155.77,2062.42,609.18
2018-01-15,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,107.0,2692.91,63.13,609.37,1124.76,1234.32,609.37
2018-01-16,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,220.0,2640.75,62.5,109.38,656.3,1718.63,109.38
2018-01-17,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,267.0,8953.11,78.09,593.77,953.13,2703.06,593.77
2018-01-18,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,277.0,1343.74,62.49,577.51,671.96,1187.47,577.51
2018-01-19,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,319.0,1718.62,62.49,172.08,640.64,1093.72,172.08
2018-01-22,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,230.0,1202.53,62.5,593.73,781.15,1156.25,593.73
2018-01-23,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,299.0,3468.67,62.5,593.35,984.41,2078.08,593.35
2018-01-24,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,210.0,4100.44,62.5,593.74,1077.98,1656.3,593.74
2018-01-25,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,246.0,3359.48,62.49,592.96,705.1,2539.41,592.96
2018-01-26,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,302.0,2233.76,61.5,592.43,1124.9,1625.6,592.43
2018-01-29,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,314.0,3483.88,62.5,578.12,1125.0,2078.06,578.12
2018-01-30,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,416.0,3328.08,62.48,78.2,659.63,1656.2,78.2
2018-01-31,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,398.0,1741.27,47.23,62.64,652.9,1124.94,62.64
2018-02-01,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,416.0,4530.93,62.07,461.35,718.14,1156.76,461.35
2018-02-02,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,380.0,3668.79,62.48,484.14,921.87,1703.1,484.14
2018-02-05,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,169.0,2218.82,62.5,593.77,1156.28,2218.69,593.77
2018-02-06,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,183.0,3421.84,62.5,593.72,748.34,1187.5,593.72
2018-02-07,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,288.0,1703.28,62.5,78.18,656.28,1171.56,78.18
2018-02-08,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,236.0,3469.16,62.5,593.76,1078.13,1562.5,593.76
2018-02-09,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,195.0,2077.81,62.5,593.03,734.37,1687.17,593.03
2018-02-12,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,124.0,1031.18,62.49,156.25,640.58,953.13,156.25
2018-02-13,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,159.0,2812.38,62.5,78.27,713.74,1156.13,78.27
2018-02-14,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,170.0,4937.84,62.65,609.36,812.46,4937.84,609.36
2018-02-15,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,167.0,1655.85,62.5,530.53,656.31,1156.26,530.53
2018-02-16,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,94.0,671.87,62.14,62.51,593.74,671.87,62.51
2018-02-19,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,67.0,3046.75,62.45,607.84,1156.15,3046.75,607.84
2018-02-20,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,145.0,1188.16,62.5,578.15,687.54,1171.93,578.15
2018-02-21,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,128.0,3249.94,62.5,562.0,797.54,2078.11,562.0
2018-02-22,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,318.0,3546.9,62.5,87.54,655.15,1124.92,87.54
2018-02-23,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,112.0,1703.06,62.42,107.75,1031.22,1328.1,107.75
2018-02-26,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,227.0,2234.34,62.49,78.27,640.62,1749.96,78.27
2018-02-27,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,263.0,2845.13,62.49,78.12,651.91,1155.64,78.12
2018-02-28,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,190.0,3312.46,62.5,344.47,796.25,1624.97,344.47
2018-03-01,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,240.0,1687.47,62.5,93.74,703.12,1344.68,93.74
2018-03-02,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,221.0,2687.45,62.5,109.37,874.98,1828.09,109.37
2018-03-05,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,158.0,2079.41,62.5,79.18,687.45,1156.27,79.18
2018-03-06,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,305.0,2788.99,62.5,527.4,718.72,1170.97,527.4
2018-03-07,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,153.0,2437.73,62.5,594.43,1124.98,2252.37,594.43
2018-03-08,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,271.0,3394.38,62.5,140.8,749.8,1281.22,140.8
2018-03-09,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,139.0,2781.22,62.5,609.03,1156.25,1718.74,609.03
2018-03-12,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,226.0,2125.0,62.49,78.13,671.86,1156.22,78.13
2018-03-13,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,257.0,15740.99,62.49,156.48,1125.2,2406.25,156.48
2018-03-14,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,258.0,4109.13,62.5,78.12,874.99,1968.73,78.12
2018-03-15,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,236.0,3218.74,62.49,109.37,687.5,1703.08,109.37
2018-03-16,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,259.0,2951.4,62.5,593.76,1124.97,1859.34,593.76
2018-03-19,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,134.0,3937.43,62.5,609.37,1157.33,3203.08,609.37
2018-03-20,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,177.0,3421.83,62.49,593.74,1140.62,2234.45,593.74
2018-03-21,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,200.0,3650.18,62.49,78.38,1125.02,1640.59,78.38
2018-03-22,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,220.0,2847.94,62.5,484.4,1140.6,1455.6,484.4
2018-03-23,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,266.0,3468.72,62.5,79.3,890.25,1624.98,79.3
2018-03-26,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,294.0,2765.65,62.38,78.12,1109.36,1656.26,78.12
2018-03-27,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,493.0,3348.13,62.44,64.01,968.73,1609.27,64.01
2018-03-28,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,213.0,3421.76,62.51,593.74,656.24,1546.85,593.74
2018-03-29,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,245.0,3438.23,62.49,593.75,671.79,1718.61,593.75
2018-03-30,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,193.0,3843.71,62.5,592.12,1131.22,2843.46,592.12
2018-04-02,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,203.0,3031.22,62.5,593.75,1109.35,2751.75,593.75
2018-04-03,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,195.0,2234.33,62.5,593.83,828.06,1218.74,593.83
2018-04-04,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,201.0,3656.19,62.5,593.74,1015.6,3140.56,593.74
2018-04-05,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,200.0,1140.62,62.49,109.36,639.03,1109.41,109.36
2018-04-06,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,92.0,3954.11,62.5,594.46,1125.43,3954.11,594.46
2018-04-09,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,187.0,3343.99,62.5,93.44,656.24,1312.46,93.44
2018-04-10,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,206.0,749.63,62.5,78.13,656.25,687.34,78.13
2018-04-11,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,211.0,2765.68,62.5,546.88,671.87,1389.74,546.88
2018-04-12,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,172.0,3906.31,62.5,609.37,1015.63,3809.67,609.37
2018-04-13,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,193.0,11250.7,62.5,593.74,653.44,1390.52,593.74
2018-04-16,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,183.0,3319.18,62.5,93.0,874.99,2187.51,93.0
2018-04-17,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,165.0,3360.74,62.5,593.74,687.46,3303.21,593.74
2018-04-18,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,176.0,1187.77,62.5,593.07,703.11,1187.47,593.07
2018-04-19,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,262.0,2781.2,62.5,109.37,656.23,1531.24,109.37
2018-04-20,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,106.0,2218.7,62.57,624.99,1187.55,2109.33,624.99
2018-04-23,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,137.0,1816.94,62.63,624.98,1124.99,1687.52,624.98
2018-04-24,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,206.0,3360.74,62.5,124.99,671.87,1296.85,124.99
2018-04-25,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,139.0,2734.38,62.5,593.74,671.9,1656.26,593.74
2018-04-26,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,111.0,1249.98,62.51,359.36,625.0,1141.52,359.36
2018-04-27,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,137.0,4015.96,62.5,593.75,703.11,1125.0,593.75
2018-04-30,UcmDbConn,[ViewAs].[GetViewAsDomainData],All,110.0,703.12,62.5,593.68,640.62,702.74,593.68
