startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-11-17,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5899.0,21744.85,62.5,78.15,593.72,703.17,78.15
2017-11-20,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5261.0,3186.65,62.5,109.37,593.78,778.77,109.37
2017-11-21,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5027.0,19246.11,62.51,140.63,624.98,1062.34,140.63
2017-11-22,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,7497.0,19374.7,62.5,78.13,593.78,691.23,78.13
2017-11-23,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,3699.0,1671.85,63.67,546.9,627.12,732.41,546.9
2017-11-24,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,2787.0,4359.36,78.12,593.49,639.48,734.41,593.49
2017-11-27,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4534.0,19246.92,62.92,217.83,625.04,937.49,217.83
2017-11-28,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4252.0,2843.28,62.51,125.0,624.98,672.38,125.0
2017-11-29,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4617.0,2987.42,62.52,109.37,624.99,702.86,109.37
2017-11-30,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4192.0,7812.16,62.51,171.62,625.04,1062.66,171.62
2017-12-01,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4640.0,19272.16,62.52,183.67,625.0,734.37,183.67
2017-12-04,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,4548.0,19264.61,62.73,435.24,640.61,1171.79,435.24
2017-12-05,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5124.0,2749.93,62.52,124.93,624.98,812.28,124.93
2017-12-06,UcmTicketingDbConn,[Common].[GetAllWorkflowActionReasons],All,5304.0,19369.16,62.63,109.32,624.99,843.74,109.32
