startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-26,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,720.0,1171.93,62.5,78.08,93.76,140.62,78.08
2018-01-29,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,643.0,609.4,62.5,78.07,109.38,203.69,78.07
2018-01-30,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,761.0,250.04,62.5,78.11,109.35,187.5,78.11
2018-01-31,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,629.0,765.61,62.5,78.11,93.74,124.99,78.11
2018-02-01,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,708.0,15625.27,62.5,78.11,123.49,191.2,78.11
2018-02-02,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,805.0,781.39,62.5,78.11,93.77,187.5,78.11
2018-02-05,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,698.0,1906.28,62.5,76.71,93.76,187.47,76.71
2018-02-06,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,749.0,624.99,62.5,78.11,109.37,171.88,78.11
2018-02-07,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,719.0,437.5,62.5,78.12,109.39,171.88,78.12
2018-02-08,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,716.0,296.41,62.51,78.12,109.36,171.88,78.12
2018-02-09,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,677.0,609.4,62.5,78.11,93.75,186.8,78.11
2018-02-12,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,711.0,1224.56,62.5,78.1,93.75,140.62,78.1
2018-02-13,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,539.0,10923.02,62.51,78.12,109.17,171.85,78.12
2018-02-14,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,688.0,578.17,62.5,78.12,93.76,171.92,78.12
2018-02-15,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,680.0,10800.96,62.5,78.12,377.05,1643.23,78.12
2018-02-16,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,661.0,640.6,62.5,71.36,78.52,140.67,71.36
2018-02-19,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,514.0,562.48,62.49,62.53,93.21,187.49,62.53
2018-02-20,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,664.0,1015.52,62.5,78.11,93.79,187.5,78.11
2018-02-21,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,783.0,19255.17,62.5,78.1,93.75,187.53,78.1
2018-02-22,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,691.0,484.38,62.5,78.09,93.74,171.91,78.09
2018-02-23,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,694.0,640.63,62.5,77.59,93.63,156.26,77.59
2018-02-26,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,749.0,531.23,62.5,63.24,80.25,140.62,63.24
2018-02-27,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,724.0,1093.73,62.5,78.12,109.39,250.03,78.12
2018-02-28,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,767.0,490.02,62.5,78.05,93.75,187.54,78.05
2018-03-01,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,793.0,453.14,62.5,78.11,79.45,140.62,78.11
2018-03-02,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,737.0,8564.58,62.5,69.9,93.74,187.5,69.9
2018-03-05,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,644.0,187.51,62.5,62.77,79.09,156.24,62.77
2018-03-06,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,753.0,265.62,62.5,72.7,93.75,171.88,72.7
2018-03-07,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,644.0,265.62,62.5,78.11,109.37,187.51,78.11
2018-03-08,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,704.0,562.54,62.5,62.6,80.15,140.65,62.6
2018-03-09,UcmTicketingDbConn,[Common].[GetEmailTemplateForTicket],All,752.0,343.75,62.5,77.95,79.42,187.46,77.95
