startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-11-16,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,6431.0,18391.2,78.13,562.52,1124.36,1632.6,562.52
2017-11-17,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5899.0,2765.4,78.12,562.5,1125.02,1640.43,562.5
2017-11-20,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5261.0,4076.71,78.53,578.13,1578.11,1640.63,578.13
2017-11-21,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5027.0,9374.59,93.8,593.8,1656.22,1718.77,593.8
2017-11-22,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,7497.0,19374.79,78.12,454.26,1109.36,1673.25,454.26
2017-11-23,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,3702.0,2734.32,593.73,637.88,1156.28,1609.36,637.88
2017-11-24,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,2787.0,4158.1,593.74,656.23,1156.28,1424.95,656.23
2017-11-27,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4534.0,2765.53,406.38,623.26,1156.24,1640.98,623.26
2017-11-28,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4252.0,3606.14,328.11,609.36,1140.7,1204.75,609.36
2017-11-29,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4617.0,6630.34,95.63,593.79,1140.63,1218.73,593.79
2017-11-30,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4192.0,7812.16,340.69,609.38,1156.22,1663.86,609.38
2017-12-01,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4640.0,19271.87,217.34,609.37,1154.0,1265.59,609.37
2017-12-04,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4548.0,19254.1,583.36,640.61,1159.76,1718.73,640.61
2017-12-05,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5125.0,3296.9,109.37,596.92,1140.65,1649.44,596.92
2017-12-06,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5304.0,19353.83,93.8,593.8,1140.62,1656.24,593.8
2017-12-07,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4898.0,10166.44,109.0,593.81,1140.7,1312.53,593.81
2017-12-08,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,3836.0,3625.02,593.53,631.16,1156.22,1656.04,631.16
2017-12-11,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,5149.0,3311.22,94.61,593.93,1140.65,1671.95,593.93
2017-12-12,UcmTicketingDbConn,[Common].[GetSupportedFilterOperators],All,4729.0,3785.45,320.97,610.31,1156.24,1718.7,610.31
