startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-29,UcmTicketingDbConn,[Common].[GetSymptoms],All,17341.0,19256.97,62.5,78.08,124.99,281.24,78.08
2018-01-30,UcmTicketingDbConn,[Common].[GetSymptoms],All,19642.0,19245.42,62.5,64.63,109.25,249.76,64.63
2018-01-31,UcmTicketingDbConn,[Common].[GetSymptoms],All,19636.0,19275.5,62.5,77.91,109.37,249.99,77.91
2018-02-01,UcmTicketingDbConn,[Common].[GetSymptoms],All,18435.0,19275.98,62.5,66.51,109.34,250.0,66.51
2018-02-02,UcmTicketingDbConn,[Common].[GetSymptoms],All,16961.0,19375.43,62.5,63.45,109.36,265.61,63.45
2018-02-05,UcmTicketingDbConn,[Common].[GetSymptoms],All,16562.0,6734.21,62.5,64.56,124.99,328.24,64.56
2018-02-06,UcmTicketingDbConn,[Common].[GetSymptoms],All,18621.0,8594.28,62.5,78.09,140.64,328.12,78.09
2018-02-07,UcmTicketingDbConn,[Common].[GetSymptoms],All,18482.0,19266.27,62.5,78.09,122.79,266.18,78.09
2018-02-08,UcmTicketingDbConn,[Common].[GetSymptoms],All,17579.0,19257.43,62.51,78.12,124.76,326.12,78.12
2018-02-09,UcmTicketingDbConn,[Common].[GetSymptoms],All,18493.0,5481.88,62.5,78.08,109.73,290.53,78.08
2018-02-12,UcmTicketingDbConn,[Common].[GetSymptoms],All,19234.0,2883.72,62.5,63.95,93.75,218.78,63.95
2018-02-13,UcmTicketingDbConn,[Common].[GetSymptoms],All,13326.0,19272.2,62.5,78.08,109.37,238.97,78.08
2018-02-14,UcmTicketingDbConn,[Common].[GetSymptoms],All,16916.0,2719.25,62.5,65.43,93.74,187.49,65.43
2018-02-15,UcmTicketingDbConn,[Common].[GetSymptoms],All,17050.0,21184.11,62.5,78.1,375.01,828.17,78.1
2018-02-16,UcmTicketingDbConn,[Common].[GetSymptoms],All,15792.0,7625.67,62.5,62.8,80.54,187.4,62.8
2018-02-19,UcmTicketingDbConn,[Common].[GetSymptoms],All,12786.0,3772.94,62.5,62.52,78.24,197.32,62.52
2018-02-20,UcmTicketingDbConn,[Common].[GetSymptoms],All,17473.0,10283.68,62.5,62.6,93.23,203.84,62.6
2018-02-21,UcmTicketingDbConn,[Common].[GetSymptoms],All,18231.0,19256.09,62.5,62.73,93.74,187.59,62.73
2018-02-22,UcmTicketingDbConn,[Common].[GetSymptoms],All,18338.0,8632.37,62.5,62.57,80.89,187.53,62.57
2018-02-23,UcmTicketingDbConn,[Common].[GetSymptoms],All,16722.0,4645.24,62.5,62.54,78.33,171.88,62.54
