startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-17,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1656.0,19267.09,65.67,78.17,94.91,140.63,78.17
2018-01-18,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1674.0,1266.32,62.5,63.11,78.23,109.37,63.11
2018-01-19,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1547.0,1687.48,62.5,64.07,78.87,156.24,64.07
2018-01-22,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1477.0,33580.5,62.5,77.98,93.49,156.26,77.98
2018-01-23,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1502.0,693.08,62.5,62.6,78.18,140.62,62.6
2018-01-24,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1779.0,609.36,62.5,64.64,80.53,125.0,64.64
2018-01-25,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1705.0,655.39,62.5,64.97,81.95,125.01,64.97
2018-01-26,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1547.0,1062.48,62.5,63.39,78.16,110.15,63.39
2018-01-29,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1727.0,1124.98,62.5,68.14,93.74,140.76,68.14
2018-01-30,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1894.0,642.6,62.5,62.86,78.19,141.39,62.86
2018-01-31,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1977.0,593.73,62.5,65.92,93.73,125.0,65.92
2018-02-01,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1734.0,19374.39,62.5,64.55,78.21,140.63,64.55
2018-02-02,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1525.0,546.86,62.5,62.94,78.6,140.62,62.94
2018-02-05,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1713.0,656.29,62.5,63.37,78.36,125.0,63.37
2018-02-06,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1863.0,3484.22,62.5,77.87,93.75,171.86,77.87
2018-02-07,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1809.0,456.26,62.5,77.64,93.74,125.0,77.64
2018-02-08,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1565.0,421.86,62.51,78.12,93.75,125.0,78.12
2018-02-09,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1862.0,265.64,62.5,71.03,78.48,109.37,71.03
2018-02-12,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1892.0,1484.43,62.5,63.21,78.78,125.0,63.21
2018-02-13,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1318.0,19378.84,62.5,70.71,93.72,140.66,70.71
2018-02-14,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1590.0,218.72,62.5,67.64,78.96,124.98,67.64
2018-02-15,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1703.0,1599.27,62.5,78.11,359.33,439.16,78.11
2018-02-16,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1435.0,281.27,62.5,63.41,78.22,124.98,63.41
2018-02-19,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1257.0,641.6,62.5,62.69,78.29,171.86,62.69
2018-02-20,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1695.0,297.87,62.5,62.52,78.14,109.4,62.52
2018-02-21,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1653.0,1093.74,62.5,63.09,78.24,139.88,63.09
2018-02-22,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1819.0,718.79,62.5,63.09,78.74,126.09,63.09
2018-02-23,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1542.0,1468.71,62.5,62.54,78.15,109.57,62.54
2018-02-26,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1571.0,578.15,62.5,62.57,78.14,109.14,62.57
2018-02-27,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1836.0,1000.04,62.5,62.74,78.26,140.62,62.74
2018-02-28,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1827.0,781.24,62.5,78.09,93.74,125.01,78.09
2018-03-01,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1752.0,2609.32,62.5,72.66,78.37,140.62,72.66
2018-03-02,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1631.0,9326.91,62.5,64.19,78.25,124.98,64.19
2018-03-05,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1388.0,578.12,62.5,62.86,78.18,109.37,62.86
2018-03-06,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1640.0,5685.72,62.5,62.75,78.15,113.07,62.75
2018-03-07,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1532.0,1031.25,62.5,64.22,93.74,187.49,64.22
2018-03-08,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1453.0,718.74,62.5,62.52,78.13,109.37,62.52
2018-03-09,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1286.0,1624.93,62.5,62.57,78.15,109.38,62.57
2018-03-12,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1886.0,593.74,62.5,63.05,78.21,125.0,63.05
2018-03-13,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1837.0,13954.94,62.5,63.78,78.91,161.72,63.78
2018-03-14,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1979.0,609.4,62.5,76.89,78.7,125.0,76.89
2018-03-15,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1720.0,454.79,62.5,62.99,78.22,124.99,62.99
2018-03-16,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1669.0,390.6,62.5,63.5,78.32,140.64,63.5
2018-03-19,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1394.0,671.86,62.5,62.59,78.15,140.61,62.59
2018-03-20,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1568.0,812.5,62.5,62.59,78.22,140.63,62.59
2018-03-21,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1963.0,781.25,62.5,62.55,78.49,109.41,62.55
2018-03-22,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1410.0,579.03,62.5,62.53,78.14,109.38,62.53
2018-03-23,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1484.0,421.91,62.5,63.26,78.29,127.32,63.26
2018-03-26,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1659.0,203.13,62.5,62.53,78.14,124.99,62.53
2018-03-27,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1833.0,781.21,62.5,62.68,78.15,123.21,62.68
2018-03-28,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1847.0,597.8,62.5,63.88,78.64,124.99,63.88
2018-03-29,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1592.0,312.46,62.5,64.52,78.23,125.01,64.52
2018-03-30,UcmTicketingDbConn,[Common].[GetTeamPreference],All,1375.0,515.63,62.5,78.11,93.75,125.0,78.11
2018-04-02,UcmTicketingDbConn,[Common].[GetTeamPreference],All,4427.0,1624.98,62.5,71.32,81.33,171.87,71.32
2018-04-03,UcmTicketingDbConn,[Common].[GetTeamPreference],All,8152.0,19270.95,62.5,62.69,78.4,140.62,62.69
2018-04-04,UcmTicketingDbConn,[Common].[GetTeamPreference],All,7530.0,19245.69,62.5,62.63,78.14,109.39,62.63
2018-04-05,UcmTicketingDbConn,[Common].[GetTeamPreference],All,7052.0,19243.53,62.5,62.57,78.13,109.37,62.57
2018-04-06,UcmTicketingDbConn,[Common].[GetTeamPreference],All,7184.0,640.64,62.5,62.71,78.14,109.36,62.71
2018-04-09,UcmTicketingDbConn,[Common].[GetTeamPreference],All,7202.0,19361.7,62.5,62.67,78.16,140.69,62.67
2018-04-10,UcmTicketingDbConn,[Common].[GetTeamPreference],All,7683.0,837.04,62.5,78.09,78.34,125.09,78.09
