startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-18,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,157.0,1578.2,31.21,66.82,125.01,321.92,66.82
2018-01-19,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,156.0,1813.02,15.65,62.5,140.64,1296.56,62.5
2018-01-22,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,207.0,296.85,15.64,34.75,109.39,250.02,34.75
2018-01-23,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,250.0,296.84,15.64,20.81,109.4,250.01,20.81
2018-01-24,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,263.0,624.7,15.64,19.79,93.76,281.31,19.79
2018-01-25,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,252.0,937.53,15.65,31.3,124.99,484.4,31.3
2018-01-26,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,232.0,281.26,15.65,62.48,109.35,234.42,62.48
2018-01-29,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,241.0,687.5,15.64,46.69,124.95,343.76,46.69
2018-01-30,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,299.0,296.87,15.65,31.24,78.17,218.67,31.24
2018-01-31,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,207.0,3921.51,15.62,20.35,93.99,171.87,20.35
2018-02-01,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,254.0,374.86,15.64,31.26,143.34,281.12,31.26
2018-02-02,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,258.0,250.15,15.63,31.29,125.02,203.12,31.29
2018-02-05,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,247.0,328.16,15.65,31.28,109.04,171.9,31.28
2018-02-06,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,237.0,531.28,15.65,31.24,109.24,296.88,31.24
2018-02-07,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,230.0,375.9,15.64,49.08,126.34,234.5,49.08
2018-02-08,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,220.0,234.38,15.66,31.27,109.37,187.51,31.27
2018-02-09,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,175.0,981.41,15.63,18.49,81.85,437.52,18.49
2018-02-12,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,145.0,593.73,15.68,62.5,125.07,468.74,62.5
2018-02-13,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,79.0,250.04,46.89,93.74,140.81,250.04,93.74
2018-02-14,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,136.0,375.05,15.64,62.49,109.38,254.33,62.49
2018-02-15,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,121.0,8330.37,15.66,62.49,238.27,953.22,62.49
2018-02-16,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,149.0,187.51,15.63,31.28,93.73,156.24,31.28
2018-02-19,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,137.0,328.09,15.62,15.66,78.08,203.12,15.66
2018-02-20,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,216.0,234.34,15.63,19.22,78.13,140.63,19.22
2018-02-21,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,253.0,453.13,15.64,31.22,93.76,328.12,31.22
2018-02-22,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,314.0,19386.39,15.63,31.22,109.37,203.0,31.22
2018-02-23,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,259.0,468.74,15.63,27.82,109.38,312.5,27.82
2018-02-26,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,275.0,578.09,15.64,31.24,94.58,203.16,31.24
2018-02-27,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,245.0,609.36,15.64,32.09,124.98,468.75,32.09
2018-02-28,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,203.0,687.52,15.64,46.91,170.43,515.62,46.91
2018-03-01,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,182.0,140.63,15.63,20.04,78.13,140.62,20.04
2018-03-02,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,139.0,546.91,15.64,49.52,124.99,234.34,49.52
2018-03-05,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,198.0,234.39,15.63,26.25,93.75,187.51,26.25
2018-03-06,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,295.0,629.6,15.64,62.49,109.39,249.16,62.49
2018-03-07,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,234.0,281.2,15.62,18.64,78.15,129.55,18.64
2018-03-08,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,247.0,343.75,15.63,18.48,93.75,281.28,18.48
2018-03-09,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,165.0,234.38,15.64,62.43,78.32,218.75,62.43
2018-03-12,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,242.0,296.88,15.64,31.26,125.01,250.03,31.26
2018-03-13,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,233.0,953.15,15.62,31.22,124.99,328.14,31.22
2018-03-14,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,157.0,609.36,15.65,78.12,139.29,390.62,78.12
2018-03-15,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,167.0,374.99,15.64,48.53,140.6,342.35,48.53
2018-03-16,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,199.0,562.57,15.63,19.51,96.5,217.65,19.51
2018-03-19,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,280.0,39655.69,15.63,19.08,93.79,39096.1,19.08
2018-03-20,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,335.0,640.58,15.67,62.51,125.01,249.71,62.51
2018-03-21,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,249.0,1078.55,15.62,16.76,78.12,234.38,16.76
2018-03-22,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,209.0,625.83,15.62,16.91,93.74,171.89,16.91
2018-03-23,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,223.0,234.39,15.63,19.45,109.38,218.74,19.45
2018-03-26,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,170.0,234.37,15.64,62.5,140.64,218.36,62.5
2018-03-27,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,220.0,374.99,15.63,31.23,156.25,328.11,31.23
2018-03-28,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,202.0,1500.04,15.68,62.5,140.63,302.33,62.5
2018-03-29,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,195.0,640.62,15.65,20.43,117.32,546.87,20.43
2018-03-30,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,170.0,218.74,15.64,62.47,78.32,203.12,62.47
2018-04-02,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,158.0,515.62,15.64,62.5,125.0,312.5,62.5
2018-04-03,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,256.0,328.1,15.63,18.95,78.37,233.99,18.95
2018-04-04,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,308.0,640.61,15.63,19.31,78.15,140.62,19.31
2018-04-05,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,424.0,562.5,15.63,17.61,78.12,207.76,17.61
2018-04-06,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,327.0,687.48,15.63,18.51,78.12,140.62,18.51
2018-04-09,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,226.0,527.38,15.63,17.53,93.73,234.37,17.53
2018-04-10,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,373.0,640.62,15.63,18.52,93.75,468.78,18.52
2018-04-11,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,423.0,1703.1,15.63,17.45,78.16,207.92,17.45
2018-04-12,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,396.0,421.87,15.62,15.67,62.58,156.56,15.67
2018-04-13,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,223.0,485.99,15.63,16.51,109.37,374.99,16.51
2018-04-16,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,182.0,578.12,15.64,31.25,140.61,203.12,31.25
2018-04-17,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,157.0,593.75,15.64,62.25,93.75,390.65,62.25
2018-04-18,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,295.0,796.85,15.63,18.87,125.0,437.5,18.87
2018-04-19,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,359.0,546.86,15.64,31.22,93.76,439.12,31.22
2018-04-20,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,361.0,437.54,15.63,17.03,78.14,203.27,17.03
2018-04-23,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,382.0,1859.33,15.64,30.13,93.76,247.97,30.13
2018-04-24,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,331.0,281.27,15.65,46.89,93.76,265.63,46.89
2018-04-25,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,256.0,1640.61,15.73,62.51,109.44,422.58,62.51
2018-04-26,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,99.0,40066.93,67.56,106.96,508.14,40066.93,106.96
2018-04-27,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,288.0,328.11,15.65,62.51,92.55,201.74,62.51
2018-04-30,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,327.0,250.04,15.63,31.02,78.13,125.0,31.02
2018-05-01,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,325.0,234.43,15.63,17.8,78.12,109.34,17.8
2018-05-02,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,243.0,343.75,15.63,19.09,140.61,281.29,19.09
2018-05-03,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,250.0,2859.4,15.63,18.72,81.03,187.49,18.72
2018-05-04,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,258.0,781.23,15.65,62.5,109.38,218.76,62.5
2018-05-07,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,265.0,189.19,15.62,16.1,93.75,171.88,16.1
2018-05-08,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,210.0,500.01,15.64,33.71,109.34,234.41,33.71
2018-05-09,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,250.0,343.78,15.62,46.86,93.76,156.25,46.86
2018-05-10,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,193.0,8782.02,31.26,62.51,96.87,4534.47,62.51
2018-05-11,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,129.0,394.53,15.65,62.58,187.51,390.66,62.58
2018-05-14,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,161.0,170.0,15.63,19.18,109.33,168.8,19.18
2018-05-15,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,125.0,250.03,15.63,19.79,79.31,203.09,19.79
2018-05-16,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,202.0,296.89,15.62,19.72,93.75,125.02,19.72
2018-05-17,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,200.0,265.63,15.63,31.21,93.79,218.76,31.21
2018-05-18,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,168.0,515.64,15.65,62.48,136.57,421.87,62.48
2018-05-21,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,219.0,234.4,15.62,17.72,78.15,140.64,17.72
2018-05-22,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,188.0,328.15,15.63,59.2,109.37,281.25,59.2
2018-05-23,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,246.0,296.86,15.63,31.25,89.81,234.37,31.25
2018-05-24,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,241.0,421.93,16.64,78.1,140.64,375.02,78.1
2018-05-25,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,241.0,187.51,15.64,62.43,109.38,157.75,62.43
2018-05-28,UcmTicketingDbConn,[Common].[GetTicketsByCustomerIdV2],All,165.0,140.63,15.62,15.66,78.07,93.76,15.66
