startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2017-11-17,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5263.0,21654.35,62.49,62.51,79.38,156.26,62.51
2017-11-20,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,4887.0,19343.48,62.49,62.51,79.89,187.46,62.51
2017-11-21,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5838.0,19260.64,62.5,62.54,78.33,140.65,62.54
2017-11-22,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5176.0,2000.03,62.5,71.74,93.74,171.88,71.74
2017-11-23,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,4120.0,19244.42,62.49,62.53,82.91,203.12,62.53
2017-11-24,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,3633.0,19260.93,62.49,62.56,79.22,157.18,62.56
2017-11-27,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5012.0,19201.21,62.49,62.53,93.71,164.36,62.53
2017-11-28,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5092.0,890.67,62.5,62.56,81.42,203.12,62.56
2017-11-29,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5227.0,2343.77,62.5,65.11,93.75,171.57,65.11
2017-11-30,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5422.0,19265.69,62.5,62.8,93.75,234.37,62.8
2017-12-01,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5525.0,753.21,62.5,62.52,79.29,156.29,62.52
2017-12-04,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,4800.0,19375.31,62.5,62.53,93.71,187.48,62.53
2017-12-05,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5153.0,19285.04,62.5,62.54,93.74,203.13,62.54
2017-12-06,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5288.0,19280.53,62.5,78.08,109.38,250.03,78.08
2017-12-07,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,5523.0,19347.81,62.5,66.92,94.45,234.31,66.92
2017-12-08,UcmTicketingDbConn,[Common].[GetTicketsSubStateCountByUserId],All,4547.0,6265.71,62.5,63.19,93.71,156.21,63.19
