startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-01-11,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,29444.0,40150.78,390.62,546.09,704.81,1062.33,546.09
2018-01-12,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,28370.0,40088.17,375.07,501.33,640.23,903.12,501.33
2018-01-15,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,10911.0,40306.28,375.0,481.73,593.74,874.97,481.73
2018-01-16,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,15829.0,40043.27,375.0,451.76,609.09,859.41,451.76
2018-01-17,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,16647.0,40141.6,390.62,531.24,718.74,1047.19,531.24
2018-01-18,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,15162.0,40263.65,379.24,483.89,609.23,898.1,483.89
2018-01-19,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,14497.0,40085.98,376.38,499.94,624.86,944.01,499.94
2018-01-22,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,15004.0,40225.31,375.01,467.96,640.62,1022.36,467.96
2018-01-23,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,16279.0,40156.26,390.61,531.1,657.41,1032.62,531.1
2018-01-24,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,17465.0,40386.51,390.62,546.82,703.14,1085.71,546.82
2018-01-25,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,19736.0,41027.23,390.62,532.85,671.81,1047.34,532.85
2018-01-26,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,16422.0,40125.35,374.98,468.49,609.59,925.78,468.49
2018-01-29,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,14945.0,40148.12,374.98,470.7,625.04,973.78,470.7
2018-01-30,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,18025.0,40230.82,384.93,531.24,671.66,1093.81,531.24
2018-01-31,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,17915.0,40159.43,390.21,531.24,702.61,1104.45,531.24
2018-02-01,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,19420.0,40091.9,376.59,515.01,641.41,1031.53,515.01
2018-02-02,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,20112.0,40190.17,389.0,500.27,657.56,1045.43,500.27
2018-02-05,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,14962.0,40148.63,390.51,517.57,732.54,1204.53,517.57
2018-02-06,UcmTicketingDbConn,[Common].[GetUserTickets_V2],All,20141.0,40094.48,390.63,546.9,734.4,1157.17,546.9
