DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20171211,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,53,68,461,2017-12-11,871.46
20171212,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,261,365,648,2017-12-12,639.68
20171213,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,295,405,600,2017-12-13,597.01
20171214,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,109,137,473,2017-12-14,775.41
20171215,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,44,50,343,2017-12-15,872.77
20171218,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,35,45,398,2017-12-18,898.42
20171219,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,92,133,505,2017-12-19,791.54
20171220,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,51,63,407,2017-12-20,865.96
20171221,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,54,81,449,2017-12-21,847.17
20171222,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,ProgrammaticCustomerOpportunitiesSummaryDetails,15,20,217,2017-12-22,915.61
