DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20171204,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,1050,2084,1052,2017-12-04,335.46
20171205,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,653,1416,1929,2017-12-05,576.68
20171206,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,692,1351,1352,2017-12-06,500.18
20171207,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,854,1728,996,2017-12-07,365.64
20171208,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,665,1319,951,2017-12-08,418.94
20171211,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,765,1427,855,2017-12-11,374.67
20171212,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,1043,2002,1016,2017-12-12,336.65
20171213,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,774,1498,944,2017-12-13,386.57
20171214,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,625,1233,773,2017-12-14,385.34
20171215,Microsoft.Ads.UcmApi.Core.ExternalCallExecuter.Cache.ExternalCallCacheProxy`2[Microsoft.Advertiser.AdInsight.MT.Interfaces.Opportunity.GetOpportunitiesAggregationRequestMicrosoft.Ads.UcmApi.Core.Fetchers.Opportunities.OpportunitiesEntity],https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,ProgrammaticCustomerOpportunitiesSummaryDetails,643,1101,658,2017-12-15,374.08
