DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,372,0,2018-01-29,0.0
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,339,1,2018-01-30,2.94
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,376,0,2018-01-31,0.0
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,309,3,2018-02-01,9.62
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,206,6,2018-02-02,28.3
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,282,0,2018-02-05,0.0
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,367,1,2018-02-06,2.72
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,269,2,2018-02-07,7.38
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,258,2,2018-02-08,7.69
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,174,0,2018-02-09,0.0
20180212,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,372,0,2018-02-12,0.0
20180213,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,202,0,2018-02-13,0.0
20180214,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,308,0,2018-02-14,0.0
20180215,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,298,0,2018-02-15,0.0
20180216,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,312,0,2018-02-16,0.0
20180219,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,176,0,2018-02-19,0.0
20180220,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,246,1,2018-02-20,4.05
20180221,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,354,1,2018-02-21,2.82
20180222,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,444,2,2018-02-22,4.48
20180223,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,222,0,2018-02-23,0.0
20180226,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,533,5,2018-02-26,9.29
20180227,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,450,0,2018-02-27,0.0
20180228,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,350,0,2018-02-28,0.0
20180301,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,382,2,2018-03-01,5.21
20180302,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,412,0,2018-03-02,0.0
20180305,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountFeatureAdoption,InternalOpportunitiesDomainData,0,326,0,2018-03-05,0.0
