DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,404,293,2018-01-29,420.37
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,225,315,2018-01-30,583.33
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,293,389,2018-01-31,570.38
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,310,345,2018-02-01,526.72
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,257,300,2018-02-02,538.6
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,353,266,2018-02-05,429.73
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,432,299,2018-02-06,409.03
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,303,376,2018-02-07,553.76
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,312,279,2018-02-08,472.08
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,305,248,2018-02-09,448.46
20180212,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,294,294,2018-02-12,500.0
20180213,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,167,159,2018-02-13,487.73
20180214,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,266,223,2018-02-14,456.03
20180215,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,209,210,2018-02-15,501.19
20180216,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,228,198,2018-02-16,464.79
20180219,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,183,165,2018-02-19,474.14
20180220,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,287,261,2018-02-20,476.28
20180221,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,304,240,2018-02-21,441.18
20180222,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,208,259,2018-02-22,554.6
20180223,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,220,191,2018-02-23,464.72
20180226,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,138,263,2018-02-26,655.86
20180227,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,282,338,2018-02-27,545.16
20180228,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,355,227,2018-02-28,390.03
20180301,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,301,232,2018-03-01,435.27
20180302,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,316,224,2018-03-02,414.81
20180305,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,280,257,2018-03-05,478.58
20180306,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,233,293,2018-03-06,557.03
20180307,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,156,125,2018-03-07,444.84
20180308,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,251,236,2018-03-08,484.6
20180309,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,153,110,2018-03-09,418.25
20180312,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,277,249,2018-03-12,473.38
20180313,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,249,245,2018-03-13,495.95
20180314,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,223,242,2018-03-14,520.43
20180315,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,183,183,2018-03-15,500.0
20180316,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,213,144,2018-03-16,403.36
20180319,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,151,132,2018-03-19,466.43
20180320,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,AccountManagerIdsAssignedToAccountIds,0,148,126,2018-03-20,459.85
