DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2620,1369,2018-01-29,343.19
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2271,1732,2018-01-30,432.68
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2102,1675,2018-01-31,443.47
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2686,1889,2018-02-01,412.9
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,1975,1483,2018-02-02,428.86
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3207,1196,2018-02-05,271.63
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3053,1255,2018-02-06,291.32
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2606,1501,2018-02-07,365.47
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2794,1322,2018-02-08,321.19
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2310,1057,2018-02-09,313.93
20180212,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3163,1164,2018-02-12,269.01
20180213,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,1982,916,2018-02-13,316.08
20180214,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2856,1163,2018-02-14,289.38
20180215,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2750,1175,2018-02-15,299.36
20180216,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2211,1043,2018-02-16,320.53
20180219,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,1411,568,2018-02-19,287.01
20180220,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3096,1351,2018-02-20,303.8
20180221,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2704,1197,2018-02-21,306.84
20180222,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2081,1593,2018-02-22,433.59
20180223,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3061,1137,2018-02-23,270.84
20180226,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3109,1746,2018-02-26,359.63
20180227,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3498,1890,2018-02-27,350.78
20180228,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3380,1339,2018-02-28,283.75
20180301,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,3072,1470,2018-03-01,323.65
20180302,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AccountManagerIdsAssignedToAccountIds,0,2749,1304,2018-03-02,321.74
