DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3483,2682,2018-01-29,435.04
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3047,3357,2018-01-30,524.2
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,2880,3248,2018-01-31,530.03
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3640,3674,2018-02-01,502.32
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,2639,2915,2018-02-02,524.85
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,4162,2285,2018-02-05,354.43
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,4134,2383,2018-02-06,365.66
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3602,2919,2018-02-07,447.63
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3707,2543,2018-02-08,406.88
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AdvertiserAccountLoadByAccountIds,0,3073,2034,2018-02-09,398.28
