DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2581,1419,2018-01-29,354.75
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2213,1800,2018-01-30,448.54
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2055,1736,2018-01-31,457.93
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2610,1981,2018-02-01,431.5
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,1913,1554,2018-02-02,448.23
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,3164,1264,2018-02-05,285.46
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2973,1340,2018-02-06,310.69
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2505,1625,2018-02-07,393.46
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2737,1394,2018-02-08,337.45
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,AlertsCountByAccountIdsWithCache,0,2221,1148,2018-02-09,340.75
