DateKey,CacheType,RequestUrl,PipelineName,CacheWarmUpSourceCount,HitCount,MissCount,startDayHour,perf
20180129,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2398,1234,2018-01-29,339.76
20180130,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2051,1552,2018-01-30,430.75
20180131,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,1844,1519,2018-01-31,451.68
20180201,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2300,1701,2018-02-01,425.14
20180202,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,1819,1361,2018-02-02,427.99
20180205,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,3026,1135,2018-02-05,272.77
20180206,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2817,1161,2018-02-06,291.86
20180207,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2432,1387,2018-02-07,363.18
20180208,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2664,1230,2018-02-08,315.87
20180209,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2164,977,2018-02-09,311.05
20180212,Microsoft.Ads.Ucm.Astro.Internal.AstroRedisCache,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,RenamedSearchCustomerLight,0,2968,1072,2018-02-12,265.35
