startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,128.0,11528.02,218.74,390.65,1215.96,8602.44,390.65
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,151.0,1970.22,171.86,312.5,593.76,1312.55,312.5
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,167.0,3187.56,156.2,249.44,562.48,1562.51,249.44
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,165.0,4749.99,187.49,328.13,828.09,1922.91,328.13
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,137.0,3007.15,171.89,328.12,765.67,2265.45,328.12
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,87.0,1645.77,203.13,359.37,765.19,1645.77,359.37
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,163.0,9249.75,140.62,308.72,921.9,2793.56,308.72
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,126.0,4566.3,218.78,499.98,1640.59,2491.16,499.98
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,160.0,12011.77,182.25,310.67,671.82,12003.65,310.67
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,148.0,1375.16,171.88,343.76,625.63,828.95,343.76
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,110.0,2562.61,171.93,327.99,906.25,1217.84,327.99
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,75.0,1795.89,173.55,343.61,796.87,1795.89,343.61
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,164.0,7573.42,156.24,359.4,921.89,4296.51,359.4
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,177.0,11931.9,187.5,375.02,911.02,7492.53,375.02
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,157.0,1501.52,203.11,390.63,906.24,1406.27,390.63
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,121.0,9780.64,203.13,421.85,953.47,2732.53,421.85
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,160.0,3672.74,265.63,468.73,1374.99,2209.75,468.73
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,183.0,1687.52,234.37,421.86,843.75,1421.41,421.86
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,191.0,2421.84,253.52,468.72,767.3,2094.54,468.72
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,124.0,9836.76,234.37,422.31,918.44,8977.54,422.31
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,98.0,3805.46,279.24,575.17,1346.88,3805.46,575.17
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,116.0,2078.1,203.16,385.21,1234.36,2008.84,385.21
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,127.0,9667.91,250.0,500.0,1140.64,3766.1,500.0
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserFeatureAdoption,111.0,10117.18,203.12,437.49,1374.99,8365.91,437.49
