startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,15.0,2865.93,359.4,812.51,2865.93,2865.93,812.51
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,21.0,703.16,250.0,406.26,510.68,703.16,406.26
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,34.0,3424.18,218.75,390.61,2531.47,3424.18,390.61
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,41.0,1906.2,281.21,546.87,1406.21,1906.2,546.87
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,32.0,11993.0,233.4,437.46,11524.24,11993.0,437.46
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,17.0,2039.26,262.58,499.99,2039.26,2039.26,499.99
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,54.0,4126.3,296.99,781.25,2328.2,4126.3,781.25
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,17.0,999.88,499.99,609.43,999.88,999.88,609.43
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,16.0,1546.78,406.05,593.73,1546.78,1546.78,593.73
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,24.0,1109.39,428.29,568.96,890.64,1109.39,568.96
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,25.0,1513.6,359.41,765.66,1234.41,1513.6,765.66
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,8.0,2190.49,343.75,765.73,2190.49,2190.49,765.73
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,32.0,7410.26,346.53,593.74,4519.03,7410.26,593.74
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,36.0,1815.13,140.64,499.95,1312.53,1815.13,499.95
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,26.0,1640.73,310.18,789.03,1499.96,1640.73,789.03
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,28.0,6112.35,191.53,328.14,1265.7,6112.35,328.14
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,57.0,3999.97,234.09,735.02,2281.4,3999.97,735.02
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,46.0,5631.47,343.8,515.63,1346.67,5631.47,515.63
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,28.0,1296.88,457.79,656.25,1156.29,1296.88,656.25
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,45.0,1939.78,421.86,671.86,1234.36,1939.78,671.86
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,10.0,4406.29,230.28,746.32,4406.29,4406.29,746.32
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,21.0,8025.89,640.65,1312.51,6012.89,8025.89,1312.51
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,26.0,1078.07,171.87,421.86,843.77,1078.07,421.86
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,22.0,10491.96,359.38,749.98,1407.18,10491.96,749.98
2018-03-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,13.0,1578.09,453.13,984.39,1578.09,1578.09,984.39
2018-03-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,8.0,2188.95,255.3,484.38,2188.95,2188.95,484.38
2018-03-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,35.0,1140.61,140.62,359.36,1109.4,1140.61,359.36
2018-03-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,18.0,3066.02,349.34,718.76,3066.02,3066.02,718.76
2018-03-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,41.0,7541.44,406.24,676.98,1125.02,7541.44,676.98
2018-03-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,17.0,1093.75,453.12,562.11,1093.75,1093.75,562.11
2018-03-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,26.0,1994.01,296.88,515.59,969.8,1994.01,515.59
2018-03-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,25.0,2055.8,265.63,515.66,1031.21,2055.8,515.66
2018-03-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,9.0,3294.01,639.73,718.78,3294.01,3294.01,718.78
2018-03-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,11.0,1521.57,763.95,781.79,1521.57,1521.57,781.79
2018-03-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,13.0,3761.86,625.02,1389.53,3761.86,3761.86,1389.53
2018-03-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,26.0,3830.87,359.43,765.6,3452.87,3830.87,765.6
2018-03-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,26.0,1437.48,343.74,687.5,846.72,1437.48,687.5
2018-03-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,28.0,5978.14,531.28,796.87,3384.06,5978.14,796.87
2018-03-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,43.0,2923.76,406.28,718.74,1656.22,2923.76,718.74
2018-03-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,34.0,5406.21,390.63,784.46,2265.66,5406.21,784.46
2018-03-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,101.0,2484.31,343.75,546.91,859.36,2093.68,546.91
2018-04-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyFeatureAdoption,75.0,2769.01,218.72,734.37,2450.13,2769.01,734.37
