startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1158.0,12107.47,335.45,2928.69,9376.0,12013.01,2928.69
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,927.0,24997.41,265.95,2507.08,7448.45,11203.86,2507.08
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,529.0,12067.68,343.59,2401.72,7779.71,11794.76,2401.72
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,677.0,12014.24,260.19,2053.98,6984.55,11793.67,2053.98
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,597.0,12013.87,356.0,3023.44,8413.95,12003.52,3023.44
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,435.0,12012.15,398.66,3265.6,7740.57,10726.93,3265.6
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,467.0,12012.91,289.95,2191.14,7193.12,12001.07,2191.14
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,406.0,12011.01,339.55,1971.76,7048.17,10115.46,1971.76
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,412.0,12007.82,434.65,2671.86,8787.1,11941.57,2671.86
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,463.0,12196.83,392.67,2939.52,10030.86,12012.98,2939.52
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,320.0,12004.66,272.2,1921.72,5948.53,10238.07,1921.72
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,174.0,12044.92,597.07,3140.01,6640.59,12012.87,3140.01
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,618.0,16531.21,314.35,2326.05,7265.56,12007.58,2326.05
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,453.0,12012.36,267.04,1869.4,9046.4,12006.08,1869.4
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,506.0,12036.57,219.27,1302.5,5788.3,8000.11,1302.5
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,320.0,12277.13,572.55,4902.85,11215.52,12018.32,4902.85
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,690.0,12010.95,249.03,1931.43,6161.8,10248.14,1931.43
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,730.0,12021.27,231.57,1714.19,6779.92,11360.92,1714.19
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,491.0,12014.13,374.97,2476.88,7016.79,12000.35,2476.88
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,514.0,12027.81,354.54,2341.22,6736.75,11057.77,2341.22
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,540.0,12392.02,390.61,2809.93,8008.95,12000.45,2809.93
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,458.0,12023.32,374.99,2432.81,8267.19,11655.9,2432.81
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,612.0,12087.72,185.06,1342.94,7284.0,12001.35,1342.94
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,324.0,12075.26,343.78,2172.92,6347.9,11016.84,2172.92
2018-03-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,487.0,12064.49,263.03,2510.91,9734.28,12011.09,2510.91
2018-03-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,275.0,12014.76,343.72,2441.65,7517.09,12009.46,2441.65
2018-03-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,542.0,12015.24,394.31,2263.63,7999.92,12003.65,2263.63
2018-03-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,625.0,12036.62,359.35,2495.92,7999.97,12003.19,2495.92
2018-03-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,565.0,12013.75,305.78,1912.21,7298.85,11465.07,1912.21
2018-03-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,511.0,12022.27,484.18,3573.01,8696.91,11993.22,3573.01
2018-03-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,399.0,12029.55,510.67,2921.78,7946.58,12001.5,2921.78
2018-03-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,315.0,12333.23,1341.11,3723.86,8891.34,12008.61,3723.86
2018-03-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,291.0,12240.06,710.8,2877.45,7834.62,11999.77,2877.45
2018-03-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,369.0,12202.46,535.26,2881.09,7662.5,12009.63,2881.09
2018-03-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,306.0,12015.48,890.6,4048.99,9239.71,12010.49,4048.99
2018-03-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,450.0,12036.98,391.69,3488.21,8906.07,12001.04,3488.21
2018-03-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,526.0,12014.75,374.62,2629.46,7803.36,12001.48,2629.46
2018-03-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,775.0,12014.66,261.19,2120.98,6718.62,11256.15,2120.98
2018-03-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,509.0,12015.07,408.87,3089.12,8535.21,12008.17,3089.12
2018-03-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,571.0,12015.28,343.09,2754.63,8538.13,12005.15,2754.63
2018-03-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,400.0,12015.03,468.87,3050.61,7499.88,12002.63,3050.61
2018-04-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,422.0,12232.11,431.62,2683.96,7425.33,12002.3,2683.96
2018-04-03,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,484.0,12014.22,420.46,2075.96,6284.38,11636.37,2075.96
2018-04-04,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,990.0,19265.46,404.37,2376.57,6734.39,12000.16,2376.57
2018-04-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,760.0,12014.36,352.14,2540.21,7602.09,12000.03,2540.21
2018-04-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,338.0,12011.38,569.85,2909.29,8225.82,11859.89,2909.29
2018-04-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1155.0,11999.46,283.3,1681.14,5621.22,9131.46,1681.14
2018-04-10,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,980.0,12063.79,418.35,1895.93,5811.41,10058.73,1895.93
2018-04-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,704.0,12112.57,458.36,2611.64,7890.5,11238.25,2611.64
2018-04-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,439.0,12013.37,690.49,2618.88,6999.5,11038.96,2618.88
