startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,2220.0,12223.72,140.63,1636.9,7583.81,12000.52,1636.9
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1822.0,12015.38,140.62,1274.75,7298.09,11754.31,1274.75
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1633.0,27768.52,142.32,1304.96,7189.31,11046.5,1304.96
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,2108.0,12136.75,140.63,987.89,7113.08,11673.64,987.89
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1833.0,12019.02,155.23,1917.29,7874.53,12002.46,1917.29
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1467.0,12102.69,156.21,2208.5,8625.71,12008.58,2208.5
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1890.0,18028.02,155.62,1164.86,6547.52,9883.99,1164.86
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1508.0,12042.78,140.63,641.53,7523.87,11557.09,641.53
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1313.0,12151.13,141.06,1475.69,7038.21,11949.66,1475.69
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1452.0,12012.31,156.81,1618.44,7697.03,12001.51,1618.44
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1105.0,12023.5,125.02,592.02,5905.9,10538.83,592.02
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,669.0,12015.69,233.22,2293.83,7460.35,12009.57,2293.83
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1471.0,12215.38,140.63,1205.74,6750.25,12002.03,1205.74
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1406.0,12104.16,140.65,1357.76,6329.96,10968.41,1357.76
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1346.0,12048.86,140.63,861.22,6170.81,11092.15,861.22
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1263.0,12240.66,312.37,3123.7,8878.38,12007.69,3123.7
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1635.0,12015.51,140.64,968.94,6292.05,10580.88,968.94
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1764.0,12140.43,140.63,828.33,5999.65,10676.34,828.33
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1627.0,12371.61,148.62,1297.67,6459.25,10875.22,1297.67
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1897.0,12014.17,140.62,812.7,6105.72,10248.41,812.7
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1448.0,12015.45,158.09,1955.09,7249.39,12000.18,1955.09
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1537.0,12051.49,140.62,844.66,6652.95,11133.51,844.66
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAdvertisers,1555.0,12437.35,144.86,1474.08,7636.55,12002.95,1474.08
