startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7373.0,12290.61,258.19,1971.68,7502.95,12001.7,1971.68
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6409.0,12115.35,234.16,2051.58,6994.99,11991.65,2051.58
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6289.0,12133.74,269.18,2192.55,7004.53,11944.42,2192.55
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7640.0,12286.32,249.34,1724.13,7024.97,12003.13,1724.13
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6779.0,12235.15,266.67,2100.53,7690.12,12001.44,2100.53
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5411.0,12297.65,267.47,2622.56,7944.12,12006.55,2622.56
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6162.0,16280.64,250.37,1953.75,6545.14,10885.24,1953.75
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5074.0,12421.53,240.95,1462.29,6889.64,12001.79,1462.29
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6149.0,12146.6,295.38,1995.76,7005.86,12000.15,1995.76
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6367.0,20516.79,268.63,1752.32,6896.66,12001.82,1752.32
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5057.0,12126.27,241.28,1339.42,5593.81,8531.72,1339.42
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,2875.0,12198.36,339.42,2303.48,6520.98,10620.83,2303.48
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6450.0,12188.83,252.46,1752.69,6690.73,11987.69,1752.69
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6464.0,12093.65,248.32,1324.02,6077.14,10770.91,1324.02
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7374.0,16747.25,235.57,1217.36,5572.35,9204.38,1217.36
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5726.0,12845.52,361.61,2829.61,8129.25,12007.32,2829.61
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7502.0,12270.37,281.49,1825.49,6380.09,11188.19,1825.49
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8235.0,94048.25,279.89,1515.29,6148.05,10443.46,1515.29
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7457.0,12848.48,280.11,1821.21,6895.29,11949.88,1821.21
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7978.0,12099.92,250.47,1668.26,6473.96,10930.45,1668.26
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6802.0,12311.68,312.1,2132.01,6993.9,11979.26,2132.01
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6537.0,12572.15,312.37,2004.59,6586.37,10866.01,2004.59
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6932.0,13628.34,264.99,2040.83,7093.6,11983.67,2040.83
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5403.0,12030.03,278.71,1932.66,6711.77,11744.65,1932.66
2018-03-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6332.0,12364.36,276.23,2527.03,8091.12,12004.38,2527.03
2018-03-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,4727.0,12630.54,295.54,2231.18,7469.49,12002.01,2231.18
2018-03-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7936.0,12353.03,295.2,2023.11,7334.67,11929.42,2023.11
2018-03-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7735.0,12171.82,312.73,2047.31,7052.94,11973.53,2047.31
2018-03-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7913.0,12406.16,304.71,2225.01,7187.42,11988.08,2225.01
2018-03-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7559.0,12350.5,312.77,2157.47,6902.76,11656.26,2157.47
2018-03-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6858.0,12260.32,395.33,2587.17,7556.32,12000.22,2587.17
2018-03-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,4577.0,12442.96,468.67,2588.55,6993.92,11254.85,2588.55
2018-03-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,4832.0,21160.24,482.19,2515.95,6840.58,11182.13,2515.95
2018-03-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,4883.0,25719.33,442.74,2696.75,6888.49,10583.49,2696.75
2018-03-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5294.0,12188.45,452.83,2926.47,8283.71,12001.69,2926.47
2018-03-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6301.0,12081.08,417.02,2682.87,7710.72,11945.51,2682.87
2018-03-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7930.0,13167.25,312.66,2117.35,6834.67,11517.09,2117.35
2018-03-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,9501.0,12359.71,264.02,1635.16,6258.47,9887.84,1635.16
2018-03-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7630.0,12173.51,327.71,2179.55,6888.8,11696.43,2179.55
2018-03-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7631.0,12140.38,311.72,2177.81,7491.12,11991.16,2177.81
2018-03-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5725.0,12078.26,313.65,1941.96,6376.97,11194.01,1941.96
2018-04-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6013.0,12070.98,256.5,1474.78,5905.37,9828.51,1474.78
2018-04-03,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7989.0,14783.04,310.68,1677.93,5856.59,9257.78,1677.93
2018-04-04,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8065.0,12781.07,341.67,2080.64,6479.43,10169.0,2080.64
2018-04-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8216.0,12115.82,312.59,1865.1,6841.17,11401.7,1865.1
2018-04-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5996.0,15138.12,335.28,2115.32,7480.68,11977.06,2115.32
2018-04-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,10518.0,12298.41,311.9,1575.89,5554.68,9038.42,1575.89
2018-04-10,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8709.0,12579.03,328.14,1808.34,5605.81,8643.56,1808.34
2018-04-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8249.0,12210.05,391.98,2156.75,6070.12,9574.62,2156.75
2018-04-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7486.0,12031.49,414.65,2089.57,5883.91,9253.58,2089.57
2018-04-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7307.0,12934.84,374.92,2167.64,6072.33,9792.87,2167.64
2018-04-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8270.0,12161.9,359.47,1946.37,5970.39,9128.21,1946.37
2018-04-17,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7504.0,12020.45,375.6,1974.87,5984.46,9455.51,1974.87
2018-04-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,8036.0,12310.29,406.66,2273.33,6450.42,11030.89,2273.33
2018-04-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,9221.0,12305.13,357.82,1976.17,6162.75,10242.54,1976.17
2018-04-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,5059.0,12247.86,430.57,2651.09,7316.92,12000.06,2651.09
2018-04-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6397.0,16984.27,416.89,2518.2,6422.45,10203.03,2518.2
2018-04-24,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6617.0,12148.51,387.22,2578.86,7093.33,11944.0,2578.86
2018-04-25,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,6410.0,12051.21,375.03,2180.95,6248.48,9746.45,2180.95
2018-04-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/Command/CacheWarmUp,7821.0,31438.41,475.97,11335.74,12012.28,12033.0,11335.74
