startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,6069.0,13579.7,669.91,1522.29,8251.33,12853.21,1522.29
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,1775.0,3374.65,156.23,369.17,1987.08,3000.88,369.17
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,1209.0,5438.18,187.69,923.16,5285.81,5391.18,923.16
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,941.0,812.56,125.02,232.73,453.14,564.6,232.73
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,3402.0,16419.15,345.55,1395.61,15349.88,16125.92,1395.61
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,2396.0,12730.73,798.94,2231.42,11922.5,12271.77,2231.42
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,3163.0,12012.31,266.98,561.71,2511.31,3187.51,561.71
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,1794.0,4687.43,468.85,878.8,4468.43,4538.6,878.8
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,4351.0,12005.61,766.56,2111.54,4613.44,6047.66,2111.54
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,2775.0,7218.7,512.35,2928.1,6209.27,6937.11,2928.1
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,4658.0,13687.04,2214.54,6763.15,12901.0,13360.71,6763.15
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,3852.0,12942.1,563.03,1930.61,10527.29,12459.31,1930.61
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,3006.0,1988.19,312.95,761.69,1421.74,1723.84,761.69
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,2293.0,12952.97,125.06,315.2,2015.62,6953.04,315.2
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,2879.0,12077.12,187.28,466.43,8626.46,10381.48,466.43
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,1440.0,1481.34,140.48,262.0,436.99,625.04,262.0
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/ExcelDownloadRequest,2093.0,3359.33,207.89,423.04,781.15,2964.49,423.04
