startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,95.0,953.13,97.96,234.39,649.81,953.13,234.39
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,118.0,1093.74,124.99,245.97,468.77,687.24,245.97
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,206.0,968.74,82.7,130.46,343.79,640.71,130.46
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,186.0,1234.28,110.32,203.13,531.25,1080.92,203.13
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,93.0,926.74,125.02,227.03,656.38,926.74,227.03
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,56.0,731.16,125.0,228.41,500.0,731.16,228.41
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,101.0,2515.56,140.64,296.84,796.87,1546.84,296.84
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,64.0,1375.23,171.88,265.62,784.15,1375.23,265.62
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,100.0,2171.87,124.97,203.13,656.26,1109.36,203.13
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,106.0,12003.14,129.18,218.73,765.66,1812.45,218.73
2018-02-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,84.0,1656.36,140.63,265.58,630.07,1656.36,265.58
2018-02-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,133.0,1661.94,109.38,203.1,546.88,1062.24,203.1
2018-02-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,204.0,3386.58,125.0,261.71,558.78,1122.8,261.71
2018-02-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,133.0,1531.33,109.34,188.15,558.14,899.6,188.15
2018-02-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,89.0,1023.9,140.63,218.75,505.17,1023.9,218.75
2018-02-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,125.0,1718.8,125.8,218.76,734.38,1518.67,218.76
2018-02-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,484.0,4793.38,78.05,187.5,527.61,1465.8,187.5
2018-02-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,389.0,891.19,93.73,198.9,484.38,765.66,198.9
2018-02-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,181.0,4669.77,156.31,286.36,641.15,2411.06,286.36
2018-03-01,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,119.0,3255.33,203.14,373.6,765.59,2015.63,373.6
2018-03-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,132.0,1768.81,156.3,343.74,703.13,1093.79,343.74
2018-03-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,114.0,5297.17,265.6,494.17,1250.15,2629.4,494.17
2018-03-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,131.0,3125.01,203.15,437.5,953.16,1810.56,437.5
2018-03-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,128.0,12010.05,187.52,343.8,1421.86,5289.35,343.8
2018-03-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,103.0,2847.36,203.15,459.81,1312.52,2010.91,459.81
2018-03-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,86.0,2218.77,171.87,312.52,624.99,2218.77,312.52
2018-03-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,171.0,8537.46,203.13,390.59,1547.76,5919.27,390.59
2018-03-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,136.0,12181.31,187.5,406.27,1046.91,4718.87,406.27
2018-03-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,118.0,3703.5,140.66,282.98,874.96,2006.91,282.98
2018-03-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,107.0,1750.05,187.54,411.06,843.75,1656.23,411.06
2018-03-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,77.0,3237.87,203.15,359.38,1251.37,3237.87,359.38
2018-03-19,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,104.0,2893.64,171.17,410.43,1406.46,2203.11,410.43
2018-03-20,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,140.0,2546.91,113.44,282.88,765.75,2313.73,282.88
2018-03-21,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,85.0,2924.63,171.87,296.89,638.99,2924.63,296.89
2018-03-22,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,157.0,2093.74,109.35,283.31,1296.85,1968.84,283.31
2018-03-23,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,141.0,3239.19,93.79,203.1,1000.01,1792.92,203.1
2018-03-26,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,117.0,1621.51,138.06,371.13,984.45,1401.89,371.13
2018-03-27,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,122.0,8915.09,156.27,281.25,953.13,1656.24,281.25
2018-03-28,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,108.0,4468.9,171.91,578.14,1421.82,3831.31,578.14
2018-03-29,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,79.0,2954.58,172.03,390.64,1234.34,2954.58,390.64
2018-03-30,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,96.0,4185.38,156.26,359.36,1109.46,4185.38,359.36
2018-04-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,169.0,2843.77,140.57,218.73,994.62,1656.24,218.73
2018-04-03,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,275.0,12043.81,125.03,312.5,1328.14,3549.02,312.5
2018-04-04,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,313.0,2687.51,78.11,184.31,859.38,2140.75,184.31
2018-04-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,313.0,2359.18,93.75,190.55,843.74,1640.64,190.55
2018-04-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,120.0,2240.64,109.37,328.12,921.88,1828.13,328.12
2018-04-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,206.0,1075.66,124.99,234.42,734.37,991.87,234.42
2018-04-10,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,376.0,11765.87,109.37,218.74,671.93,1343.8,218.74
2018-04-11,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,231.0,1937.84,124.98,234.36,750.01,1484.38,234.36
2018-04-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,220.0,3817.08,92.2,203.12,859.41,1927.12,203.12
2018-04-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,199.0,3563.67,78.11,156.26,671.82,3192.52,156.26
2018-04-16,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,226.0,2065.23,108.23,218.73,593.74,1368.06,218.73
2018-04-17,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,289.0,7655.95,127.03,328.13,1255.2,2671.89,328.13
2018-04-18,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/FeatureAdoptionReportForAccount,365.0,4026.52,123.48,212.64,718.73,1718.72,212.64
