startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,2555.0,36292.52,93.52,218.76,660.19,1889.8,218.76
2018-02-05,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,7670.0,11733.34,62.5,156.34,548.63,1382.92,156.34
2018-02-06,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,11440.0,6283.46,46.87,93.77,311.79,764.79,93.77
2018-02-07,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,6514.0,13193.82,63.42,175.6,593.83,1397.62,175.6
2018-02-08,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,5975.0,23176.12,62.51,156.38,468.73,1036.76,156.38
2018-02-09,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,6095.0,6676.03,62.45,140.61,489.4,1404.83,140.61
2018-02-12,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,8233.0,183007.43,62.51,186.79,731.7,1874.98,186.79
2018-02-13,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,4882.0,12149.37,62.49,156.83,565.36,1546.86,156.83
2018-02-14,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,6460.0,5679.99,62.51,171.95,586.05,1615.88,171.95
2018-02-15,AdInsightsMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/HealthCheckCommand/ProcessJob,6309.0,45153.32,62.51,156.25,521.28,1331.73,156.25
