startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1595.0,10468.77,140.63,203.41,502.51,1203.12,203.41
2018-02-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2137.0,20845.48,142.25,189.49,468.74,781.2,189.49
2018-02-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1927.0,4526.66,139.57,203.13,515.27,1031.24,203.13
2018-02-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1895.0,30120.09,139.3,203.12,500.09,1203.14,203.12
2018-02-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1780.0,18230.21,140.67,218.76,562.47,1343.75,218.76
2018-02-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1753.0,12996.78,125.01,190.74,530.67,1078.11,190.74
2018-02-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1934.0,16574.88,125.03,187.52,484.37,718.75,187.52
2018-02-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1400.0,9155.99,154.17,203.13,499.99,1035.93,203.13
2018-02-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1752.0,6169.82,125.0,187.51,468.76,765.61,187.51
2018-02-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1478.0,15291.9,125.02,200.39,468.76,718.75,200.39
2018-02-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1340.0,2074.67,140.79,187.64,483.76,656.27,187.64
2018-02-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1024.0,19245.48,116.49,187.49,421.93,640.65,187.49
2018-02-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1875.0,8539.32,126.17,187.53,468.74,703.15,187.53
2018-02-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1666.0,3281.12,152.4,203.13,484.43,928.78,203.13
2018-02-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2039.0,8309.22,140.65,203.2,624.88,1397.39,203.2
2018-02-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1404.0,3058.33,155.38,201.43,484.41,1046.88,201.43
2018-02-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1855.0,15458.89,110.58,187.51,499.98,1109.36,187.51
2018-02-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1911.0,3342.82,109.38,187.5,468.74,812.45,187.5
2018-02-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1839.0,2156.2,124.81,187.51,484.37,843.74,187.51
2018-03-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1723.0,29837.21,126.75,187.51,485.24,935.55,187.51
2018-03-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1253.0,5468.71,109.7,187.56,499.99,1156.26,187.56
2018-03-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1485.0,5922.3,109.44,187.51,500.0,1179.02,187.51
2018-03-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1551.0,2158.1,171.87,203.03,484.36,812.5,203.03
2018-03-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1155.0,13265.27,171.88,218.77,546.87,1156.34,218.77
2018-03-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1211.0,3171.88,171.87,222.52,562.52,1247.25,222.52
2018-03-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1014.0,2281.16,156.33,203.13,515.62,921.88,203.13
2018-03-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1850.0,5250.05,125.03,187.55,468.38,1109.34,187.55
2018-03-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1904.0,15627.45,125.02,187.56,482.4,999.98,187.56
2018-03-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1940.0,12140.36,123.69,187.51,499.17,1048.72,187.51
2018-03-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1631.0,10585.8,125.04,187.74,484.37,1190.38,187.74
2018-03-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1483.0,21963.79,123.64,187.54,499.98,874.98,187.54
2018-03-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1355.0,4203.03,111.0,193.18,577.89,1156.22,193.18
2018-03-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1356.0,4704.79,124.74,187.54,484.37,859.35,187.54
2018-03-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1151.0,21592.78,123.41,187.51,468.74,953.09,187.51
2018-03-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1168.0,10631.39,109.28,187.49,468.74,734.37,187.49
2018-03-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1244.0,4282.79,131.8,203.12,515.66,1872.54,203.12
2018-03-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1718.0,9540.94,93.85,187.5,477.53,1433.45,187.5
2018-03-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1705.0,19262.32,108.87,187.49,468.75,1480.88,187.49
2018-03-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1555.0,23923.71,171.84,203.09,515.61,1548.98,203.09
2018-03-29,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1434.0,6880.46,124.88,187.52,499.99,1140.66,187.52
2018-03-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,960.0,19468.55,171.87,218.74,500.0,1015.61,218.74
2018-04-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1684.0,7736.45,171.88,203.13,484.37,1656.24,203.13
2018-04-03,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1860.0,19263.84,123.68,187.5,468.78,1656.2,187.5
2018-04-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1905.0,9514.51,93.77,171.89,437.54,1265.8,171.89
2018-04-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2111.0,16144.6,94.05,171.9,468.72,1234.36,171.9
2018-04-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1753.0,5803.31,124.21,187.49,451.16,1250.02,187.49
2018-04-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2083.0,14969.6,80.31,171.86,269.84,484.37,171.86
2018-04-10,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2043.0,5299.78,94.13,171.88,296.88,1218.73,171.88
2018-04-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1703.0,21055.45,125.44,187.47,390.66,1093.77,187.47
2018-04-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1653.0,2726.27,92.89,171.87,301.77,453.11,171.87
2018-04-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1543.0,3360.38,78.4,171.87,265.62,515.65,171.87
2018-04-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1884.0,19260.1,78.15,171.86,265.63,437.5,171.86
2018-04-17,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1960.0,4120.96,78.82,171.87,250.01,406.25,171.87
2018-04-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2155.0,4533.63,110.56,171.88,265.62,437.48,171.88
2018-04-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2104.0,4451.37,78.13,171.87,281.19,578.24,171.87
2018-04-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1353.0,4361.55,66.19,156.31,303.87,484.35,156.31
2018-04-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1955.0,4019.45,83.15,171.88,312.49,533.54,171.88
2018-04-24,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1655.0,29410.92,78.15,171.87,265.61,483.5,171.87
2018-04-25,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2068.0,8900.18,156.25,303.81,437.51,734.41,303.81
2018-04-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1186.0,189553.41,218.74,343.74,571.03,1499.97,343.74
2018-04-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1442.0,3359.29,171.84,174.7,312.49,531.28,174.7
2018-04-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1785.0,1868.43,78.12,171.86,265.66,516.33,171.86
2018-05-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1394.0,5549.17,95.6,171.87,257.61,437.49,171.87
2018-05-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1904.0,1499.43,78.09,171.87,265.63,437.5,171.87
2018-05-03,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2138.0,5075.74,89.96,171.86,265.64,452.49,171.86
2018-05-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1385.0,3910.16,82.3,171.87,281.29,406.26,171.87
2018-05-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1565.0,503847.09,108.31,171.87,312.34,499.99,171.87
2018-05-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1718.0,30210.22,78.15,171.87,281.27,578.12,171.87
2018-05-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1735.0,47952.16,91.78,171.87,359.38,2046.85,171.87
2018-05-10,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1387.0,75766.79,109.37,171.89,456.54,17379.55,171.89
2018-05-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1384.0,19046.37,78.14,171.87,297.52,1406.29,171.87
2018-05-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1753.0,4734.52,63.44,156.26,278.11,476.59,156.26
2018-05-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1588.0,5080.87,78.12,171.84,280.97,603.29,171.84
2018-05-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1770.0,13439.12,75.75,156.29,234.54,484.38,156.29
2018-05-17,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1552.0,29963.37,102.66,171.88,295.85,468.75,171.88
2018-05-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1448.0,39208.09,78.1,156.29,359.4,5035.34,156.29
2018-05-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1884.0,2734.11,92.44,171.86,234.4,453.13,171.86
2018-05-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1940.0,9211.19,78.15,171.86,234.08,453.11,171.86
2018-05-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1762.0,1062.53,78.13,171.84,235.1,421.83,171.84
2018-05-24,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1699.0,138595.48,78.15,171.85,274.87,701.27,171.85
2018-05-25,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1256.0,8992.6,94.12,171.9,406.26,563.55,171.9
2018-05-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1027.0,2062.51,78.9,185.16,484.37,769.52,185.16
2018-05-29,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2211.0,3898.54,140.64,187.46,438.42,765.62,187.46
2018-05-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1845.0,5303.26,93.75,171.88,315.53,538.32,171.88
2018-05-31,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1579.0,2860.91,94.5,171.87,265.2,437.5,171.87
2018-06-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1299.0,3883.87,129.64,171.88,328.17,515.58,171.88
2018-06-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1615.0,38387.51,78.18,171.85,295.95,484.37,171.85
2018-06-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1515.0,19499.98,78.16,171.85,343.73,580.28,171.85
2018-06-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1890.0,7523.92,136.63,171.87,269.2,421.84,171.87
2018-06-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1770.0,72343.56,93.75,171.87,276.27,437.51,171.87
2018-06-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1567.0,2118.43,78.16,171.87,274.64,484.31,171.87
2018-06-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1768.0,25095.93,78.77,171.86,310.46,468.78,171.86
2018-06-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,2057.0,2170.65,63.96,156.29,234.38,421.87,156.29
2018-06-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1548.0,382070.69,78.12,171.88,328.15,750.0,171.88
2018-06-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1966.0,1153.65,156.23,172.04,281.17,406.2,172.04
2018-06-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1264.0,42671.88,93.3,171.88,296.87,468.72,171.88
2018-06-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1655.0,14441.33,97.96,171.88,278.73,449.99,171.88
2018-06-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserIOTile,1693.0,2359.44,108.53,171.88,311.46,468.65,171.88
