startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,819.0,1843.74,171.86,262.67,546.85,1015.7,262.67
2018-02-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,906.0,2171.8,156.25,234.15,515.66,1073.66,234.15
2018-02-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,859.0,23242.21,156.25,247.9,828.0,4093.67,247.9
2018-02-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,809.0,8287.27,171.31,265.1,641.68,1409.94,265.1
2018-02-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,675.0,18651.13,156.57,249.91,667.45,15348.85,249.91
2018-02-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,537.0,5578.39,156.25,249.65,765.61,2453.11,249.65
2018-02-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,756.0,6275.9,171.55,265.6,609.33,1187.11,265.6
2018-02-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,518.0,14069.98,203.05,375.0,1218.75,4562.54,375.0
2018-02-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,627.0,52569.25,171.72,250.02,563.13,1109.35,250.02
2018-02-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,664.0,2623.26,171.87,250.04,593.76,1218.28,250.04
2018-02-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,536.0,2441.94,155.44,233.6,828.15,1812.54,233.6
2018-02-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,430.0,11845.27,156.38,234.28,499.99,1093.59,234.28
2018-02-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyAccounts,853.0,10315.33,156.71,239.75,546.92,1234.34,239.75
