startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2024.0,29952.77,375.04,640.4,1346.67,3002.1,640.4
2018-02-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1528.0,94212.13,345.41,556.07,1109.39,2390.67,556.07
2018-02-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,584.0,7080.8,359.41,534.17,1375.02,4645.75,534.17
2018-02-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,628.0,16789.61,359.77,502.14,1328.19,6218.81,502.14
2018-02-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,495.0,18759.86,328.17,500.2,1593.6,12953.04,500.2
2018-02-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,499.0,8233.64,343.68,468.72,1171.87,3703.19,468.72
2018-02-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,565.0,7285.84,312.5,438.2,953.12,2343.68,438.2
2018-02-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,428.0,11034.72,360.23,702.9,2046.86,4593.8,702.9
2018-02-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,548.0,34303.05,328.54,448.65,1091.44,2607.04,448.65
2018-02-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,534.0,23963.82,345.54,498.65,999.84,2019.59,498.65
2018-02-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,490.0,10505.27,328.18,477.19,941.9,2312.92,477.19
2018-02-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,268.0,5157.61,389.22,497.71,1093.77,2171.81,497.71
2018-02-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,599.0,24566.79,343.91,497.05,1152.29,3406.15,497.05
2018-02-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,493.0,18392.48,344.8,482.09,1081.44,2664.97,482.09
2018-02-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,619.0,7846.03,327.81,423.61,843.73,1984.32,423.61
2018-02-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,478.0,2875.0,358.09,484.43,1030.7,1421.95,484.43
2018-02-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,774.0,3028.78,359.34,471.52,984.36,1703.84,471.52
2018-02-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,807.0,19450.1,354.9,497.5,1155.87,2015.25,497.5
2018-02-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,601.0,23804.46,363.88,531.8,1109.35,5244.44,531.8
2018-03-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,632.0,3958.84,359.04,498.34,1031.7,1703.11,498.34
2018-03-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,492.0,9963.95,359.68,522.93,1093.74,2642.33,522.93
2018-03-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,546.0,6374.24,324.52,442.97,897.3,1859.35,442.97
2018-03-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,643.0,5808.68,343.64,546.47,1124.99,2234.36,546.47
2018-03-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,386.0,4587.68,359.2,546.87,1234.37,2489.15,546.87
2018-03-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,520.0,19157.53,359.31,578.66,1409.74,2859.32,578.66
2018-03-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,333.0,4109.35,358.5,516.49,1172.66,2806.59,516.49
2018-03-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,593.0,6533.56,400.25,562.5,1171.88,2562.47,562.5
2018-03-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,640.0,19640.62,416.74,625.65,1562.48,5048.73,625.65
2018-03-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,720.0,18587.64,392.14,561.99,1656.24,5911.88,561.99
2018-03-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,609.0,10610.13,428.2,655.57,1906.26,4211.49,655.57
2018-03-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,465.0,12598.63,434.67,640.65,1296.91,3702.48,640.65
2018-03-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,343.0,18504.5,437.24,576.79,1453.11,5395.4,576.79
2018-03-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,314.0,11704.48,421.6,562.9,1140.61,2328.13,562.9
2018-03-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,306.0,3125.65,343.75,437.08,624.99,2388.18,437.08
2018-03-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,365.0,12793.8,374.07,484.39,1165.43,4550.39,484.39
2018-03-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,432.0,11915.02,407.27,615.96,1938.21,5051.54,615.96
2018-03-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,689.0,12327.61,358.65,609.42,2222.37,6062.45,609.42
2018-03-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,767.0,16863.71,312.5,501.95,1654.58,5168.19,501.95
2018-03-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,642.0,19269.44,358.53,662.1,1874.31,5914.94,662.1
2018-03-29,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,588.0,17918.08,328.15,585.09,2183.68,6942.92,585.09
2018-03-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,573.0,10044.03,266.29,359.36,932.36,2937.54,359.36
2018-04-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,754.0,19265.48,264.5,359.03,1174.74,4421.4,359.03
2018-04-03,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,939.0,10275.31,305.49,455.09,1464.72,4132.0,455.09
2018-04-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1153.0,19414.75,296.88,499.29,1866.76,5883.03,499.29
2018-04-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1025.0,17865.68,297.43,500.31,1815.81,4890.58,500.31
2018-04-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,664.0,13655.87,296.88,531.24,2048.82,4750.65,531.24
2018-04-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1117.0,6085.89,264.86,328.11,484.41,1031.23,328.11
2018-04-10,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1002.0,4974.36,250.08,329.55,515.62,1307.92,329.55
2018-04-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,942.0,16547.59,281.31,390.55,828.12,2107.87,390.55
2018-04-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,754.0,33398.62,250.02,324.94,499.99,1046.85,324.94
2018-04-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,730.0,2889.77,250.04,328.16,500.0,706.98,328.16
2018-04-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,931.0,11701.68,249.54,312.49,546.3,2144.03,312.49
2018-04-17,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,829.0,2963.72,248.44,312.52,453.25,842.18,312.52
2018-04-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,873.0,3234.38,250.03,328.14,531.25,796.9,328.14
2018-04-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,955.0,1890.68,250.0,315.58,499.99,1080.97,315.58
2018-04-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,409.0,3155.85,250.44,328.14,593.63,952.29,328.14
2018-04-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,593.0,2328.13,265.6,343.74,642.53,1170.97,343.74
2018-04-24,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,559.0,27713.65,257.49,332.68,625.0,1312.37,332.68
2018-04-25,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,536.0,2640.49,250.0,325.83,515.66,1249.27,325.83
2018-04-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,490.0,222474.94,406.24,534.7,1300.19,107243.63,534.7
2018-04-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,379.0,1640.63,281.25,359.37,546.84,994.39,359.37
2018-04-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,584.0,4474.9,262.98,329.34,515.54,2374.99,329.34
