startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2042.0,30308.07,377.98,532.2,1306.03,2670.94,532.2
2018-02-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1996.0,136242.21,359.41,503.16,1101.54,2093.77,503.16
2018-02-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1930.0,30633.21,390.66,584.32,1697.14,5698.49,584.32
2018-02-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2090.0,16939.61,394.69,606.89,1855.54,6283.03,606.89
2018-02-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1783.0,33030.7,355.71,517.88,1524.53,18100.57,517.88
2018-02-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1439.0,30140.0,374.68,546.84,1490.2,4428.27,546.84
2018-02-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1885.0,19202.01,343.67,459.75,1127.65,2984.42,459.75
2018-02-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1317.0,19428.0,389.91,673.16,2358.02,7093.97,673.16
2018-02-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1640.0,52971.63,347.24,499.64,1347.38,3838.37,499.64
2018-02-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1660.0,17516.13,375.0,514.35,1127.15,2599.35,514.35
2018-02-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1388.0,7342.77,346.54,488.58,1125.05,3837.54,488.58
2018-02-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,848.0,7070.04,390.66,500.02,953.13,2641.12,500.02
2018-02-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1942.0,21023.02,359.39,499.4,1229.21,2788.77,499.4
2018-02-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1737.0,19544.26,360.1,516.82,1371.42,2689.2,516.82
2018-02-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1758.0,10203.24,343.75,468.74,1066.63,1828.15,468.74
2018-02-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1553.0,12407.1,376.42,515.96,1203.11,2538.58,515.96
2018-02-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2223.0,300006.0,362.42,497.35,1197.81,2558.86,497.35
2018-02-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2318.0,21857.27,360.07,515.58,1226.64,2234.32,515.58
2018-02-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1893.0,23581.63,374.91,539.45,1281.74,2767.77,539.45
2018-03-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1956.0,7890.55,374.98,516.11,1125.62,2361.4,516.11
2018-03-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1697.0,19261.17,374.99,532.87,1359.34,4708.39,532.87
2018-03-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1881.0,114345.35,343.69,504.25,1234.99,2812.4,504.25
2018-03-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1846.0,7062.43,343.57,530.41,1203.11,2109.34,530.41
2018-03-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1183.0,23687.33,359.91,579.9,1656.03,3749.97,579.9
2018-03-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1427.0,7953.02,391.47,640.58,1796.86,3249.98,640.58
2018-03-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1112.0,8500.04,389.54,593.85,1531.24,3328.07,593.85
2018-03-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2111.0,24242.05,437.5,607.98,1234.91,2562.55,607.98
2018-03-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2036.0,20691.26,437.57,625.73,1773.52,3968.63,625.73
2018-03-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1969.0,16086.35,419.77,579.12,1588.54,5434.34,579.12
2018-03-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1778.0,27221.55,444.67,702.76,2374.11,6556.37,702.76
2018-03-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1615.0,13687.21,437.15,621.92,1578.12,3227.71,621.92
2018-03-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1194.0,14327.25,469.02,661.62,1492.68,4156.24,661.62
2018-03-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1112.0,11827.99,421.74,607.6,1479.8,3787.58,607.6
2018-03-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,943.0,7345.41,359.37,453.17,812.51,1951.38,453.17
2018-03-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1031.0,20049.04,363.57,491.5,1354.6,4093.73,491.5
2018-03-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1411.0,20630.79,436.68,726.97,2281.03,4500.01,726.97
2018-03-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2078.0,28932.5,388.57,665.32,2272.86,5601.31,665.32
2018-03-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2215.0,21683.89,328.46,556.22,1863.03,4245.63,556.22
2018-03-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2014.0,17307.2,390.47,731.57,2427.73,5915.34,731.57
2018-03-29,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1891.0,17667.04,376.1,683.02,2267.83,5328.04,683.02
2018-03-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1579.0,12600.65,294.77,391.73,818.55,3156.19,391.73
2018-04-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2265.0,36234.24,281.25,406.31,1854.16,8578.03,406.31
2018-04-03,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2900.0,17540.11,343.66,609.12,1933.1,4609.31,609.12
2018-04-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,3278.0,18086.39,343.62,621.57,1924.54,4953.22,621.57
2018-04-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2803.0,14639.76,351.73,656.72,2129.14,5347.47,656.72
2018-04-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1999.0,15193.14,359.41,668.61,2094.59,5547.13,668.61
2018-04-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,3244.0,15564.45,263.68,325.47,479.65,749.98,325.47
2018-04-10,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,3023.0,13473.52,267.82,343.72,561.47,1578.19,343.72
2018-04-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2599.0,19560.66,296.97,421.9,1016.81,2408.92,421.9
2018-04-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2585.0,30262.35,256.84,328.14,506.99,796.89,328.14
2018-04-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2250.0,3930.04,265.62,328.15,499.44,796.85,328.15
2018-04-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2869.0,4921.74,262.35,328.1,527.93,1265.78,328.1
2018-04-17,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2705.0,6002.69,265.44,328.12,501.75,972.09,328.12
2018-04-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2777.0,12134.91,265.62,328.58,500.01,845.42,328.58
2018-04-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2820.0,14638.64,265.6,329.08,546.79,1140.42,329.08
2018-04-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1511.0,4375.14,264.75,328.12,551.85,1111.31,328.12
2018-04-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1873.0,82280.52,265.63,343.61,564.08,1455.01,343.61
2018-04-24,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1683.0,26079.01,281.2,345.19,622.5,1384.08,345.19
2018-04-25,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1938.0,19291.92,281.0,343.75,609.38,1706.51,343.75
2018-04-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1568.0,342971.63,420.69,578.58,1250.85,146430.1,578.58
2018-04-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1431.0,15299.37,296.92,375.14,600.43,1531.35,375.14
2018-04-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1925.0,16584.79,262.75,328.84,572.88,1624.52,328.84
2018-05-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1770.0,18482.31,265.62,343.74,578.16,2734.38,343.74
2018-05-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1974.0,3775.93,250.0,313.49,484.37,1047.49,313.49
2018-05-03,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1793.0,20398.46,281.19,342.59,546.89,1437.46,342.59
2018-05-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1527.0,13365.04,265.62,328.33,546.91,994.85,328.33
2018-05-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1644.0,497572.5,248.84,312.34,576.51,196673.47,312.34
2018-05-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1871.0,30245.67,250.0,320.84,541.44,2902.41,320.84
2018-05-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1838.0,476300.83,253.01,328.12,646.47,27234.18,328.12
2018-05-10,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2166.0,358263.59,265.66,353.77,1962.07,55160.06,353.77
2018-05-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1588.0,10656.32,250.01,312.5,531.24,1888.66,312.5
2018-05-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1968.0,3890.63,250.03,312.5,526.16,1279.62,312.5
2018-05-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2002.0,5831.76,250.03,312.54,562.48,875.07,312.54
2018-05-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2027.0,21704.32,250.54,312.76,500.77,1187.01,312.76
2018-05-17,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1822.0,60226.43,265.42,324.34,517.53,3283.68,324.34
2018-05-18,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1347.0,54041.91,250.02,318.96,616.08,19284.51,318.96
2018-05-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1901.0,8644.36,247.72,312.46,497.37,902.47,312.46
2018-05-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2130.0,6421.8,250.01,317.93,510.4,872.11,317.93
2018-05-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1880.0,19183.85,249.99,312.48,484.39,827.61,312.48
2018-05-24,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1961.0,359674.95,250.7,330.9,18255.1,72633.36,330.9
2018-05-25,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1302.0,18370.07,258.17,312.52,505.45,812.58,312.52
2018-05-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,788.0,12539.97,296.92,390.61,656.24,1187.52,390.61
2018-05-29,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2102.0,4469.18,252.73,328.11,558.56,906.26,328.11
2018-05-30,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2029.0,4246.82,264.95,328.62,578.26,1093.78,328.62
2018-05-31,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1826.0,7619.65,249.98,313.86,515.65,937.48,313.86
2018-06-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1540.0,7883.83,250.04,312.72,515.66,824.69,312.72
2018-06-04,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1892.0,51358.12,247.49,301.63,500.03,937.57,301.63
2018-06-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1813.0,18584.82,258.65,327.22,549.49,909.48,327.22
2018-06-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1943.0,3228.13,265.62,328.11,538.95,841.73,328.11
2018-06-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1668.0,12343.75,249.98,312.18,519.46,750.03,312.18
2018-06-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1608.0,25484.1,250.07,314.58,515.65,937.47,314.58
2018-06-11,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1885.0,12569.99,265.63,332.54,534.26,893.4,332.54
2018-06-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,2163.0,18205.54,249.99,328.13,545.09,1084.7,328.13
2018-06-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobIOTile,1979.0,600068.98,261.86,332.39,628.92,26938.44,332.39
