startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,575.0,7190.96,264.32,625.78,2124.94,3482.98,625.78
2018-02-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,565.0,19500.1,266.26,546.86,1968.27,4438.64,546.86
2018-02-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,118.0,3627.02,312.49,562.5,1546.95,3578.44,562.5
2018-02-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,166.0,4610.0,234.42,390.64,1375.04,3660.21,390.64
2018-02-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,130.0,12395.59,265.62,487.03,1359.29,5141.85,487.03
2018-02-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,107.0,4312.48,218.76,375.56,1375.01,3890.62,375.56
2018-02-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,120.0,3511.6,234.54,468.75,1312.43,2476.14,468.75
2018-02-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,79.0,4050.95,305.63,531.25,1171.82,4050.95,531.25
2018-02-14,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,132.0,10486.78,421.89,705.28,1234.35,2018.12,705.28
2018-02-15,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,88.0,2812.41,203.1,455.42,1203.12,2812.41,455.42
2018-02-16,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,82.0,1517.91,250.0,484.53,1218.78,1517.91,484.53
2018-02-19,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,56.0,1415.07,296.88,699.52,1063.59,1415.07,699.52
2018-02-20,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,132.0,7231.21,435.78,734.5,1235.14,2906.44,734.5
2018-02-21,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,128.0,2906.11,328.02,633.81,1312.47,1687.44,633.81
2018-02-22,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,81.0,2562.5,234.37,420.25,1194.21,2562.5,420.25
2018-02-23,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,69.0,1828.05,265.42,484.42,953.12,1828.05,484.42
2018-02-26,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,104.0,1328.14,250.0,468.67,1015.68,1281.26,468.67
2018-02-27,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,148.0,4863.05,232.32,390.63,1124.53,2968.69,390.63
2018-02-28,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,149.0,2499.98,234.38,406.28,1015.62,2031.21,406.28
2018-03-01,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,107.0,1768.29,250.0,390.66,1125.31,1546.86,390.66
2018-03-02,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,97.0,18255.26,171.89,328.12,859.49,18255.26,328.12
2018-03-05,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,117.0,1316.9,203.15,421.85,1015.62,1296.87,421.85
2018-03-06,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,155.0,2906.21,264.87,577.93,1156.3,2156.21,577.93
2018-03-07,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,79.0,1203.11,221.14,484.37,1062.5,1203.11,484.37
2018-03-08,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,152.0,2187.48,282.09,634.77,1140.62,1557.95,634.77
2018-03-09,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,98.0,5438.59,359.36,749.99,1359.32,5438.59,749.99
2018-03-12,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,124.0,19256.0,265.63,593.74,1878.5,6156.17,593.74
2018-03-13,BillingMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,118.0,1310.55,234.37,515.64,1109.36,1234.36,515.64
