startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,114.0,6766.61,761.11,1048.99,1265.65,1562.61,1048.99
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,207.0,3446.13,773.99,1036.2,1687.55,2175.07,1036.2
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,160.0,2609.47,624.85,953.1,1562.47,2050.2,953.1
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,144.0,3100.36,781.27,969.58,1424.39,1876.67,969.58
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,202.0,5453.16,687.51,984.41,1546.9,4360.33,984.41
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,133.0,2863.24,796.88,1078.23,1888.73,2611.49,1078.23
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,217.0,2583.01,859.38,1187.49,1790.86,2203.09,1187.49
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,145.0,2749.99,843.74,1082.21,1656.27,2115.07,1082.21
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,164.0,2364.57,736.85,986.64,1484.4,1925.66,986.64
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,193.0,3109.41,671.87,1015.78,1722.32,2218.7,1015.78
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,112.0,2734.34,843.76,1078.12,1765.15,2429.07,1078.12
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,101.0,2438.39,671.87,905.48,1502.9,1890.54,905.48
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,201.0,3437.65,796.91,1078.11,1566.0,2155.11,1078.11
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,186.0,2609.14,818.33,1061.88,1578.18,2522.19,1061.88
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,137.0,3091.0,843.34,1140.62,1663.03,2531.3,1140.62
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,132.0,2366.6,712.25,1046.99,1625.87,2163.99,1046.99
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,218.0,8790.61,765.63,1093.78,1626.0,2219.55,1093.78
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,224.0,3655.97,834.43,1114.14,1793.75,2296.88,1114.14
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,254.0,3546.85,706.9,1000.0,1593.86,2469.06,1000.0
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,179.0,6221.93,875.22,1140.65,1796.9,2689.03,1140.65
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,183.0,7890.52,812.51,1062.51,1921.85,6970.0,1062.51
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,264.0,2999.97,820.52,1093.74,1640.52,2532.01,1093.74
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,267.0,2403.25,750.01,1015.61,1671.84,2051.03,1015.61
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,188.0,4765.96,890.38,1122.98,1734.35,2984.5,1122.98
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,178.0,2757.32,705.99,1031.2,1610.46,2407.26,1031.2
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,124.0,2921.93,694.44,984.38,1570.3,2234.34,984.38
2018-03-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,277.0,7437.73,828.15,1140.63,2078.11,2735.35,1140.63
2018-03-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,249.0,4499.25,747.62,1086.23,1578.12,2820.14,1086.23
2018-03-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,239.0,3031.23,734.75,1093.75,1812.45,2953.09,1093.75
2018-03-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,232.0,14159.64,750.26,1062.52,1838.0,3671.87,1062.52
2018-03-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,166.0,4286.98,756.59,1101.6,1986.9,3484.57,1101.6
2018-03-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,155.0,3875.06,828.11,1062.45,1749.96,2582.73,1062.45
2018-03-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,122.0,4140.6,859.39,1179.54,1718.85,3015.62,1179.54
2018-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,110.0,4861.77,809.29,1046.85,1593.73,2390.73,1046.85
2018-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,147.0,3406.34,781.29,1078.1,1515.66,2093.74,1078.1
2018-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,179.0,2486.86,718.45,968.76,1500.0,2015.85,968.76
2018-03-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,305.0,4265.16,812.51,1094.03,1766.64,2749.97,1094.03
2018-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,264.0,9501.19,812.49,1140.61,2531.25,6428.71,1140.61
2018-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,292.0,9911.73,822.65,1155.82,1892.65,2890.59,1155.82
2018-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,312.0,5625.75,718.75,1042.47,1548.1,2148.74,1042.47
2018-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,224.0,2610.06,717.13,1009.4,1624.99,2000.0,1009.4
2018-04-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,331.0,4281.18,727.03,1053.72,1647.22,2468.71,1053.72
2018-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,411.0,3694.41,579.94,937.63,1609.37,2234.51,937.63
2018-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,300.0,2515.61,578.13,961.86,1640.61,2209.65,961.86
2018-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,315.0,3814.12,656.25,937.51,1656.22,2156.21,937.51
2018-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,153.0,2031.22,500.0,781.23,1312.52,1957.15,781.23
2018-04-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,464.0,9960.67,593.75,890.64,1595.98,5297.02,890.64
2018-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,396.0,5822.81,630.91,890.66,1593.73,3231.31,890.66
2018-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,321.0,3054.58,609.37,1033.57,1582.77,2874.93,1033.57
2018-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,569.0,2624.99,655.79,970.37,1609.51,2265.57,970.37
2018-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,254.0,2390.66,624.96,921.87,1442.01,1906.29,921.87
2018-04-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,366.0,2678.02,562.53,923.6,1562.48,2218.85,923.6
2018-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,401.0,3312.48,674.77,982.98,1656.26,2328.88,982.98
2018-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,459.0,4262.87,591.27,968.75,1546.89,2328.13,968.75
2018-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,361.0,7425.33,647.26,960.93,1585.19,2453.13,960.93
2018-04-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,191.0,24471.51,921.91,1223.17,2034.96,6019.67,1223.17
2018-04-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,320.0,9237.01,943.91,1838.13,3593.65,5957.15,1838.13
2018-04-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,231.0,9477.48,2031.21,3111.26,4654.28,5687.53,3111.26
2018-04-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,223.0,10453.73,984.36,2024.14,5000.11,6812.42,2024.14
2018-04-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,218.0,3379.55,812.5,1046.87,1550.1,2159.03,1046.87
2018-04-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,164.0,2359.46,797.53,1140.68,1752.03,2218.64,1140.68
2018-04-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,211.0,2956.89,859.31,1125.01,1859.43,2318.84,1125.01
2018-05-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,202.0,7203.21,796.88,1078.13,1531.26,2406.21,1078.13
2018-05-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,298.0,2491.33,781.25,1031.33,1781.23,2453.17,1031.33
2018-05-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,246.0,3031.28,695.14,1000.01,1678.67,2171.79,1000.01
2018-05-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountPerformance,119.0,2015.6,625.04,1046.89,1609.36,1984.32,1046.89
