startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,11.0,866.19,446.54,656.28,866.19,866.19,656.28
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,15.0,671.92,359.37,515.68,671.92,671.92,515.68
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,55.0,1110.51,296.93,438.25,812.5,1110.51,438.25
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,17.0,624.99,265.66,421.88,624.99,624.99,421.88
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,71.0,875.02,265.64,482.16,781.23,875.02,482.16
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,16.0,1062.55,215.95,375.03,1062.55,1062.55,375.03
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,28.0,801.97,218.78,343.73,796.85,801.97,343.73
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,74.0,890.64,187.5,343.76,718.73,890.64,343.76
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,34.0,997.85,187.51,328.12,719.45,997.85,328.12
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,50.0,718.79,218.74,390.63,708.36,718.79,390.63
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,14.0,784.46,125.06,203.16,784.46,784.46,203.16
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,32.0,1015.6,156.25,186.91,515.66,1015.6,186.91
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,86.0,1640.65,171.83,359.37,640.65,1640.65,359.37
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,81.0,800.71,171.9,312.43,544.1,800.71,312.43
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,27.0,527.13,140.66,296.88,437.62,527.13,296.88
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,30.0,312.5,125.01,171.9,281.25,312.5,171.9
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,20.0,625.04,234.41,477.67,578.11,625.04,477.67
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,74.0,1020.04,171.91,328.12,675.56,1020.04,328.12
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,28.0,734.42,312.53,390.65,515.65,734.42,390.65
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,177.0,2824.35,384.63,515.65,843.76,1375.02,515.65
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,96.0,1315.81,375.16,468.87,874.96,1315.81,468.87
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,37.0,870.74,296.87,406.3,843.77,870.74,406.3
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,81.0,953.12,249.97,468.76,828.13,953.12,468.76
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,29.0,531.84,224.47,343.77,465.69,531.84,343.77
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,40.0,725.72,203.12,328.12,531.26,725.72,328.12
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,24.0,562.5,171.89,265.68,484.38,562.5,265.68
2018-03-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,50.0,1875.01,246.74,514.7,890.61,1875.01,514.7
2018-03-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,53.0,937.54,233.85,406.37,703.13,937.54,406.37
2018-03-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,157.0,772.69,171.86,343.49,578.12,703.16,343.49
2018-03-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,30.0,716.08,171.91,390.59,671.88,716.08,390.59
2018-03-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,54.0,640.65,140.63,296.89,406.23,640.65,296.89
2018-03-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,61.0,922.55,234.39,397.02,703.15,922.55,397.02
2018-03-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,54.0,821.17,140.62,187.55,562.49,821.17,187.55
2018-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,19.0,734.31,187.5,546.88,734.31,734.31,546.88
2018-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,16.0,686.12,281.27,406.35,686.12,686.12,406.35
2018-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,71.0,781.23,171.87,266.42,554.14,781.23,266.42
2018-03-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,58.0,950.04,156.24,343.75,750.29,950.04,343.75
2018-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,58.0,996.57,171.88,328.16,687.62,996.57,328.16
2018-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,89.0,1436.81,170.02,410.57,861.02,1436.81,410.57
2018-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,23.0,779.5,156.28,471.39,624.98,779.5,471.39
2018-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,47.0,1078.11,204.77,403.06,671.86,1078.11,403.06
2018-04-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,109.0,1517.25,318.96,484.4,874.93,1078.13,484.4
2018-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,337.0,1453.21,250.8,396.69,750.02,1147.44,396.69
2018-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,289.0,1018.33,250.0,402.22,687.54,874.97,402.22
2018-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,184.0,1203.11,254.46,406.24,718.74,1015.61,406.24
2018-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,92.0,890.6,218.79,374.98,734.26,890.6,374.98
2018-04-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,219.0,2124.98,234.42,390.63,734.35,972.82,390.63
2018-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,167.0,1550.59,218.74,390.62,672.0,1095.17,390.62
2018-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,211.0,1437.48,218.78,390.63,703.04,1155.28,390.63
2018-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,115.0,937.52,263.8,406.21,734.36,792.47,406.21
2018-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,168.0,1172.0,234.4,359.39,765.56,1125.03,359.39
2018-04-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,171.0,8991.42,250.02,389.13,734.36,1166.2,389.13
2018-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,201.0,859.91,234.39,375.13,609.36,749.96,375.13
2018-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,206.0,968.78,249.99,359.4,676.01,843.73,359.4
2018-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,154.0,1187.48,218.79,406.29,734.36,890.62,406.29
2018-04-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,22.0,1265.62,359.36,812.48,1265.6,1265.62,812.48
2018-04-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,100.0,968.71,78.15,203.09,624.99,765.66,203.09
2018-04-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,35.0,578.12,109.35,328.12,500.0,578.12,328.12
2018-04-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,36.0,705.38,88.46,109.34,609.35,705.38,109.34
2018-04-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,20.0,796.91,359.33,531.22,656.27,796.91,531.22
2018-04-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,39.0,578.15,171.88,190.08,485.18,578.15,190.08
2018-04-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,16.0,718.7,214.74,469.01,718.7,718.7,469.01
2018-05-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,101.0,923.88,343.78,390.63,593.76,859.38,390.63
2018-05-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,203.0,733.82,218.75,278.13,406.22,593.79,278.13
2018-05-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AccountShareOfVoice,56.0,708.49,218.77,250.0,437.53,708.49,250.0
