startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,413.0,4509.11,593.79,921.88,1671.9,3055.14,921.88
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1125.0,12941.74,610.45,976.05,1741.04,4790.74,976.05
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,769.0,4226.83,578.5,946.19,1740.29,2917.84,946.19
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,607.0,4437.52,578.16,937.32,1642.69,2299.5,937.32
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,572.0,3453.16,688.79,1078.25,1875.04,2906.28,1078.25
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,647.0,5851.73,499.93,886.2,1687.68,2375.02,886.2
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,843.0,5419.29,615.44,1105.46,1980.75,3027.91,1105.46
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,772.0,3593.73,521.05,921.73,1537.43,2122.36,921.73
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,699.0,8756.01,546.26,984.35,1796.95,2734.4,984.35
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,565.0,5078.96,656.38,1047.64,1638.87,2541.89,1047.64
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,407.0,12441.07,750.04,1147.01,3700.7,7427.82,1147.01
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,173.0,5414.12,589.58,1031.29,1718.73,3143.06,1031.29
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,907.0,10366.25,546.34,937.5,1668.69,2812.48,937.5
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,713.0,8608.49,593.12,1046.3,1978.12,4557.79,1046.3
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,551.0,3277.91,608.82,992.16,1578.07,2171.88,992.16
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,569.0,3927.34,546.9,965.97,1851.1,3129.18,965.97
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,827.0,12708.45,704.7,1171.92,2091.2,4650.56,1171.92
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,688.0,7610.9,593.8,1034.14,1906.36,3056.14,1034.14
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,1019.0,19276.89,624.47,1044.33,1875.1,3013.62,1044.33
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,797.0,6706.88,688.82,1108.44,2265.54,4344.59,1108.44
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,535.0,6909.26,640.77,1017.05,1933.13,4387.7,1017.05
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,750.0,3343.75,625.0,1034.61,1765.58,2781.19,1034.61
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserPerformance,485.0,3642.59,648.31,1062.46,1734.35,2859.34,1062.46
