startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8212.0,7422.08,656.97,1049.31,1765.33,2427.24,1049.31
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10789.0,10904.29,581.14,955.33,1687.08,2421.82,955.33
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9495.0,19268.19,578.15,970.96,1687.97,2407.79,970.96
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,9914.0,21656.87,543.39,926.46,1631.76,2340.28,926.46
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8811.0,21658.63,577.3,969.07,1644.55,2324.66,969.07
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7818.0,21666.78,561.19,968.38,1685.61,2347.05,968.38
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,10101.0,19272.99,562.5,983.06,1736.07,2412.51,983.06
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,6988.0,19234.14,580.87,975.64,1627.58,2170.36,975.64
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,8559.0,25082.11,618.62,1028.32,1672.38,2292.37,1028.32
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7582.0,19260.0,551.2,980.28,1638.32,2175.26,980.28
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,7029.0,19280.6,534.8,941.85,1623.6,2233.9,941.85
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserTiles,5996.0,19273.19,422.87,781.16,1482.04,2143.28,781.16
