startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,37.0,3265.88,1378.87,1686.89,3108.53,3265.88,1686.89
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,36.0,2346.07,1281.28,1671.9,2216.92,2346.07,1671.9
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,17.0,1438.66,992.31,1125.03,1438.66,1438.66,1125.03
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,4.0,1139.9,562.52,718.76,1139.9,1139.9,718.76
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,18.0,2582.81,796.9,1031.24,2582.81,2582.81,1031.24
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,26.0,6160.63,968.99,2465.33,3426.09,6160.63,2465.33
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,49.0,3991.55,940.57,1375.02,3841.6,3991.55,1375.02
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,30.0,2171.84,592.79,1312.79,1759.01,2171.84,1312.79
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,36.0,2312.85,1078.1,1344.23,1859.65,2312.85,1344.23
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,43.0,2640.86,1102.17,1500.03,2142.46,2640.86,1500.03
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,10.0,1640.65,911.69,1068.03,1640.65,1640.65,1068.03
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,5.0,2837.2,1453.15,1550.82,2837.2,2837.2,1550.82
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,28.0,1814.39,1031.47,1217.04,1687.54,1814.39,1217.04
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,35.0,2850.27,925.08,1204.27,1789.89,2850.27,1204.27
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,13.0,2133.25,687.55,1062.48,2133.25,2133.25,1062.48
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,31.0,1874.4,781.26,1046.8,1470.05,1874.4,1046.8
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,20.0,2312.49,924.52,1086.96,1593.77,2312.49,1086.96
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,12.0,2703.65,812.49,1292.98,2703.65,2703.65,1292.98
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,7.0,1864.93,1015.57,1406.24,1864.93,1864.93,1406.24
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,27.0,2998.83,1109.38,1734.39,2484.39,2998.83,1734.39
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,7.0,1750.0,1453.48,1676.68,1750.0,1750.0,1676.68
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,40.0,5222.89,968.72,1724.55,3116.35,5222.89,1724.55
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,9.0,2453.49,1687.51,1750.0,2453.49,2453.49,1750.0
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,7.0,1640.61,771.0,1252.47,1640.61,1640.61,1252.47
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,5.0,2890.64,637.76,2141.77,2890.64,2890.64,2141.77
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,3.0,999.98,740.52,999.98,999.98,999.98,999.98
2018-03-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,55.0,2461.6,1078.1,1507.05,2331.49,2461.6,1507.05
2018-03-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,41.0,2531.24,1046.84,1312.54,1671.84,2531.24,1312.54
2018-03-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,29.0,3406.19,1375.56,1749.49,3359.36,3406.19,1749.49
2018-03-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,36.0,6065.45,953.1,1301.11,1640.68,6065.45,1301.11
2018-03-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,33.0,12874.88,968.77,1327.87,12753.12,12874.88,1327.87
2018-03-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,18.0,21008.04,1201.54,1381.09,21008.04,21008.04,1381.09
2018-03-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,8.0,2483.0,1252.6,1374.64,2483.0,2483.0,1374.64
2018-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,5.0,1854.77,1386.52,1609.34,1854.77,1854.77,1609.34
2018-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,13.0,1999.96,1235.07,1579.56,1999.96,1999.96,1579.56
2018-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,18.0,10392.15,1297.48,1765.64,10392.15,10392.15,1765.64
2018-03-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,69.0,5598.33,1141.51,1570.23,3208.88,5598.33,1570.23
2018-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,26.0,2914.03,1171.86,1550.81,2539.32,2914.03,1550.81
2018-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,35.0,3044.2,1312.55,1609.39,2101.97,3044.2,1609.39
2018-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,46.0,4100.02,1187.48,1812.52,2642.84,4100.02,1812.52
2018-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,116.0,4062.47,718.39,1031.25,1718.72,2855.28,1031.25
2018-04-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,55.0,2453.1,765.62,1390.61,2156.5,2453.1,1390.61
2018-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,263.0,3263.55,735.42,1093.74,1890.61,3015.6,1093.74
2018-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,167.0,5725.83,671.9,1156.26,2074.4,3724.14,1156.26
2018-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,191.0,5076.35,749.99,1014.15,1843.82,4015.57,1014.15
2018-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,76.0,2187.9,640.63,890.62,1535.01,2187.9,890.62
2018-04-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,133.0,8137.43,654.15,984.34,2062.45,4507.49,984.34
2018-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,147.0,3855.36,812.48,1306.89,2544.52,3687.73,1306.89
2018-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,130.0,3377.6,828.16,1156.24,2123.91,2721.02,1156.24
2018-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,166.0,4535.96,698.41,1046.67,1709.92,3032.94,1046.67
2018-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,187.0,2484.39,625.01,921.86,1484.37,2109.34,921.86
2018-04-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,217.0,3499.85,828.12,1281.24,2234.32,2862.19,1281.24
2018-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,195.0,3515.25,750.02,1109.36,1864.91,2829.88,1109.36
2018-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,448.0,2062.51,556.93,850.42,1470.3,1705.77,850.42
2018-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AgencyPerformance,175.0,1782.22,687.48,999.98,1499.97,1671.83,999.98
