startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,All,67343.0,19298.85,913.3,1406.61,2391.49,3531.46,1406.61
2018-02-05,CampaignAggregatorService,All,All,76744.0,20620.19,873.21,1435.82,2729.63,4686.51,1435.82
2018-02-06,CampaignAggregatorService,All,All,74810.0,60008.24,824.43,1353.74,2356.92,3401.47,1353.74
2018-02-07,CampaignAggregatorService,All,All,74832.0,22669.26,826.69,1399.94,2686.53,4613.8,1399.94
2018-02-08,CampaignAggregatorService,All,All,69351.0,34427.36,832.03,1342.61,2309.76,3345.37,1342.61
2018-02-09,CampaignAggregatorService,All,All,58218.0,40056.49,847.24,1369.6,2331.73,3448.42,1369.6
2018-02-12,CampaignAggregatorService,All,All,73363.0,20183.9,824.2,1363.54,2378.04,3457.53,1363.54
2018-02-13,CampaignAggregatorService,All,All,51924.0,19320.77,814.48,1322.07,2210.52,3104.26,1322.07
2018-02-14,CampaignAggregatorService,All,All,66217.0,25082.11,855.17,1393.24,2407.93,3510.42,1393.24
2018-02-15,CampaignAggregatorService,All,All,62249.0,19576.24,866.44,1427.52,2552.64,3793.76,1427.52
2018-02-16,CampaignAggregatorService,All,All,55725.0,60003.27,817.26,1360.31,2479.15,3729.49,1360.31
2018-02-19,CampaignAggregatorService,All,All,44971.0,19283.64,687.56,1177.35,2206.09,3378.18,1177.35
2018-02-20,CampaignAggregatorService,All,All,73973.0,28827.58,807.37,1356.74,2743.81,4543.36,1356.74
2018-02-21,CampaignAggregatorService,All,All,73810.0,60012.59,758.43,1271.61,2307.07,3469.7,1271.61
2018-02-22,CampaignAggregatorService,All,All,69978.0,30250.52,780.03,1294.53,2321.14,3581.98,1294.53
2018-02-23,CampaignAggregatorService,All,All,61022.0,31574.77,773.82,1279.82,2318.44,3813.21,1279.82
2018-02-26,CampaignAggregatorService,All,All,79800.0,30414.88,826.12,1375.12,2680.53,4521.96,1375.12
2018-02-27,CampaignAggregatorService,All,All,83899.0,68705.73,818.02,1346.49,2496.46,3905.03,1346.49
2018-02-28,CampaignAggregatorService,All,All,80733.0,27528.7,802.07,1355.25,2532.13,4137.24,1355.25
2018-03-01,CampaignAggregatorService,All,All,77106.0,60000.24,812.44,1357.4,2484.94,3830.77,1357.4
2018-03-02,CampaignAggregatorService,All,All,59244.0,23228.16,827.19,1326.86,2334.83,3574.28,1326.86
2018-03-05,CampaignAggregatorService,All,All,68210.0,62202.73,796.62,1314.95,2356.69,3545.64,1314.95
2018-03-06,CampaignAggregatorService,All,All,69895.0,30156.1,776.23,1299.13,2385.11,3862.6,1299.13
2018-03-07,CampaignAggregatorService,All,All,59903.0,30074.52,763.11,1280.53,2309.2,3725.24,1280.53
2018-03-08,CampaignAggregatorService,All,All,58627.0,20835.89,749.59,1240.91,2265.38,3542.12,1240.91
2018-03-09,CampaignAggregatorService,All,All,49630.0,44464.33,740.09,1240.14,2309.12,4061.32,1240.14
2018-03-12,CampaignAggregatorService,All,All,75780.0,23941.41,810.23,1367.12,2530.53,3980.4,1367.12
2018-03-13,CampaignAggregatorService,All,All,76980.0,60023.68,809.02,1366.97,2617.17,4601.77,1366.97
2018-03-14,CampaignAggregatorService,All,All,74020.0,31015.27,812.53,1380.39,2710.72,4810.02,1380.39
2018-03-15,CampaignAggregatorService,All,All,69199.0,30190.67,806.97,1354.97,2477.53,4110.54,1354.97
2018-03-16,CampaignAggregatorService,All,All,60266.0,95287.09,831.29,1382.95,2585.37,5087.22,1382.95
2018-03-19,CampaignAggregatorService,All,All,54632.0,34743.54,782.78,1328.21,2528.0,4208.88,1328.21
2018-03-20,CampaignAggregatorService,All,All,52930.0,59999.2,742.92,1255.43,2341.44,3699.16,1255.43
2018-03-21,CampaignAggregatorService,All,All,49496.0,30937.07,714.7,1238.53,2330.49,3749.41,1238.53
2018-03-22,CampaignAggregatorService,All,All,51991.0,38385.92,749.46,1263.86,2325.93,3737.29,1263.86
2018-03-23,CampaignAggregatorService,All,All,54533.0,30325.71,811.03,1414.28,3103.92,5859.52,1414.28
2018-03-26,CampaignAggregatorService,All,All,72183.0,30272.69,828.04,1431.47,2983.02,5578.33,1431.47
2018-03-27,CampaignAggregatorService,All,All,76354.0,42109.4,844.4,1421.98,2700.56,4878.37,1421.98
2018-03-28,CampaignAggregatorService,All,All,74609.0,30539.12,841.98,1448.53,2827.46,5328.81,1448.53
2018-03-29,CampaignAggregatorService,All,All,67206.0,31249.36,825.23,1374.44,2517.35,4136.97,1374.44
2018-03-30,CampaignAggregatorService,All,All,76406.0,36215.04,821.99,1358.05,2618.13,4616.89,1358.05
2018-04-02,CampaignAggregatorService,All,All,88528.0,22130.25,842.97,1331.02,2424.24,3782.61,1331.02
2018-04-03,CampaignAggregatorService,All,All,132439.0,19267.37,820.68,1327.34,2498.1,3923.7,1327.34
2018-04-04,CampaignAggregatorService,All,All,127184.0,19280.88,806.45,1331.99,2577.79,4115.7,1331.99
2018-04-05,CampaignAggregatorService,All,All,127037.0,60136.45,780.67,1273.58,2403.28,3784.57,1273.58
2018-04-06,CampaignAggregatorService,All,All,96903.0,28945.42,780.83,1303.18,2626.72,4715.69,1303.18
2018-04-09,CampaignAggregatorService,All,All,129743.0,19983.57,812.03,1326.79,2537.13,3976.94,1326.79
2018-04-10,CampaignAggregatorService,All,All,125698.0,35829.59,767.95,1250.72,2348.82,3545.21,1250.72
2018-04-11,CampaignAggregatorService,All,All,117655.0,30421.11,838.99,1366.96,2583.88,4110.56,1366.96
2018-04-12,CampaignAggregatorService,All,All,114697.0,19256.75,765.77,1258.74,2379.27,3692.06,1258.74
2018-04-13,CampaignAggregatorService,All,All,99600.0,20811.29,741.52,1213.2,2240.73,3428.11,1213.2
2018-04-16,CampaignAggregatorService,All,All,126005.0,19265.51,845.94,1389.2,2628.23,3966.37,1389.2
2018-04-17,CampaignAggregatorService,All,All,122631.0,19293.16,781.38,1277.28,2352.77,3521.85,1277.28
2018-04-18,CampaignAggregatorService,All,All,132347.0,84466.67,770.09,1267.27,2391.89,3572.0,1267.27
2018-04-19,CampaignAggregatorService,All,All,108920.0,50377.48,785.9,1308.5,2446.87,3833.11,1308.5
2018-04-20,CampaignAggregatorService,All,All,60235.0,24709.5,807.85,1502.03,3419.07,5414.85,1502.03
2018-04-23,CampaignAggregatorService,All,All,75143.0,36858.28,563.07,1414.6,3443.64,5331.43,1414.6
2018-04-24,CampaignAggregatorService,All,All,74523.0,30805.47,626.72,2760.67,5984.54,10141.21,2760.67
2018-04-25,CampaignAggregatorService,All,All,75862.0,60005.18,553.66,1463.3,5432.4,9209.9,1463.3
2018-04-26,CampaignAggregatorService,All,All,59111.0,134990.57,630.12,1341.95,19560.92,42056.53,1341.95
2018-04-27,CampaignAggregatorService,All,All,62629.0,65235.24,546.86,1193.18,2359.46,3491.78,1193.18
2018-04-30,CampaignAggregatorService,All,All,75396.0,24216.54,514.83,1194.35,2879.07,4699.61,1194.35
2018-05-01,CampaignAggregatorService,All,All,68364.0,19259.96,463.52,1076.24,2138.73,3077.68,1076.24
2018-05-02,CampaignAggregatorService,All,All,78262.0,19257.13,521.88,1099.49,2108.4,3063.36,1099.49
2018-05-03,CampaignAggregatorService,All,All,73985.0,19254.95,483.98,1046.59,2032.76,2905.97,1046.59
2018-05-04,CampaignAggregatorService,All,All,59999.0,25132.35,499.7,1089.95,2173.74,3108.33,1089.95
2018-05-07,CampaignAggregatorService,All,All,70180.0,21843.37,511.29,1131.17,2276.05,3219.53,1131.17
2018-05-08,CampaignAggregatorService,All,All,79148.0,19387.05,501.93,1113.65,2235.88,3202.51,1113.65
2018-05-09,CampaignAggregatorService,All,All,77955.0,617645.96,504.52,1151.74,2479.69,17082.92,1151.74
2018-05-10,CampaignAggregatorService,All,All,71149.0,588328.15,502.41,1172.45,4362.39,61173.61,1172.45
2018-05-11,CampaignAggregatorService,All,All,60337.0,269568.96,469.39,1086.56,2109.8,3057.88,1086.56
2018-05-14,CampaignAggregatorService,All,All,76084.0,40356.12,462.49,1118.94,2319.92,3351.77,1118.94
2018-05-15,CampaignAggregatorService,All,All,74301.0,19744.74,466.49,1129.73,2301.05,3289.24,1129.73
2018-05-16,CampaignAggregatorService,All,All,75459.0,62393.93,473.02,1170.96,2526.06,4088.28,1170.96
2018-05-17,CampaignAggregatorService,All,All,72390.0,30488.73,515.01,1191.41,2367.83,3416.25,1191.41
2018-05-18,CampaignAggregatorService,All,All,59119.0,27900.63,536.16,1212.98,2342.71,3347.05,1212.98
2018-05-21,CampaignAggregatorService,All,All,74523.0,19989.35,606.57,1277.89,2481.99,3604.61,1277.89
2018-05-22,CampaignAggregatorService,All,All,78147.0,14624.33,624.56,1312.16,2581.0,3774.38,1312.16
2018-05-23,CampaignAggregatorService,All,All,77938.0,33933.2,614.83,1333.89,2590.07,3833.2,1333.89
2018-05-24,CampaignAggregatorService,All,All,75458.0,19273.75,717.92,1331.33,2544.09,3758.83,1331.33
2018-05-25,CampaignAggregatorService,All,All,58078.0,19270.61,686.87,1340.15,2606.64,3891.75,1340.15
2018-05-28,CampaignAggregatorService,All,All,37219.0,24202.74,576.66,1213.23,2288.58,3340.65,1213.23
2018-05-29,CampaignAggregatorService,All,All,87681.0,34546.14,657.68,1273.12,2499.54,3643.23,1273.12
2018-05-30,CampaignAggregatorService,All,All,81563.0,19281.03,687.4,1303.3,2495.58,3576.87,1303.3
2018-05-31,CampaignAggregatorService,All,All,68894.0,19285.84,671.52,1276.56,2408.62,3454.51,1276.56
2018-06-01,CampaignAggregatorService,All,All,62440.0,33020.98,699.37,1317.67,2434.94,3665.67,1317.67
2018-06-04,CampaignAggregatorService,All,All,74159.0,60092.45,657.94,1261.67,2388.84,3496.56,1261.67
2018-06-05,CampaignAggregatorService,All,All,70234.0,11360.21,690.44,1312.05,2448.72,3461.73,1312.05
2018-06-06,CampaignAggregatorService,All,All,71018.0,19253.08,700.82,1325.7,2493.26,3562.2,1325.7
2018-06-07,CampaignAggregatorService,All,All,79068.0,61231.3,673.58,1274.14,2418.63,3516.06,1274.14
2018-06-08,CampaignAggregatorService,All,All,72534.0,24541.36,677.99,1281.06,2420.13,3591.14,1281.06
2018-06-11,CampaignAggregatorService,All,All,78718.0,60008.73,694.91,1326.92,2591.02,3708.57,1326.92
2018-06-12,CampaignAggregatorService,All,All,79609.0,19267.56,733.75,1409.93,2663.79,3948.14,1409.93
2018-06-13,CampaignAggregatorService,All,All,77330.0,23088.41,680.59,1315.65,2492.14,3562.27,1315.65
2018-06-14,CampaignAggregatorService,All,All,77549.0,23919.93,742.4,1386.66,2597.52,3730.84,1386.66
2018-06-15,CampaignAggregatorService,All,All,62477.0,29958.01,702.83,1283.45,2383.98,3473.01,1283.45
2018-06-18,CampaignAggregatorService,All,All,75758.0,60221.38,777.03,1345.92,2459.11,3591.62,1345.92
2018-06-19,CampaignAggregatorService,All,All,72979.0,19289.67,816.16,1387.43,2492.27,3676.29,1387.43
2018-06-20,CampaignAggregatorService,All,All,74425.0,19277.78,830.52,1416.21,2590.67,3710.16,1416.21
2018-06-21,CampaignAggregatorService,All,All,73542.0,19274.63,822.4,1408.89,2565.29,3816.82,1408.89
2018-06-22,CampaignAggregatorService,All,All,63226.0,23875.87,828.0,1426.07,2590.58,3890.11,1426.07
2018-06-25,CampaignAggregatorService,All,All,82137.0,19275.47,851.32,1475.34,2746.31,4080.62,1475.34
2018-06-26,CampaignAggregatorService,All,All,80791.0,21239.6,883.08,1510.07,2866.59,4420.57,1510.07
