startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,469.0,8609.15,1358.49,1823.5,2874.78,4830.17,1823.5
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,342.0,7129.95,1669.57,2437.68,3920.72,6202.41,2437.68
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,308.0,4758.26,1495.66,2125.89,3062.49,3955.18,2125.89
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,404.0,9346.11,1790.24,2649.9,5087.33,7587.67,2649.9
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,264.0,5327.69,1312.53,1832.84,2803.6,3425.02,1832.84
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,206.0,9105.59,1546.46,1984.42,2640.66,3747.32,1984.42
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,286.0,5639.37,1436.63,1968.84,2907.39,5109.38,1968.84
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,170.0,7616.33,1437.51,1968.74,2843.73,7216.2,1968.74
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,273.0,5006.77,1467.31,2126.82,3218.74,4032.47,2126.82
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,255.0,8242.67,1703.15,2426.81,3781.68,5784.01,2426.81
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,195.0,6793.73,1516.19,2223.49,3424.15,5062.67,2223.49
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,165.0,4685.09,1560.77,2063.63,3059.24,4359.33,2063.63
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,280.0,9903.95,1625.16,2457.24,4599.23,8202.51,2457.24
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,221.0,8499.23,1406.43,1999.93,3164.27,4406.89,1999.93
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,244.0,12347.27,1483.86,2208.07,3531.14,6191.9,2208.07
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,249.0,28194.4,1343.87,1812.52,3098.11,9544.56,1812.52
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,332.0,12215.38,1594.89,2281.23,3629.66,5843.79,2281.23
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,370.0,23067.28,1481.04,2142.34,3333.59,6120.93,2142.34
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,296.0,9000.07,1608.86,2172.77,3500.02,7145.88,2172.77
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,423.0,5749.16,1431.14,2001.63,2782.48,3704.45,2001.63
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,231.0,6968.5,1406.27,2048.41,3198.4,5572.57,2048.41
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,230.0,4859.41,1342.58,1828.98,3186.15,4014.36,1828.98
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,213.0,4937.26,1452.89,1919.31,3051.49,4109.31,1919.31
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,183.0,10773.34,1568.89,2125.79,3828.04,9062.48,2125.79
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAgencies,143.0,6309.13,1521.59,2158.38,3187.6,4612.79,2158.38
