startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2850.0,19235.94,1280.23,1780.6,2829.17,4545.84,1780.6
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2795.0,11791.72,1294.19,1768.93,2696.91,3987.01,1768.93
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2486.0,19276.43,1255.66,1731.52,2715.19,3687.01,1731.52
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2704.0,19249.04,1213.91,1695.11,2673.52,3679.76,1695.11
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2483.0,11648.61,1165.31,1666.4,2585.87,3953.16,1666.4
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2042.0,18166.94,1173.37,1653.77,2524.46,3828.09,1653.77
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2584.0,19284.15,1267.22,1767.36,2723.58,4140.66,1767.36
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1957.0,6343.63,1242.47,1655.38,2432.01,3394.08,1655.38
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2237.0,11801.78,1311.43,1756.14,2636.16,3570.21,1756.14
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2296.0,19270.63,1359.53,1822.33,2612.95,3426.13,1822.33
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1881.0,6192.69,1280.46,1810.52,2709.29,3670.26,1810.52
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1079.0,11100.08,1210.78,1716.12,2568.81,3724.41,1716.12
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2339.0,14519.2,1345.14,1918.84,3102.8,4906.35,1918.84
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2332.0,14685.03,1212.25,1686.92,2594.77,4066.0,1686.92
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2242.0,21722.3,1229.3,1720.71,2800.5,5265.53,1720.71
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1993.0,21266.92,1204.48,1725.48,2787.18,6383.88,1725.48
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2700.0,29632.08,1294.59,1848.09,3082.8,6048.49,1848.09
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2977.0,16202.66,1243.47,1754.34,2718.39,4276.95,1754.34
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2580.0,19279.53,1323.26,1837.57,3047.73,6303.2,1837.57
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2792.0,50377.23,1259.75,1781.55,2949.88,4689.49,1781.55
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2255.0,13922.56,1239.43,1686.11,2565.37,3880.51,1686.11
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2649.0,62202.73,1158.68,1653.18,2666.94,4721.23,1653.18
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2310.0,21663.36,1242.59,1694.9,2770.89,5113.92,1694.9
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1785.0,19282.63,1216.13,1654.0,2664.8,5313.33,1654.0
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1732.0,12161.0,1241.4,1675.24,2688.88,5024.33,1675.24
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1615.0,21112.54,1287.68,1755.94,3016.49,6802.39,1755.94
2018-03-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2758.0,23186.45,1328.11,1855.12,2906.29,5653.64,1855.12
2018-03-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2655.0,19655.52,1357.38,1877.59,3117.13,6800.97,1877.59
2018-03-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2645.0,21891.76,1370.43,1963.05,3332.31,8368.37,1963.05
2018-03-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2524.0,26175.78,1329.28,1793.85,2938.43,6162.4,1793.85
2018-03-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2382.0,19270.57,1292.99,1805.69,3370.02,7944.8,1805.69
2018-03-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1577.0,17385.43,1406.06,1940.8,3250.54,6608.62,1940.8
2018-03-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1475.0,27301.91,1269.66,1746.0,2816.91,5363.16,1746.0
2018-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1153.0,19319.99,1360.24,1799.28,2863.26,4639.97,1799.28
2018-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1424.0,18273.89,1312.32,1796.74,2853.82,8176.1,1796.74
2018-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1769.0,19239.96,1503.44,2112.63,3890.65,10502.05,2112.63
2018-03-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2697.0,26113.8,1399.77,1980.18,3573.12,7330.38,1980.18
2018-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2949.0,30052.07,1373.81,1942.55,3411.49,10386.64,1942.55
2018-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2625.0,30539.12,1429.35,2041.37,4073.08,8770.99,2041.37
2018-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2370.0,30330.75,1345.69,1859.92,3057.06,6534.06,1859.92
2018-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2792.0,36215.04,1205.67,1685.25,2782.95,4823.26,1685.25
2018-04-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3684.0,10497.71,1137.29,1593.24,2625.53,4203.06,1593.24
2018-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,4576.0,19239.05,1123.2,1596.15,2667.45,4029.94,1596.15
2018-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3994.0,7637.59,1172.52,1700.09,2969.87,4482.77,1700.09
2018-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3914.0,8717.28,1125.88,1632.56,2790.32,4562.39,1632.56
2018-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3102.0,19248.87,1182.1,1698.83,3027.18,5697.26,1698.83
2018-04-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,4594.0,10921.65,1203.22,1755.5,2976.07,4546.9,1755.5
2018-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3750.0,19316.14,1186.51,1696.85,2736.14,4036.28,1696.85
2018-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3584.0,30421.11,1273.63,1841.17,3275.17,5418.54,1841.17
2018-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3774.0,9390.31,1163.84,1701.54,2837.0,4377.71,1701.54
2018-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3060.0,10334.05,1147.31,1671.39,2654.81,3601.72,1671.39
2018-04-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,4590.0,8316.39,1238.99,1819.65,2954.33,4418.35,1819.65
2018-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3920.0,9241.93,1202.97,1718.06,2745.37,3718.64,1718.06
2018-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,4016.0,19431.85,1171.75,1695.79,2736.68,4093.75,1695.79
2018-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,3506.0,26755.83,1275.11,1820.66,3025.55,4707.9,1820.66
2018-04-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2038.0,19269.12,1573.76,2294.16,3674.99,5656.04,2294.16
2018-04-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2623.0,12658.3,1250.12,2231.64,4427.03,6437.52,2231.64
2018-04-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2388.0,30300.68,3347.74,4796.69,8988.75,15377.49,4796.69
2018-04-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2593.0,29099.08,1191.15,3754.89,7288.85,12914.76,3754.89
2018-04-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2246.0,42145.28,1156.2,1766.17,20556.57,42054.21,1766.17
2018-04-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1934.0,7874.87,1162.72,1720.18,2736.01,3765.63,1720.18
2018-04-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2593.0,11171.03,1112.82,1890.8,3072.65,4453.65,1890.8
2018-05-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2326.0,6478.07,1079.38,1635.76,2517.84,3593.66,1635.76
2018-05-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2432.0,6046.7,1125.07,1628.9,2540.53,3470.89,1628.9
2018-05-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2562.0,4593.8,998.33,1514.81,2349.47,3156.46,1514.81
2018-05-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2281.0,19243.72,912.36,1606.36,2418.16,3499.95,1606.36
2018-05-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2371.0,9868.66,1119.58,1747.86,2684.61,3468.69,1747.86
2018-05-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2700.0,7124.93,1097.61,1674.36,2587.71,3519.92,1674.36
2018-05-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2397.0,302519.98,1191.96,1811.62,3112.85,25733.69,1811.62
2018-05-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2471.0,254077.62,1083.81,1661.81,10321.58,65734.48,1661.81
2018-05-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2162.0,10644.41,1006.32,1558.87,2390.22,3211.48,1558.87
2018-05-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2679.0,21845.71,1026.6,1727.19,2717.21,3713.57,1727.19
2018-05-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2724.0,7623.53,1086.26,1732.57,2661.12,3599.36,1732.57
2018-05-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2712.0,19491.19,1100.17,1843.77,3054.09,5036.26,1843.77
2018-05-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2567.0,8347.72,1248.97,1844.24,2738.06,3660.04,1844.24
2018-05-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1909.0,5784.23,1277.07,1823.82,2672.46,3562.07,1823.82
2018-05-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2647.0,19259.49,1326.34,1890.42,2855.16,4031.29,1890.42
2018-05-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2913.0,8412.6,1344.14,1928.67,2933.1,4065.6,1928.67
2018-05-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2715.0,18995.19,1373.72,1972.3,2970.88,4005.09,1972.3
2018-05-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2719.0,7576.86,1354.17,1874.78,2829.91,3840.67,1874.78
2018-05-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1961.0,8627.13,1332.19,1891.76,2915.28,4456.88,1891.76
2018-05-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,1046.0,9657.04,1232.35,1749.34,2559.28,3687.59,1749.34
2018-05-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2923.0,34546.14,1291.2,1849.85,2821.5,3923.73,1849.85
2018-05-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2951.0,8453.13,1325.74,1841.15,2794.59,3674.04,1841.15
2018-05-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2468.0,19255.9,1285.1,1830.0,2763.49,3791.16,1830.0
2018-06-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2231.0,30410.47,1362.29,1911.77,2853.59,4233.69,1911.77
2018-06-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2614.0,11906.67,1184.8,1764.08,2789.4,3799.73,1764.08
2018-06-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2495.0,5211.4,1265.64,1813.89,2794.37,3750.04,1813.89
2018-06-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2586.0,7818.94,1288.44,1856.21,2893.61,4031.3,1856.21
2018-06-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2237.0,10801.58,1225.02,1828.93,2733.82,4064.32,1828.93
2018-06-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2124.0,19286.93,1221.71,1785.43,2779.6,3983.84,1785.43
2018-06-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2487.0,6201.78,1324.72,1920.05,2952.35,4000.05,1920.05
2018-06-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2720.0,7715.57,1363.52,2013.98,3127.63,4529.85,2013.98
2018-06-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2610.0,22419.93,1332.84,1848.7,2776.14,3724.98,1848.7
2018-06-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2475.0,9326.2,1385.07,1964.21,2983.62,4061.57,1964.21
2018-06-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2098.0,9750.12,1303.31,1791.3,2773.75,3716.91,1791.3
2018-06-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2358.0,6248.22,1367.88,1841.95,2807.19,4121.86,1841.95
2018-06-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2332.0,14150.59,1375.88,1814.7,2749.05,4198.64,1814.7
2018-06-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2413.0,9296.87,1412.25,1921.41,2805.55,3796.92,1921.41
2018-06-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2206.0,19218.72,1421.61,1890.58,2945.7,4522.59,1890.58
2018-06-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2100.0,23508.24,1359.21,1866.23,2877.69,3825.63,1866.23
2018-06-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2723.0,19234.2,1450.43,2022.6,3030.28,4359.43,2022.6
2018-06-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2824.0,19284.47,1471.67,2020.28,3249.57,5020.61,2020.28
2018-06-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2318.0,19268.61,1525.47,2134.19,3574.09,5189.76,2134.19
2018-06-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2358.0,9830.22,1436.7,1964.45,2965.29,4436.61,1964.45
2018-06-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2178.0,19281.6,1423.67,1982.99,2965.29,5046.35,1982.99
2018-07-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2666.0,12138.4,1302.48,1798.37,3104.31,5311.4,1798.37
2018-07-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobTiles,2427.0,5594.73,1070.3,1482.97,2209.23,2872.04,1482.97
