startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,1170.0,9012.55,1135.87,1718.9,2828.17,4001.45,1718.9
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,1275.0,19992.95,1204.63,1906.04,3941.0,7720.04,1906.04
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,762.0,5346.14,1300.72,1881.52,2999.94,3839.73,1881.52
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,697.0,19003.03,1379.32,2032.53,3645.71,6546.95,2032.53
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,686.0,19263.59,1371.61,1920.84,3108.57,3968.73,1920.84
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,573.0,7304.78,1302.28,1922.89,3119.03,4457.32,1922.89
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,743.0,6312.73,1231.3,1771.56,2927.99,4267.58,1771.56
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,388.0,4030.67,1192.33,1811.25,2783.05,3795.67,1811.25
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,598.0,10484.19,1362.85,2004.21,3575.63,8659.96,2004.21
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,462.0,19241.8,1347.5,2081.67,3382.55,5124.94,2081.67
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,473.0,7905.61,1374.78,2107.33,3456.8,5720.37,2107.33
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,365.0,15537.33,1343.58,1926.1,3208.63,5569.37,1926.1
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,660.0,16182.07,1320.93,2186.89,4423.39,7890.49,2186.89
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,669.0,17812.7,1326.26,1949.89,3353.07,4749.77,1949.89
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,541.0,8724.08,1306.96,1966.6,2953.19,4646.83,1966.6
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,484.0,11489.32,1225.72,1882.51,2970.22,5665.84,1882.51
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,544.0,14763.37,1254.33,1967.12,3741.3,5296.83,1967.12
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,727.0,14351.79,1171.24,1762.92,3034.54,5312.4,1762.92
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,669.0,14437.26,1241.34,1780.52,2968.72,4499.01,1780.52
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,643.0,14130.91,1260.66,1847.02,3034.04,4773.8,1847.02
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,537.0,5343.62,1141.34,1624.65,2772.15,4281.25,1624.65
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,638.0,22072.35,1252.51,1824.81,2663.97,3718.76,1824.81
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAccounts,585.0,16617.86,1205.44,1786.45,2890.53,4725.37,1786.45
