startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,170.0,4933.84,1281.32,1761.31,2468.78,3439.96,1761.31
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,178.0,9692.86,1567.73,2281.36,5062.6,8989.73,2281.36
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,170.0,3719.64,1312.52,1719.76,2593.71,3312.3,1719.76
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,124.0,9862.49,1468.46,2350.02,4796.44,7578.45,2350.02
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,148.0,3837.89,1233.89,1761.93,2391.63,3283.96,1761.93
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,92.0,8004.27,1468.96,2029.86,3046.52,8004.27,2029.86
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,148.0,3123.47,1235.93,1656.23,2375.01,2892.48,1656.23
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,118.0,3640.72,1218.77,1643.57,2437.6,3421.89,1643.57
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,116.0,9646.44,1249.98,1640.64,2968.76,6765.72,1640.64
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,58.0,3922.27,1544.49,2122.97,3450.5,3922.27,2122.97
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,74.0,7796.87,1546.89,2235.39,5989.07,7796.87,2235.39
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolAgencies,66.0,3488.64,1328.12,2187.54,3164.18,3488.64,2187.54
