startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,67.0,4773.7,1656.2,2265.81,3710.04,4773.7,2265.81
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,93.0,8661.07,1599.77,2515.21,6031.33,8661.07,2515.21
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,46.0,3488.51,1477.2,2164.8,2843.74,3488.51,2164.8
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,44.0,9736.29,2136.18,2656.53,6343.85,9736.29,2656.53
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,61.0,11533.07,1749.98,2153.14,2967.79,11533.07,2153.14
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,63.0,3968.77,1406.25,1783.66,2453.12,3968.77,1783.66
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,67.0,5468.45,1313.9,1974.73,3629.7,5468.45,1974.73
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,39.0,3655.14,1468.7,1953.32,3066.96,3655.14,1953.32
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,56.0,7515.73,1558.88,2191.83,3344.89,7515.73,2191.83
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,30.0,4695.92,1562.47,2424.44,4301.13,4695.92,2424.44
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,44.0,7902.18,1640.73,2298.18,4443.44,7902.18,2298.18
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,12.0,16138.12,1218.86,1546.95,16138.12,16138.12,1546.95
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,33.0,3270.74,1445.19,2091.16,3033.01,3270.74,2091.16
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,41.0,3999.98,1704.16,2531.21,3656.84,3999.98,2531.21
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,39.0,7296.87,1249.95,1749.99,3087.82,7296.87,1749.99
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,33.0,7246.64,1499.97,2078.15,3821.88,7246.64,2078.15
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,26.0,4941.3,2095.71,3067.12,3764.8,4941.3,3067.12
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,59.0,4093.95,1376.97,2062.48,3238.47,4093.95,2062.48
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,71.0,4317.76,1328.13,1797.57,2719.25,4317.76,1797.57
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,35.0,3240.52,1437.52,2257.42,2800.19,3240.52,2257.42
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,17.0,3473.25,1328.65,1549.33,3473.25,3473.25,1549.33
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,50.0,3953.5,1500.04,1765.58,2749.96,3953.5,1765.58
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,56.0,4098.36,1203.13,2156.26,3189.0,4098.36,2156.26
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,18.0,5005.51,1453.15,1750.01,5005.51,5005.51,1750.01
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,58.0,3652.51,1134.48,1609.41,2671.82,3652.51,1609.41
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,22.0,3942.03,1295.62,2015.62,3067.26,3942.03,2015.62
2018-03-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,45.0,4206.93,1062.49,1421.88,2857.69,4206.93,1421.88
2018-03-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,61.0,30197.2,1252.22,1875.0,3281.23,30197.2,1875.0
2018-03-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,51.0,4624.93,1343.76,1859.34,3678.13,4624.93,1859.34
2018-03-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,19.0,8818.67,1296.88,1968.72,8818.67,8818.67,1968.72
2018-03-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,26.0,3770.55,1343.72,1930.04,2554.88,3770.55,1930.04
2018-03-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,15.0,2531.3,1479.28,1697.02,2531.3,2531.3,1697.02
2018-03-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,12.0,3120.82,1296.82,1450.65,3120.82,3120.82,1450.65
2018-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,15.0,3345.47,1386.11,1734.33,3345.47,3345.47,1734.33
2018-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,18.0,2249.96,1015.61,1402.8,2249.96,2249.96,1402.8
2018-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,10.0,5984.32,2518.01,4250.02,5984.32,5984.32,4250.02
2018-03-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,43.0,4575.8,1296.33,2042.03,3173.72,4575.8,2042.03
2018-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,44.0,4297.78,1406.23,2317.46,3618.25,4297.78,2317.46
2018-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,53.0,9942.4,1312.48,1984.43,7361.12,9942.4,1984.43
2018-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,24.0,10882.7,1522.71,1750.0,3531.24,10882.7,1750.0
2018-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,38.0,6828.03,1298.15,1928.0,3992.12,6828.03,1928.0
2018-04-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,27.0,7218.75,1367.17,2015.62,3771.53,7218.75,2015.62
2018-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,53.0,3076.84,937.48,1437.48,2672.96,3076.84,1437.48
2018-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,77.0,4796.61,1046.85,1500.0,2684.2,4796.61,1500.0
2018-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,79.0,5489.55,796.86,1596.8,3546.86,5489.55,1596.8
2018-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,88.0,13364.37,1562.58,2561.76,4358.05,13364.37,2561.76
2018-04-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,97.0,5759.14,1186.57,1749.97,2779.58,5759.14,1749.97
2018-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,100.0,4848.26,1249.95,1796.87,2799.41,3851.38,1796.87
2018-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,68.0,7608.02,1421.83,2040.82,5601.53,7608.02,2040.82
2018-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,45.0,3505.8,1264.24,1937.82,2659.04,3505.8,1937.82
2018-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,41.0,5023.89,1327.85,1990.57,2864.38,5023.89,1990.57
2018-04-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,79.0,6296.9,1546.86,2299.71,4271.35,6296.9,2299.71
2018-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,48.0,5148.35,1406.25,2157.53,3734.38,5148.35,2157.53
2018-04-18,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,64.0,3101.38,1234.35,2031.31,2671.27,3101.38,2031.31
2018-04-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,30.0,4872.44,1421.86,1765.82,3624.91,4872.44,1765.82
2018-04-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,42.0,21647.57,1718.75,2545.67,4839.18,21647.57,2545.67
2018-04-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,31.0,6414.17,1627.28,2765.57,4417.66,6414.17,2765.57
2018-04-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,30.0,8684.85,3564.68,4679.25,7338.21,8684.85,4679.25
2018-04-25,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,57.0,9155.96,2783.32,4752.7,8141.74,9155.96,4752.7
2018-04-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,32.0,2955.81,1091.31,1747.41,2770.79,2955.81,1747.41
2018-04-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,36.0,3343.82,1710.95,2095.24,3336.74,3343.82,2095.24
2018-04-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolIOTile,45.0,6500.99,1546.86,2341.57,4562.04,6500.99,2341.57
