startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,697.0,7276.33,1139.5,1602.68,2553.72,3718.1,1602.68
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,835.0,9768.61,1070.2,1572.99,2557.2,3919.91,1572.99
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,800.0,7655.02,1040.17,1515.78,2331.08,3316.89,1515.78
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,752.0,19250.19,1047.15,1486.79,2341.2,3797.58,1486.79
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,690.0,4752.7,1086.56,1546.47,2366.14,3286.76,1546.47
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,663.0,8684.11,926.23,1389.76,2279.61,2984.99,1389.76
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,754.0,5769.24,983.63,1451.99,2343.13,3203.01,1451.99
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,425.0,3652.59,1052.65,1456.67,2270.44,2869.61,1456.67
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,629.0,4105.46,1093.92,1563.6,2381.79,3202.47,1563.6
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,505.0,19248.84,1140.41,1646.6,2457.22,3775.74,1646.6
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,502.0,19244.22,1170.81,1687.44,2604.76,3507.86,1687.44
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,360.0,11031.13,991.89,1464.84,2408.04,4017.47,1464.84
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,642.0,7721.46,1171.33,1657.65,2819.49,4249.96,1657.65
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,717.0,17871.81,1037.99,1527.72,2562.54,4140.69,1527.72
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,570.0,8371.72,1078.17,1593.78,2421.89,3593.73,1593.78
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,494.0,16543.07,1032.88,1580.46,2531.08,8397.56,1580.46
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,535.0,10611.59,1108.62,1616.05,2554.54,4328.03,1616.05
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,685.0,19255.44,1066.28,1507.02,2439.03,4234.32,1507.02
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,737.0,10016.09,1003.18,1480.27,2312.51,3210.93,1480.27
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,699.0,10738.86,1016.28,1466.03,2250.03,3889.68,1466.03
2018-03-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,546.0,19241.64,1001.97,1383.46,2218.76,3124.98,1383.46
2018-03-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,675.0,23391.99,1021.27,1452.71,2224.98,3611.39,1452.71
2018-03-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,584.0,19259.82,945.45,1394.09,2281.21,3890.5,1394.09
2018-03-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,321.0,7071.46,1100.66,1527.76,2332.93,4175.11,1527.76
2018-03-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,495.0,5224.15,1054.23,1484.34,2433.75,3531.18,1484.34
2018-03-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BolTiles,311.0,15724.95,1218.96,1656.9,2706.18,5493.49,1656.9
