startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1383.0,8612.62,1307.47,1812.38,2903.85,4609.37,1812.38
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1506.0,10067.95,1333.28,1832.28,3006.9,4596.31,1832.28
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1377.0,6511.78,1265.86,1719.81,2671.88,3437.53,1719.81
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1323.0,8918.79,1348.47,1845.64,3081.57,4552.78,1845.64
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1389.0,10586.41,1255.41,1680.53,2510.83,3736.06,1680.53
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1428.0,19065.42,1203.43,1645.19,2496.15,3519.01,1645.19
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1121.0,7124.72,1218.12,1713.34,2582.09,3570.26,1713.34
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,693.0,4640.66,1159.69,1601.16,2422.8,3156.22,1601.16
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1057.0,4453.88,1360.29,1860.55,2734.02,3480.99,1860.55
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,958.0,6276.59,1293.74,1770.56,2718.8,3562.53,1770.56
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1073.0,4820.08,1233.44,1694.13,2601.54,3360.88,1694.13
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1172.0,7332.66,1091.74,1514.4,2223.17,3230.03,1514.4
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1270.0,10047.27,1244.19,1744.87,2991.6,4804.5,1744.87
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1262.0,17080.04,1251.1,1698.3,2605.79,4593.73,1698.3
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1332.0,30181.85,1234.8,1699.67,2646.45,4944.49,1699.67
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1270.0,31574.77,1202.63,1619.29,2532.8,6289.19,1619.29
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1465.0,24185.17,1300.78,1812.96,2923.46,5042.37,1812.96
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1503.0,15729.48,1295.61,1785.75,2781.81,4053.73,1785.75
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/CatchAndReleaseAssignedCustomers,1485.0,13703.54,1279.47,1782.66,3080.37,5163.79,1782.66
