startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,848.0,6852.68,761.4,1117.3,2003.73,3015.43,1117.3
2018-02-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1045.0,2913.86,406.27,718.91,1203.16,1875.0,718.91
2018-02-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,2130.0,3000.01,327.46,576.11,1172.75,1722.63,576.11
2018-02-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1282.0,3621.47,468.7,797.35,1509.15,2266.25,797.35
2018-02-08,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1519.0,3381.74,467.27,741.38,1249.99,1640.61,741.38
2018-02-09,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,413.0,2499.93,546.97,937.5,1546.88,2127.02,937.5
2018-02-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1118.0,10269.56,452.34,734.4,1421.9,2234.4,734.4
2018-02-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,621.0,2250.0,440.53,750.49,1238.37,1672.82,750.49
2018-02-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,964.0,5078.12,534.96,1038.44,1856.84,2921.9,1038.44
2018-02-15,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,795.0,4382.22,390.62,793.95,1564.04,2983.06,793.95
2018-02-16,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,911.0,3000.02,515.69,839.55,1501.81,2317.34,839.55
2018-02-19,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1004.0,4593.88,479.29,798.18,1312.51,1816.5,798.18
2018-02-20,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1639.0,21537.37,500.17,874.95,1875.01,4348.94,874.95
2018-02-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1590.0,5990.19,407.53,742.13,1355.47,2234.53,742.13
2018-02-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,973.0,4194.36,445.51,827.8,1468.79,2078.13,827.8
2018-02-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1211.0,6268.48,582.46,881.57,1500.01,2126.17,881.57
2018-02-26,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,930.0,3059.29,590.32,968.15,1750.01,2423.63,968.15
2018-02-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1763.0,4221.93,546.92,922.48,1664.19,2390.87,922.48
2018-02-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1207.0,5778.14,578.29,965.17,1734.42,2500.1,965.17
2018-03-01,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTables,1124.0,8142.72,750.76,1164.41,2136.36,3312.53,1164.41
