startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99,perf
2018-02-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,119.0,1171.78,78.16,187.46,686.67,1062.44,187.46
2018-02-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,165.0,1265.71,107.27,218.9,777.58,1139.23,218.9
2018-02-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,163.0,2247.06,96.65,218.33,484.37,1719.88,218.33
2018-02-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,185.0,1032.99,99.23,234.13,625.03,953.08,234.13
2018-02-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,135.0,969.47,140.72,244.67,624.9,953.13,244.67
2018-02-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,139.0,1644.39,93.78,218.74,718.74,984.4,218.74
2018-02-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,183.0,921.87,93.78,218.78,500.0,856.86,218.78
2018-02-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,91.0,765.59,76.88,187.53,421.87,765.59,187.53
2018-02-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,120.0,1874.35,109.38,218.78,1015.6,1765.56,218.78
2018-02-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,102.0,1593.73,93.73,176.93,905.8,984.37,176.93
2018-02-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,74.0,781.37,109.39,216.81,656.14,781.37,216.81
2018-02-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,35.0,1366.13,78.36,281.02,718.74,1366.13,281.02
2018-02-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,126.0,1580.74,108.94,218.16,406.3,843.69,218.16
2018-02-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,112.0,1015.31,82.14,187.5,451.61,984.08,187.5
2018-02-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,122.0,2455.8,93.77,218.03,626.48,2125.26,218.03
2018-02-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,97.0,2729.1,218.75,343.74,2453.64,2729.1,343.74
2018-02-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,161.0,863.42,93.74,203.13,355.15,765.62,203.13
2018-02-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,115.0,1109.35,93.8,218.75,480.49,1093.72,218.75
2018-02-28,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,154.0,2547.72,93.81,265.59,1085.8,2531.27,265.59
2018-03-01,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,147.0,2124.99,140.69,284.35,968.74,1156.21,284.35
2018-03-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,95.0,1703.1,125.05,250.0,765.42,1703.1,250.0
2018-03-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,123.0,1578.1,109.35,218.67,468.75,984.09,218.67
2018-03-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,122.0,1328.12,106.33,328.15,953.07,1187.49,328.15
2018-03-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,131.0,1290.24,218.18,250.03,1031.13,1203.12,250.03
2018-03-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,109.0,1187.65,113.55,234.42,406.24,906.25,234.42
2018-03-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,75.0,718.74,90.67,218.71,328.14,718.74,218.71
2018-03-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,218.0,687.5,108.07,218.76,359.39,640.56,218.76
2018-03-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,167.0,828.15,78.15,203.13,393.66,812.5,203.13
2018-03-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,134.0,1734.35,171.61,279.89,1187.46,1703.1,279.89
2018-03-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,125.0,1125.62,78.09,203.67,546.88,1093.73,203.67
2018-03-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,79.0,1046.85,114.02,218.76,390.63,1046.85,218.76
2018-03-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,91.0,390.62,64.04,171.9,265.65,390.62,171.9
2018-03-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,88.0,514.78,93.78,218.41,344.08,514.78,218.41
2018-03-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,98.0,390.62,93.74,218.76,296.89,390.62,218.76
2018-03-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,73.0,1279.79,203.13,218.77,1120.49,1279.79,218.77
2018-03-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,127.0,843.73,76.34,183.61,296.91,812.49,183.61
2018-03-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,109.0,1234.36,78.15,218.75,937.48,1156.22,218.75
2018-03-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,144.0,906.22,74.05,123.62,457.86,859.35,123.62
2018-03-28,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,141.0,951.18,155.61,218.79,496.8,919.94,218.79
2018-03-29,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,97.0,765.62,93.78,218.57,331.26,765.62,218.57
2018-03-30,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,50.0,376.5,62.5,78.17,312.49,376.5,78.17
2018-04-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,132.0,1234.52,93.72,203.12,406.28,765.61,203.12
2018-04-03,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,120.0,593.75,203.08,234.37,343.75,421.87,234.37
2018-04-04,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,91.0,1109.36,95.41,203.14,496.74,1109.36,203.14
2018-04-05,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,105.0,546.87,77.99,105.55,265.63,328.17,105.55
2018-04-06,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,98.0,625.0,93.76,218.74,390.52,625.0,218.74
2018-04-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,128.0,1546.88,127.81,234.38,578.23,815.58,234.38
2018-04-10,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,136.0,1187.63,136.43,312.52,1046.84,1140.59,312.52
2018-04-11,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,85.0,750.02,78.16,202.29,421.4,750.02,202.29
2018-04-12,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,67.0,1078.11,109.35,218.79,890.36,1078.11,218.79
2018-04-13,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,54.0,640.62,94.47,218.78,465.32,640.62,218.78
2018-04-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,113.0,1078.08,171.91,234.34,984.39,1062.52,234.34
2018-04-17,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,81.0,674.37,122.77,233.91,468.75,674.37,233.91
2018-04-18,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,99.0,1109.45,156.09,250.01,1046.85,1109.45,250.01
2018-04-19,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,119.0,1109.38,125.0,247.59,620.52,1078.11,247.59
2018-04-20,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,72.0,1124.98,109.35,218.74,406.24,1124.98,218.74
2018-04-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,98.0,656.27,80.62,218.79,421.86,656.27,218.79
2018-04-24,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,103.0,1124.23,93.8,213.2,578.14,1061.73,213.2
2018-04-25,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,88.0,1265.61,78.1,201.97,453.25,1265.61,201.97
2018-04-26,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,60.0,37637.37,203.16,296.89,734.36,37637.37,296.89
2018-04-27,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,81.0,1296.86,203.13,218.79,1156.23,1296.86,218.79
2018-04-30,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,72.0,1352.41,78.12,137.09,405.9,1352.41,137.09
2018-05-01,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,87.0,1125.02,91.92,203.12,421.91,1125.02,203.12
2018-05-02,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,103.0,1171.88,78.16,203.16,325.15,1125.01,203.16
2018-05-03,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,103.0,2218.74,93.77,218.74,795.48,1171.81,218.74
2018-05-04,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,82.0,780.95,78.15,203.13,282.18,780.95,203.13
2018-05-07,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,87.0,1109.35,125.03,218.75,281.26,1109.35,218.75
2018-05-08,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,149.0,1062.48,81.11,218.79,327.97,953.11,218.79
2018-05-09,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,96.0,1125.0,78.16,218.69,890.62,1125.0,218.69
2018-05-10,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,111.0,1359.38,126.64,234.38,984.41,1171.87,234.38
2018-05-11,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,98.0,52333.14,93.39,218.65,678.84,52333.14,218.65
2018-05-14,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,173.0,1079.54,78.12,125.01,404.4,1036.66,125.01
2018-05-15,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,129.0,1137.53,78.13,187.52,359.44,652.01,187.52
2018-05-16,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,93.0,609.42,110.49,218.74,390.59,609.42,218.74
2018-05-17,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,89.0,3225.59,153.8,232.06,546.92,3225.59,232.06
2018-05-18,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,82.0,1152.74,203.13,218.78,295.7,1152.74,218.78
2018-05-21,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,136.0,810.68,93.71,218.75,546.85,637.8,218.75
2018-05-22,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,99.0,636.34,78.15,187.48,406.24,636.34,187.48
2018-05-23,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,126.0,2375.06,93.75,218.74,546.88,1253.26,218.74
2018-05-24,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,99.0,1121.05,125.0,249.92,531.24,1121.05,249.92
2018-05-25,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,128.0,1336.96,93.75,218.79,484.45,671.92,218.79
2018-05-28,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,78.0,343.45,93.75,218.28,296.89,343.45,218.28
2018-05-29,CampaignMiddleTier,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/AdvertiserAccounts,144.0,1062.53,78.14,203.11,515.68,677.37,203.11
